爱	ài	حب
八	bā	ثمانية
爸爸	bà ba	الآب
杯子	bēi zi	كوب
北京	běi jīng	بكين
本	běn	هذه
不客气	bú kè qi	على الرحب و السعة
不	bù	لا
菜	cài	طبق
茶	chá	شاي
吃	chī	تأكل
出租车	chū zū chē	سيارة اجره
打电话	dǎ diàn huà	مكالمة
大	dà	كبير
的	de	من
点	diǎn	نقطة
电脑	diàn nǎo	الحاسوب
电视	diàn shì	تلفزيون
电影	diàn yǐng	الفلم
东西	dōng xi	شيء
都	dōu	الكل
读	dú	اقرأ
对不起	duì bu qǐ	آسف
多	duō	كثير
多少	duō shǎo	كم العدد
儿子	ér zi	ابن
二	èr	اثنان
饭店	fàn diàn	مطعم
飞机	fēi jī	الطائرات
分钟	fēn zhōng	دقيقة
高兴	gāo xìng	سعيدة
个	gè	أ
工作	gōng zuò	وظائف
狗	gǒu	الكلب
汉语	hàn yǔ	صينى
好	hǎo	انه جيد
号	hào	رقم
喝	hē	يشرب
和	hé	مع
很	hěn	للغاية
后面	hòu miàn	خلف
回	huí	ارجع الى
会	huì	لقاء
几	jǐ	قليلة
家	jiā	أسرة
叫	jiào	مكالمة
今天	jīn tiān	الوقت الحاضر
九	jiǔ	تسع
开	kāi	افتح
看	kàn	نظرة
看见	kàn jiàn	نرى
块	kuài	قطعة
来	lái	تأتي
老师	lǎo shī	مدرس
了	le	فوق
冷	lěng	البرد
里	lǐ	في
六	liù	ستة
吗	ma	فعلا
妈妈	mā ma	أمي
买	mǎi	يشترى
猫	māo	قط
没关系	méi guān xi	حسنا
没有	méi yǒu	لا
米饭	mǐ fàn	أرز
名字	míng zi	الاسم الاول
明天	míng tiān	غدا
哪	nǎ	أين
哪儿	nǎ er	أين
那	nà	ذلك
呢	ne	ماذا
能	néng	يستطيع
你	nǐ	أنت
年	nián	عام
女儿	nǚ ér	ابنة
朋友	péng you	صديق
漂亮	piào liang	جميلة
苹果	píng guǒ	تفاحة
七	qī	سبعة
前面	qián miàn	أمامي
钱	qián	مال
请	qǐng	رجاء
去	qù	اذهب مع
热	rè	الحرارة
人	rén	اشخاص
认识	rèn shi	فهم
三	sān	ثلاثة
商店	shāng diàn	متجر
上	shàng	على
上午	shàng wǔ	صباح
少	shǎo	أقل
谁	shéi	منظمة الصحة العالمية
什么	shén me	ماذا
十	shí	عشرة
时候	shí hou	زمن
是	shì	نعم
书	shū	كتاب
水	shuǐ	ماء
水果	shuǐguǒ	فاكهة
睡觉	shuì jiào	اذهب إلى الفراش
说	shuō	قل
四	sì	أربعة
岁	suì	سنه
他	tā	هو
她	tā	كانت هي
太	tài	جدا
天气	tiān qì	الطقس
听	tīng	استمع
同学	tóng xué	زميل الصف
喂	wèi	مرحبا (المداخلة)
我	wǒ	أنا
我们	wǒ men	نحن
五	wǔ	الخمسات
喜欢	xǐ huan	مثل
下	xià	تحت
下午	xià wǔ	في الظهيرة
下雨	xià yǔ	تمطر
先生	xiān sheng	السيد
现在	xiàn zài	في هذة اللحظة
想	xiǎng	أفتقدك
小	xiǎo	صغير
小姐	xiǎo jie	يغيب
些	xiē	بعض
写	xiě	كتابة
谢谢	xiè xie	شكرا جزيلا
星期	xīng qī	أسبوع
学生	xué sheng	طالب علم
学习	xué xí	تعلم
学校	xué xiào	مدرسة
一	yī	واحد
一点儿	yī diǎn er	قليل
医生	yī shēng	الأطباء
医院	yī yuàn	مستشفى
衣服	yī fu	ملابس
椅子	yǐ zi	كرسي
有	yǒu	يملك
月	yuè	شهر
再见	zài jiàn	وداعا
在	zài	في
怎么	zěn me	كيف
怎么样	zěn me yàng	ماذا عنها
这	zhè	هذه
中国	zhōng guó	الصين
中午	zhōng wǔ	وقت الظهيرة
住	zhù	حي
桌子	zhuō zi	الطاولة
字	zì	كلمة
昨天	zuó tiān	في الامس
做	zuò	فعل
坐	zuò	تجلس
