吧	ba	شريط
白	bái	أبيض
百	bǎi	مائة
帮助	bāng zhù	مساعدة
报纸	bào zhǐ	جريدة
比	bǐ	نسبة
别	bié	لا
宾馆	bīn guǎn	الفندق
长	cháng	طويل (صفة)
唱歌	chàng gē	ليغني
出	chū	خارج
穿	chuān	البس، ارتداء
次	cì	مرات
从	cóng	من عند
错	cuò	خطأ
打篮球	dǎ lán qiú	يلعب كرة السلة
大家	dà jiā	كل واحد
到	dào	إلى
得	de	الحصول على (جسيم)
等	děng	انتظر (فعل)
弟弟	dì di	الأخ الأصغر
第一	dì yī	الأول
懂	dǒng	تفهم
对	duì	الحق (حرف الجر)
对	duì	نعم (صفة)
房间	fáng jiān	غرفة
非常	fēi cháng	كثيرا جدا
服务员	fú wù yuán	نادل
高	gāo	عالي
告诉	gào su	يخبار
哥哥	gē ge	شقيق
给	gěi	يعطى
公共汽车	gōng gòng qì chē	حافلة
公司	gōng sī	الشركة
贵	guì	مكلفة
过	guo	تمرير (جسيم)
孩子	hái zi	طفل
还	hái	أيضا (ظرف)
好吃	hǎo chī	صالح للأكل
黑	hēi	أسود
红	hóng	أحمر
火车站	huǒ chē zhàn	محطة القطار
机场	jī chǎng	مطار
鸡蛋	jī dàn	بيضة
件	jiàn	قطع
教室	jiào shì	قاعة الدراسة
姐姐	jiě jie	أخت
介绍	jiè shào	المقدمة
近	jìn	قريب
进	jìn	تقدم
就	jiù	على
觉得	jué de	يشعر
咖啡	kā fēi	قهوة
开始	kāi shǐ	بداية
考试	kǎo shì	الفحص
可能	kě néng	مايو
可以	kě yǐ	يستطيع
课	kè	صف دراسي
快	kuài	بسرعة
快乐	kuài lè	سعيدة
累	lèi	متعبه
离	lí	من عند
两	liǎng	اثنان
零	líng	صفر
路	lù	طريق
旅游	lv3 yóu	السياحة
卖	mài	يبيع
慢	màn	بطيء
忙	máng	مشغول
每	měi	كل
妹妹	mèi mei	الاخت الاصغر
门	mén	باب
面条	miàn tiáo	المعكرونة
男	nán	الذكر
您	nín	أنت
牛奶	niú nǎi	حليب
女	nǚ	أنثى
旁边	páng biān	بجوار
跑步	pǎo bù	يركض
便宜	pián yi	رخيص
票	piào	تذكرة
妻子	qī zi	زوجة
起床	qǐ chuáng	استيقظ
千	qiān	ألف
铅笔	qiān bǐ	قلم
晴	qíng	واضح
去年	qù nián	العام الماضي
让	ràng	دع
日	rì	يوم
上班	shàng bān	للعمل
身体	shēn tǐ	الجسم
生病	shēng bìng	مرض
生日	shēng rì	عيد الميلاد
时间	shí jiān	زمن
事情	shì qing	شيء
手表	shǒu biǎo	راقب
手机	shǒu jī	الهاتف الخلوي
说话	shuō huà	تحدث
送	sòng	يتبرع
虽然…但是…	suī rán …dàn shì …	بالرغم من ذلك…
它	tā	عليه
踢足球	tī zú qiú	العب كرة القدم
题	tí	سؤال
跳舞	tiào wǔ	الرقص
外	wài	خارجي
完	wán	إنهاء
玩	wán	لعب
晚上	wǎn shang	بالليل
往	wǎng	إلى
为什么	wèi shén me	لماذا ا
问	wèn	يطلب
问题	wèn tí	مشكلة
希望	xī wàng	أمل
西瓜	xī guā	البطيخ
洗	xǐ	غسل
小时	xiǎo shí	ساعة
笑	xiào	يضحك
新	xīn	جديد
姓	xìng	اسم
休息	xiū xi	راحة
雪	xuě	الثلج
颜色	yán sè	اللون
眼睛	yǎn jing	عين
羊肉	yáng ròu	لحم ضأن
药	yào	الدواء
要	yào	تريد
也	yě	و أيضا
一下	yī xià	بعض الشيء
已经	yǐ jīng	سابقا
一起	yī qǐ	سويا
意思	yì si	المعنى
因为…所以…	yīn wèi …suǒ yǐ …	لذلك ...
阴	yīn	يين
游泳	yóu yǒng	السباحة
右边	yòu bian	حق
鱼	yú	سمك
远	yuǎn	بعيدا
运动	yùn dòng	حركة
再	zài	مرة أخرى
早上	zǎo shang	صباح
丈夫	zhàng fu	الزوج
找	zhǎo	تجد
着	zhe	مع
真	zhēn	صحيح
正在	zhèng zài	يجرى
知道	zhī dào	أعرف
准备	zhǔn bèi	جاهز
走	zǒu	اذهب
最	zuì	معظم
左边	zuǒ bian	اليسار
