爱情	ài qíng	حب
安排	ān pái	ترتيب
安全	ān quán	سلامة
按时	àn shí	في الوقت المحدد
按照	àn zhào	بالنسبة الى
百分之	bǎi fēn zhī	نسبه مئويه
棒	bàng	باتون
包子	bāo zi	كعكة
保护	bǎo hù	الحماية
保证	bǎo zhèng	ضمان
报名	bào míng	سجل
抱	bào	معلق
抱歉	bào qiàn	آسف
倍	bèi	مرات
本来	běn lái	في الأصل
笨	bèn	غبي
比如	bǐ rú	مثل
毕业	bì yè	تخرج
遍	biàn	فوق كل
标准	biāo zhǔn	اساسي
表格	biǎo gé	شكل
表示	biǎo shì	يعني
表演	biǎo yǎn	أداء
表扬	biǎo yáng	مديح
饼干	bǐng gān	بسكويت
并且	bìng qiě	و
博士	bó shì	دكتوراه
不过	bú guò	لكن
不得不	bù dé bù	يجب أن
不管	bù guǎn	بغض النظر عن
不仅	bù jǐn	ليس فقط
部分	bù fen	الجزء
擦	cā	فرك
猜	cāi	خمن
材料	cái liào	مواد
参观	cān guān	يزور
餐厅	cān tīng	مطعم
厕所	cè suǒ	مرحاض
差不多	chà bu duō	تقريبيا
尝	cháng	المذاق
长城	cháng chéng	حائط عظيم
长江	cháng jiāng	اليانغتسى
场	chǎng	حقل
超过	chāo guò	يتجاوز
乘坐	chéng zuò	اركب
成功	chéng gōng	نجاح
成为	chéng wéi	يصبح
诚实	chéng shí	صادق
吃惊	chī jīng	كن متفاجئا
重新	chóng xīn	إعادة
抽烟	chōu yān	يدخن
出差	chū chāi	رحلة عمل
出发	chū fā	انطلقت
出生	chū shēng	مولود
出现	chū xiàn	يظهر
厨房	chú fáng	مطبخ
传真	chuán zhēn	فاكس
窗户	chuāng hu	نافذة او شباك
词语	cí yǔ	كلمات
从来	cóng lái	أبدا
粗心	cū xīn	غير مبالي
存	cún	حفظ
错误	cuò wù	خطأ
答案	dá àn	إجابة
打扮	dǎ ban	إرتد ملابس
打扰	dǎ rǎo	إزعاج
打印	dǎ yìn	طباعة
打招呼	dǎ zhāo hu	تحية
打折	dǎ zhé	خصم
打针	dǎ zhēn	حقنة
大概	dà gài	المحتمل
大使馆	dà shǐ guǎn	السفارة
大约	dà yuē	حول
大夫	dài fu	طبيب
戴	dài	لبس
当	dāng	متى
当时	dāng shí	ثم
刀	dāo	سكين
导游	dǎo yóu	مرشد سياحي
倒	dào	معكوسة
到处	dào chù	في كل مكان
到底	dào dǐ	فى النهاية
道歉	dào qiàn	يعتذر
得	dé	get (فعل مساعد)
得意	dé yì	فخور
登机牌	dēng jī pái	بطاقة الصعود
等	děng	إلخ (جسيم)
低	dī	منخفض
底	dǐ	الأسفل
地点	dì diǎn	موقعك
地球	dì qiú	أرض
地址	dì zhǐ	عنوان
掉	diào	قطرة
调查	diào chá	الدراسة الاستقصائية
丢	diū	يرمي
动作	dòng zuò	عمل
堵车	dǔ chē	الازدحام المروري
肚子	dù zi	بطن
短信	duǎn xìn	رسالة قصيرة
对话	duì huà	حوار
对面	duì miàn	ضد
对于	duì yú	إلى عن على
儿童	ér tóng	طفل
而	ér	و
发生	fā shēng	تحدث
发展	fā zhǎn	تطور ال
法律	fǎ lv4	قانوني
翻译	fān yì	ترجمة
烦恼	fán nǎo	مضطراب
反对	fǎn duì	يعارض
方法	fāng fǎ	طريقة
方面	fāng miàn	جانب
方向	fāng xiàng	اتجاه
房东	fáng dōng	المالك
放弃	fàng qì	استسلم
放暑假	fàng shǔ jià	الاجازة الصيفية
放松	fàng sōng	الاسترخاء
份	fèn	شارك
丰富	fēng fù	غني
否则	fǒu zé	غير ذلك
符合	fú hé	يجتمع
付款	fù kuǎn	دفع
复印	fù yìn	نسخ
复杂	fù zá	مركب
富	fù	غني
父亲	fù qīn	الآب
负责	fù zé	يكون مسؤولا عن
改变	gǎi biàn	يتغيرون
干杯	gān bēi	في صحتك
感动	gǎn dòng	متحرك
感觉	gǎn jué	يشعر
感情	gǎn qíng	شعور
感谢	gǎn xiè	شكرا
敢	gǎn	جسارة
赶	gǎn	سرعه
干	gàn	جاف
刚	gāng	مجرد
高速公路	gāo sù gōng lù	الطريق السريع
胳膊	gē bo	ذراع
各	gè	كل
公里	gōng lǐ	كيلومتر
功夫	gōng fu	مجهود
工资	gōng zī	الأجر
共同	gòng tóng	مشترك
够	gòu	كافية
购物	gòu wù	التسوق
估计	gū jì	تقدير
鼓励	gǔ lì	التشجيع
故意	gù yì	عن عمد
顾客	gù kè	الزبون
挂	guà	شنق
关键	guān jiàn	الأساسي
观众	guān zhòng	الجمهور
管理	guǎn lǐ	إدارة
光	guāng	ضوء
广播	guǎng bō	بث
广告	guǎng gào	إعلان
逛	guàng	يزور
规定	guī dìng	اشترط
国籍	guó jí	البلد التي تنتمي لها
国际	guó jì	دولي
果汁	guǒ zhī	عصير فواكه
过程	guò chéng	معالجة
海洋	hǎi yáng	محيط
害羞	hài xiū	خجول
寒假	hán jià	عطلة الشتاء
汗	hàn	عرق
航班	háng bān	طيران
好处	hǎo chu	فائدة
好像	hǎo xiàng	مثل
号码	hào mǎ	رقم
合格	hé gé	تأهلت
合适	hé shì	متكافئ
盒子	hé zi	صندوق
厚	hòu	سميك
后悔	hòu huǐ	يندم
互联网	hù lián wǎng	الأنترنيت
互相	hù xiāng	بعضهم البعض
护士	hù shi	ممرضة
怀疑	huái yí	شك
回忆	huí yì	ذكريات
活动	huó dòng	نشاط
活泼	huó po	حية
火	huǒ	نار
获得	huò dé	الحصول على
基础	jī chǔ	أساس
激动	jī dòng	الإثارة
积极	jī jí	إيجابي
积累	jī lěi	تراكم
即使	jí shǐ	حتى و إن
及时	jí shí	في الوقت المناسب
寄	jì	إرسال
技术	jì shù	تقنية
既然	jì rán	منذ
继续	jì xù	الاستمرار في
计划	jì huà	خطة
记者	jì zhě	مراسل
加班	jiā bān	متأخر، بعد فوات الوقت
加油站	jiā yóu zhàn	غاز
家具	jiā jù	أثاث المنزل
假	jiǎ	خاطئة
价格	jià gé	السعر
坚持	jiān chí	الالتزام
减肥	jiǎn féi	فقدان الوزن
减少	jiǎn shǎo	أرجع للخلف - قلص
建议	jiàn yì	اقترح
将来	jiāng lái	مستقبل
奖金	jiǎng jīn	علاوة
降低	jiàng dī	خفض
降落	jiàng luò	هبوط
交	jiāo	تعبر
交流	jiāo liú	التواصل مع
交通	jiāo tōng	حركة المرور
郊区	jiāo qū	الضواحي
骄傲	jiāo ào	فخور
饺子	jiǎo zi	الزلابية
教授	jiào shòu	دكتور جامعى
教育	jiào yù	التعليم
接受	jiē shòu	قبول
接着	jiē zhe	ثم
结果	jié guǒ	نتيجة
节	jié	الجزء
节约	jié yuē	إنقاذ
解释	jiě shì	تفسير
尽管	jǐn guǎn	على الرغم من
紧张	jǐn zhāng	التوتر
禁止	jìn zhǐ	يحظر
进行	jìn xíng	اركب
京剧	jīng jù	أوبرا بكين
精彩	jīng cǎi	رائع
经济	jīng jì	الاقتصادية
经历	jīng lì	تجربة
经验	jīng yàn	تجربة
景色	jǐng sè	رأي
警察	jǐng chá	رجال الشرطة
竞争	jìng zhēng	منافسة
竟然	jìng rán	في الواقع
镜子	jìng zi	مرآة
究竟	jiū jìng	بالضبط
举	jǔ	مصعد
举办	jǔ bàn	معلق
举行	jǔ xíng	معلق
拒绝	jù jué	رفض
聚会	jù huì	نلتقي
距离	jù lí	مسافة
开玩笑	kāi wán xiào	نكتة
开心	kāi xīn	سعيدة
看法	kàn fǎ	رأي
烤鸭	kǎo yā	بط مشوي
考虑	kǎo lv4	يعتبر
棵	kē	شجرة
科学	kē xué	علم
咳嗽	ké sou	سعال
可怜	kě lián	مثير للشفقة
可是	kě shì	لكن
可惜	kě xī	للأسف
客厅	kè tīng	غرفة المعيشة
肯定	kěn dìng	بالتأكيد
空	kōng	الهواء
空气	kōng qì	الهواء
恐怕	kǒng pà	أنا خائف
苦	kǔ	مرارة - مر
矿泉水	kuàng quán shuǐ	مياه معدنية
困	kùn	نعسان
困难	kùn nan	صعب
垃圾桶	lā jī tǒng	سلة مهملات
拉	lā	سحب. شد
辣	là	الحار
来不及	lái bu jí	بعد فوات الأوان
来得及	lái de jí	بعد فوات الأوان
来自	lái zì	من عند
懒	lǎn	كسول
浪费	làng fèi	المخلفات
浪漫	làng màn	رومانسي
老虎	lǎo hǔ	نمر
冷静	lěng jìng	هدوء
理发	lǐ fà	حلاقة شعر
理解	lǐ jiě	فهم
理想	lǐ xiǎng	المثالي
礼拜天	lǐ bài tiān	الأحد
礼貌	lǐ mào	مجاملة
例如	lì rú	على سبيل المثال
力气	lì qi	قوة
厉害	lì hai	عظيم
俩	liǎ	على حد سواء
联系	lián xì	اتصل
连	lián	حتى في
凉快	liáng kuai	تهدئة
零钱	líng qián	تغير بسيط
另外	lìng wài	بالاضافة
流利	liú lì	بطلاقة
流行	liú xíng	جمع
留	liú	البقاء
旅行	lǚ xíng	السفر
乱	luàn	فوضى
律师	lv4 shī	محامي
麻烦	má fan	مشكلة
马虎	mǎ hu	غير مبالي
满	mǎn	ممتلئ
毛	máo	شعر
毛巾	máo jīn	منشفة
美丽	měi lì	جميلة
梦	mèng	حلم
迷路	mí lù	اذهب بعيدا
密码	mì mǎ	كلمه السر
免费	miǎn fèi	مجانا
秒	miǎo	ثانيا
民族	mín zú	الأمة
母亲	mǔ qīn	أم
