挨	ái	يعاني
癌症	ái zhèng	سرطان
暧昧	ài mèi	غامض
爱不释手	ài bù shì shǒu	ضعه أرضا، أنزله
爱戴	ài dài	حب
安宁	ān níng	امن
安详	ān xiáng	هادئ
安置	ān zhì	تحديد مستوى
按摩	àn mó	تدليك
暗示	àn shì	ملحوظة
案件	àn jiàn	قضية
案例	àn lì	قضية
昂贵	áng guì	مكلفة
凹凸	āo tū	صدم
熬	áo	دمل
奥秘	ào mì	لغز
巴不得	bā bù dé	قلق
巴结	bā jie	تزلف
扒	bā	شواية
疤	bā	ندب
拔苗助长	bá miáo zhù zhǎng	اقتلاع
把关	bǎ guān	التحقق من
把手	bǎ shǒu	مقبض
罢工	bà gōng	إضراب
霸道	bà dào	متعجرف
掰	bāi	وداعا
摆脱	bǎi tuō	تخلص من
拜访	bài fǎng	يزور
拜年	bài nián	سنة جديدة سعيدة
拜托	bài tuō	رجاء
败坏	bài huài	فاسد
斑	bān	بقعة
颁布	bān bù	نشر
颁发	bān fā	القضية
版本	bǎn běn	الإصدار
伴侣	bàn lv3	رفيق
伴随	bàn suí	مصاحب
半途而废	bàn tú ér fèi	تستسلم في منتصف الطريق
扮演	bàn yǎn	لعب
榜样	bǎng yàng	مثال
绑架	bǎng jià	خطف
磅	bàng	رطل
包庇	bāo bì	مأوى
包袱	bāo fu	عبء
包围	bāo wéi	محاط
包装	bāo zhuāng	صفقة
保管	bǎo guǎn	عهدة
保密	bǎo mì	يحفظ السر
保姆	bǎo mǔ	جليسه اطفال
保守	bǎo shǒu	تحفظا
保卫	bǎo wèi	الدفاع
保养	bǎo yǎng	اعمال صيانة
保障	bǎo zhàng	ضمان
保重	bǎo zhòng	اعتن بنفسك
饱和	bǎo hé	التشبع
饱经沧桑	bǎo jīng cāng sāng	تقلبات
报酬	bào chou	تعويض
报仇	bào chóu	انتقام
报答	bào dá	سداد
报复	bào fù	انتقام
报警	bào jǐng	اتصل بالشرطة
报销	bào xiāo	السداد
抱负	bào fù	طموح
暴力	bào lì	عنف
暴露	bào lù	مكشوف
曝光	bào guāng	التعرض
爆发	bào fā	انطلق
爆炸	bào zhà	انفجار
卑鄙	bēi bǐ	يعني
悲哀	bēi āi	حزن
悲惨	bēi cǎn	مأساوي
北极	běi jí	القطب الشمالي
备份	bèi fèn	دعم
备忘录	bèi wàng lù	مذكرة
背叛	bèi pàn	يخون
背诵	bèi sòng	يتلو
被动	bèi dòng	مبني للمجهول
