爱	ài	liebe
八	bā	acht
爸爸	bà ba	vater
杯子	bēi zi	tasse
北京	běi jīng	peking
本	běn	dies
不客气	bú kè qi	bitte
不	bù	unterlassen sie
菜	cài	gericht
茶	chá	tee
吃	chī	essen
出租车	chū zū chē	taxi
打电话	dǎ diàn huà	anruf
大	dà	groß
的	de	von
点	diǎn	punkt
电脑	diàn nǎo	computer
电视	diàn shì	fernseher
电影	diàn yǐng	der film
东西	dōng xi	ding
都	dōu	alles
读	dú	lesen
对不起	duì bu qǐ	es tut uns leid
多	duō	viele
多少	duō shǎo	wie viele
儿子	ér zi	sohn
二	èr	zwei
饭店	fàn diàn	restaurant
飞机	fēi jī	flugzeug
分钟	fēn zhōng	minute
高兴	gāo xìng	glücklich
个	gè	ein
工作	gōng zuò	arbeitsplätze
狗	gǒu	hund
汉语	hàn yǔ	chinesisch
好	hǎo	es ist gut
号	hào	nummer
喝	hē	trinken
和	hé	mit
很	hěn	sehr
后面	hòu miàn	hinter
回	huí	zurück zu
会	huì	treffen
几	jǐ	ein paar
家	jiā	familie
叫	jiào	anruf
今天	jīn tiān	heutzutage
九	jiǔ	neun
开	kāi	öffnen
看	kàn	aussehen
看见	kàn jiàn	sehen
块	kuài	stück
来	lái	kommen sie
老师	lǎo shī	lehrer
了	le	oben
冷	lěng	kalt
里	lǐ	im
六	liù	sechs
吗	ma	ist es
妈妈	mā ma	mama
买	mǎi	kaufen
猫	māo	katze
没关系	méi guān xi	es ist in ordnung
没有	méi yǒu	nein
米饭	mǐ fàn	reis
名字	míng zi	vorname
明天	míng tiān	morgen
哪	nǎ	wo
哪儿	nǎ er	wo
那	nà	das
呢	ne	was
能	néng	können
你	nǐ	sie
年	nián	jahr
女儿	nǚ ér	tochter
朋友	péng you	freund
漂亮	piào liang	ziemlich
苹果	píng guǒ	apfel
七	qī	sieben
前面	qián miàn	vorderseite
钱	qián	geld
请	qǐng	bitte
去	qù	geh mit
热	rè	hitze
人	rén	menschen
认识	rèn shi	verstehen
三	sān	drei
商店	shāng diàn	geschäft
上	shàng	auf
上午	shàng wǔ	morgen
少	shǎo	weniger
谁	shéi	wer
什么	shén me	was
十	shí	zehn
时候	shí hou	zeit
是	shì	ja
书	shū	buch
水	shuǐ	wasser
水果	shuǐguǒ	obst
睡觉	shuì jiào	zu bett gehen
说	shuō	sagen
四	sì	vier
岁	suì	jahre alt
他	tā	er
她	tā	sie war
太	tài	zu
天气	tiān qì	das wetter
听	tīng	hör mal zu
同学	tóng xué	mitschüler
喂	wèi	hallo (interjektion)
我	wǒ	ich
我们	wǒ men	wir
五	wǔ	fünf
喜欢	xǐ huan	mögen
下	xià	unter
下午	xià wǔ	am abend
下雨	xià yǔ	regen
先生	xiān sheng	herr
现在	xiàn zài	grade eben
想	xiǎng	vermisse dich
小	xiǎo	klein
小姐	xiǎo jie	fräulein
些	xiē	etwas
写	xiě	schreiben
谢谢	xiè xie	vielen dank
星期	xīng qī	woche
学生	xué sheng	schüler
学习	xué xí	lernen
学校	xué xiào	schule
一	yī	einer
一点儿	yī diǎn er	ein wenig
医生	yī shēng	ärzte
医院	yī yuàn	krankenhaus
衣服	yī fu	kleider
椅子	yǐ zi	stuhl
有	yǒu	haben
月	yuè	monat
再见	zài jiàn	auf wiedersehen
在	zài	im
怎么	zěn me	wie
怎么样	zěn me yàng	wie wäre es
这	zhè	dies
中国	zhōng guó	china
中午	zhōng wǔ	mittag
住	zhù	leben
桌子	zhuō zi	tabelle
字	zì	wort
昨天	zuó tiān	gestern
做	zuò	machen
坐	zuò	sitzen
