啊	a	was
阿姨	ā yí	tante
矮	ǎi	kurz
爱好	ài hào	hobby
安静	ān jìng	sei ruhig
把	bǎ	stellen
搬	bān	bewegung
班	bān	klasse
办法	bàn fǎ	methode
办公室	bàn gōng shì	büro
半	bàn	hälfte
帮忙	bāng máng	hilfe
包	bāo	paket
饱	bǎo	voll
北方	běi fāng	norden
被	bèi	sein
鼻子	bí zi	nase
比较	bǐ jiào	vergleichen sie
比赛	bǐ sài	spiel
笔记本	bǐ jì běn	notizbuch
必须	bì xū	müssen, zu ... haben
变化	biàn huà	vielfalt
别人	bié rén	andere leute
冰箱	bīng xiāng	kühlschrank
不但…而且…	bù dàn …ér qiě …	nicht nur aber auch…
菜单	cài dān	speisekarte
参加	cān jiā	sich beteiligen
草	cǎo	gras
层	céng	fußboden
差	chà	unterschied
超市	chāo shì	supermarkt
衬衫	chèn shān	hemd
城市	chéng shì	stadt
成绩	chéng jì	noten
迟到	chí dào	spät
除了	chú le	außer, abgesondert, ausgenommen
船	chuán	fähre
春	chūn	frühling
词典	cí diǎn	wörterbuch
聪明	cōng ming	klug
打扫	dǎ sǎo	sauber
打算	dǎ suàn	wollen
带	dài	band
担心	dān xīn	sorge
蛋糕	dàn gāo	kuchen
当然	dāng rán	natürlich
地	de	boden (partikel)
灯	dēng	licht
地方	dì fang	lokal
地铁	dì tiě	u-bahn
地图	dì tú	karte
电梯	diàn tī	aufzug
电子邮件	diàn zǐ yóu jiàn	email
东	dōng	osten
冬	dōng	winter
动物	dòng wù	tier
短	duǎn	kurz
段	duàn	segment
锻炼	duàn liàn	trainieren
多么	duō me	wie
饿	è a	hungrig
耳朵	ěr duo	ohr
发	fā	haar
发烧	fā shāo	fieber
发现	fā xiàn	finden
方便	fāng biàn	bequemlichkeit
放	fàng	stellen
放心	fàng xīn	seien sie versichert
分	fēn	minute
复习	fù xí	rezension
附近	fù jìn	in der nähe
干净	gān jìng	sauber
感冒	gǎn mào	kalt
感兴趣	gǎn xìng qù	interessiert an
刚才	gāng cái	grade eben
个子	gè zi	groß
根据	gēn jù	gemäß
跟	gēn	mit
更	gèng	mehr
公斤	gōng jīn	kg
公园	gōng yuán	park
故事	gù shi	geschichte
刮风	guā fēng	windig
关	guān	ausschalten
关系	guān xì	beziehung
关心	guān xīn	besorgnis, sorge
关于	guān yú	auf
国家	guó jiā	land
过	guò	pass (verb)
过去	guò qu	vergangenheit
还是	hái shì	ist immernoch
害怕	hài pà	erschrocken
黑板	hēi bǎn	tafel
后来	hòu lái	später
护照	hù zhào	reisepass
花	huā	blume (verb)
花	huā	blume (substantiv)
画	huà	malerei
坏	huài	schlecht
欢迎	huān yíng	herzlich willkommen
环境	huán jìng	umfeld
还	huán	zurück (verb)
换	huàn	veränderung
黄河	huáng hé	gelber fluss
回答	huí dá	antworten
会议	huì yì	treffen
或者	huò zhě	oder
几乎	jī hū	fast
机会	jī huì	gelegenheit
极	jí	pole
季节	jì jié	jahreszeit
记得	jì de	merken
检查	jiǎn chá	eine prüfung
简单	jiǎn dān	einfach
健康	jiàn kāng	gesundheit
见面	jiàn miàn	treffen
讲	jiǎng	sprechen
教	jiào	lehren
脚	jiǎo	fuß
角	jiǎo	winkel
接	jiē	abholen
街道	jiē dào	straße
结婚	jié hūn	heiraten
结束	jié shù	ende
节目	jié mù	programm
节日	jié rì	festival
解决	jiě jué	lösen
借	jiè	leihen
经常	jīng cháng	häufig
经过	jīng guò	nach
经理	jīng lǐ	manager
久	jiǔ	lange
旧	jiù	alt
句子	jù zi	satz
决定	jué dìng	entscheiden
可爱	kě ài	schön
渴	kě	durstig
刻	kè	graviert
客人	kè rén	die gäste
空调	kōng tiáo	klimaanlage
口	kǒu	mund
哭	kū	schrei
裤子	kù zi	hose
筷子	kuài zi	essstäbchen
蓝	lán	blau
老	lǎo	alt
离开	lí kāi	geh weg
礼物	lǐ wù	geschenk
历史	lì shǐ	geschichte
脸	liǎn	gesicht
练习	liàn xí	übung
辆	liàng	fahrzeuge
聊天	liáo tiān	zu chatten
了解	liǎo jiě	zum verständnis
邻居	lín jū	nachbar
留学	liú xué	im ausland studieren
楼	lóu	fußboden
绿	lv4	grün
马	mǎ	pferd
马上	mǎ shàng	sofort
满意	mǎn yì	befriedigung
帽子	mào zi	hut
米	mǐ	meter
面包	miàn bāo	brot
明白	míng bai	verstehen
拿	ná	nehmen
奶奶	nǎi nai	oma
南	nán	süden
难	nán	schwer
难过	nán guò	traurig
年级	nián jí	klasse
年轻	nián qīng	jung
鸟	niǎo	vogel
努力	nǔ lì	hart arbeiten
爬山	pá shān	bergsteigen
盘子	pán zi	teller
胖	pàng	fett
啤酒	pí jiǔ	bier
皮鞋	pí xié	lederschuhe
瓶子	píng zi	flasche
其实	qí shí	eigentlich
其他	qí tā	andere
