爱情	ài qíng	liebe
安排	ān pái	anordnung
安全	ān quán	sicherheit
按时	àn shí	pünktlich
按照	àn zhào	gemäß
百分之	bǎi fēn zhī	prozent
棒	bàng	taktstock
包子	bāo zi	brötchen
保护	bǎo hù	schutz
保证	bǎo zhèng	garantie
报名	bào míng	anmelden
抱	bào	halt
抱歉	bào qiàn	es tut uns leid
倍	bèi	mal
本来	běn lái	ursprünglich
笨	bèn	blöd
比如	bǐ rú	sowie
毕业	bì yè	abschluss
遍	biàn	überall
标准	biāo zhǔn	standard
表格	biǎo gé	bilden
表示	biǎo shì	meint
表演	biǎo yǎn	performance
表扬	biǎo yáng	loben
饼干	bǐng gān	keks
并且	bìng qiě	und
博士	bó shì	phd
不过	bú guò	aber
不得不	bù dé bù	müssen, zu ... haben
不管	bù guǎn	egal ob
不仅	bù jǐn	nicht nur
部分	bù fen	sektion
擦	cā	reiben
猜	cāi	vermuten
材料	cái liào	material
参观	cān guān	besuch
餐厅	cān tīng	restaurant
厕所	cè suǒ	toilette
差不多	chà bu duō	fast
尝	cháng	geschmack
长城	cháng chéng	große mauer
长江	cháng jiāng	jangtse
场	chǎng	feld
超过	chāo guò	überschreiten
乘坐	chéng zuò	reiten
成功	chéng gōng	erfolg
成为	chéng wéi	werden
诚实	chéng shí	ehrlich
吃惊	chī jīng	überrascht sein
重新	chóng xīn	re
抽烟	chōu yān	raucht
出差	chū chāi	geschäftsreise
出发	chū fā	losfahren
出生	chū shēng	geboren
出现	chū xiàn	erscheinen
厨房	chú fáng	küche
传真	chuán zhēn	fax
窗户	chuāng hu	fenster
词语	cí yǔ	wörter
从来	cóng lái	je
粗心	cū xīn	leichtsinnig
存	cún	sparen
错误	cuò wù	error
答案	dá àn	antworten
打扮	dǎ ban	ankleiden
打扰	dǎ rǎo	stören
打印	dǎ yìn	drucken
打招呼	dǎ zhāo hu	grüßen
打折	dǎ zhé	rabatt
打针	dǎ zhēn	injektion
大概	dà gài	wahrscheinlich
大使馆	dà shǐ guǎn	botschaft
大约	dà yuē	über
大夫	dài fu	arzt
戴	dài	trug
当	dāng	wann
当时	dāng shí	dann
刀	dāo	messer
导游	dǎo yóu	touristenführer
倒	dào	invertiert
到处	dào chù	überall
到底	dào dǐ	schlussendlich
道歉	dào qiàn	entschuldigen
得	dé	get (hilfsverb)
得意	dé yì	stolz
登机牌	dēng jī pái	bordkarte
等	děng	usw. (partikel)
低	dī	niedrig
底	dǐ	unterseite
地点	dì diǎn	lage
地球	dì qiú	erde
地址	dì zhǐ	adresse
掉	diào	fallen
调查	diào chá	umfrage
丢	diū	werfen
动作	dòng zuò	aktion
堵车	dǔ chē	stau
肚子	dù zi	bauch
短信	duǎn xìn	sms
对话	duì huà	dialog
对面	duì miàn	gegenteil
对于	duì yú	zum
儿童	ér tóng	kind
而	ér	und
发生	fā shēng	auftreten
发展	fā zhǎn	entwicklung von
法律	fǎ lv4	legal
翻译	fān yì	übersetzung
烦恼	fán nǎo	verärgert
反对	fǎn duì	ablehnen
方法	fāng fǎ	methode
方面	fāng miàn	aspekt
方向	fāng xiàng	richtung
