吧	ba	μπαρ
白	bái	άσπρο
百	bǎi	εκατό
帮助	bāng zhù	βοήθεια
报纸	bào zhǐ	εφημερίδα
比	bǐ	αναλογία
别	bié	μην
宾馆	bīn guǎn	ξενοδοχειο
长	cháng	μακρύ (επίθετο)
唱歌	chàng gē	να τραγουδήσω
出	chū	εξω
穿	chuān	φορούν
次	cì	φορές
从	cóng	από
错	cuò	λανθασμένος
打篮球	dǎ lán qiú	παίξε μπάσκετ
大家	dà jiā	ολοι
到	dào	προς το
得	de	λήψη (σωματιδίων)
等	děng	περιμένετε (ρήμα)
弟弟	dì di	μικρός αδερφός
第一	dì yī	ο πρώτος
懂	dǒng	καταλαβαίνουν
对	duì	δεξιά (πρόθεση)
对	duì	ναι (επίθετο)
房间	fáng jiān	δωμάτιο
非常	fēi cháng	πάρα πολύ
服务员	fú wù yuán	σερβιτόρος
高	gāo	υψηλός
告诉	gào su	λέγω
哥哥	gē ge	αδελφός
给	gěi	δίνω
公共汽车	gōng gòng qì chē	λεωφορείο
公司	gōng sī	η εταιρία
贵	guì	ακριβός
过	guo	pass (σωματίδιο)
孩子	hái zi	παιδί
还	hái	επίσης (επίρρημα)
好吃	hǎo chī	καλό να φας
黑	hēi	μαύρος
红	hóng	το κόκκινο
火车站	huǒ chē zhàn	σιδηροδρομικό σταθμό
机场	jī chǎng	αεροδρόμιο
鸡蛋	jī dàn	αυγό
件	jiàn	κομμάτια
教室	jiào shì	αίθουσα διδασκαλίας
姐姐	jiě jie	αδελφή
介绍	jiè shào	εισαγωγή
近	jìn	κοντά
进	jìn	προκαταβολή
就	jiù	επί
觉得	jué de	αφή
咖啡	kā fēi	καφές
开始	kāi shǐ	αρχή
考试	kǎo shì	εξέταση
可能	kě néng	ενδέχεται
可以	kě yǐ	μπορώ
课	kè	τάξη
快	kuài	γρήγορα
快乐	kuài lè	ευτυχισμένος
累	lèi	κουρασμένος
离	lí	από
两	liǎng	δύο
零	líng	μηδέν
路	lù	δρόμος
旅游	lv3 yóu	ο τουρισμος
卖	mài	πουλώ
慢	màn	αργός
忙	máng	απασχολημένος
每	měi	καθε
妹妹	mèi mei	μικρότερη αδερφή
门	mén	πόρτα
面条	miàn tiáo	λαζάνια
男	nán	αρσενικός
您	nín	εσύ
牛奶	niú nǎi	γάλα
女	nǚ	θηλυκός
旁边	páng biān	δίπλα στο
跑步	pǎo bù	τρέξιμο
便宜	pián yi	φτηνός
票	piào	εισιτήριο
妻子	qī zi	γυναίκα
起床	qǐ chuáng	σήκω
千	qiān	χίλια
铅笔	qiān bǐ	μολύβι
晴	qíng	σαφή
去年	qù nián	πέρυσι
让	ràng	αφήνω
日	rì	ημέρα
上班	shàng bān	να δουλέψω
身体	shēn tǐ	σώμα
生病	shēng bìng	άρρωστος
生日	shēng rì	γενέθλια
时间	shí jiān	χρόνος
事情	shì qing	πράγμα
手表	shǒu biǎo	ρολόι
手机	shǒu jī	κινητό τηλέφωνο
说话	shuō huà	μιλώ
送	sòng	χαρίζω
虽然…但是…	suī rán …dàn shì …	ωστόσο, αν και…
它	tā	το
踢足球	tī zú qiú	παίζω ποδόσφαιρο
题	tí	ερώτηση
跳舞	tiào wǔ	χορός
外	wài	εξωτερικός
完	wán	φινίρισμα
玩	wán	παίζω
晚上	wǎn shang	τη νύχτα
往	wǎng	προς το
为什么	wèi shén me	γιατί
问	wèn	παρακαλώ
问题	wèn tí	πρόβλημα
希望	xī wàng	ελπίδα
西瓜	xī guā	καρπούζι
洗	xǐ	πλύση
小时	xiǎo shí	ώρα
笑	xiào	γέλιο
新	xīn	νέος
姓	xìng	όνομα
休息	xiū xi	υπόλοιπο
雪	xuě	χιόνι
颜色	yán sè	χρώμα
眼睛	yǎn jing	μάτι
羊肉	yáng ròu	αρνάκι
药	yào	φάρμακο
要	yào	θέλω
也	yě	και επίσης
一下	yī xià	λίγο
已经	yǐ jīng	ήδη
一起	yī qǐ	μαζί
意思	yì si	έννοια
因为…所以…	yīn wèi …suǒ yǐ …	γιατί λοιπόν…
阴	yīn	γιν
游泳	yóu yǒng	ζάλη
右边	yòu bian	σωστά
鱼	yú	ψάρι
远	yuǎn	μακριά
运动	yùn dòng	κίνηση
再	zài	πάλι
早上	zǎo shang	πρωί
丈夫	zhàng fu	σύζυγος
找	zhǎo	εύρημα
着	zhe	με
真	zhēn	αληθής
正在	zhèng zài	να εισαι
知道	zhī dào	ξέρω
准备	zhǔn bèi	έτοιμος
走	zǒu	πηγαίνω
最	zuì	πλέον
左边	zuǒ bian	αριστερά
