啊	a	τι
阿姨	ā yí	θεία
矮	ǎi	μικρός
爱好	ài hào	χόμπι
安静	ān jìng	κάνε ησυχία
把	bǎ	βάζω
搬	bān	κίνηση
班	bān	τάξη
办法	bàn fǎ	μέθοδος
办公室	bàn gōng shì	γραφείο
半	bàn	τα μισα
帮忙	bāng máng	βοήθεια
包	bāo	πακέτο
饱	bǎo	γεμάτος
北方	běi fāng	βόρειος
被	bèi	είναι
鼻子	bí zi	μύτη
比较	bǐ jiào	συγκρίνω
比赛	bǐ sài	παιχνίδι
笔记本	bǐ jì běn	σημειωματάριο
必须	bì xū	πρέπει
变化	biàn huà	ποικιλία
别人	bié rén	άλλοι άνθρωποι
冰箱	bīng xiāng	ψυγείο
不但…而且…	bù dàn …ér qiě …	όχι μόνο αλλά…
菜单	cài dān	μενού
参加	cān jiā	συμμετέχω
草	cǎo	γρασίδι
层	céng	πάτωμα
差	chà	διαφορά
超市	chāo shì	σουπερμάρκετ
衬衫	chèn shān	πουκάμισο
城市	chéng shì	πόλη
成绩	chéng jì	βαθμοί
迟到	chí dào	αργά
除了	chú le	εκτός από
船	chuán	πορθμείο
春	chūn	άνοιξη
词典	cí diǎn	λεξικό
聪明	cōng ming	έξυπνος
打扫	dǎ sǎo	καθαρη
打算	dǎ suàn	σκοπεύω
带	dài	ζώνη
担心	dān xīn	ανησυχία
蛋糕	dàn gāo	κέικ
当然	dāng rán	φυσικά
地	de	γείωση (σωματίδιο)
灯	dēng	φως
地方	dì fang	τοπικός
地铁	dì tiě	μετρό
地图	dì tú	χάρτης
电梯	diàn tī	ανελκυστήρας
电子邮件	diàn zǐ yóu jiàn	ηλεκτρονικη διευθυνση
东	dōng	ανατολή
冬	dōng	χειμώνας
动物	dòng wù	ζώο
短	duǎn	μικρός
段	duàn	τμήμα
锻炼	duàn liàn	επεξεργάζομαι
多么	duō me	πως
饿	è a	πεινασμένος
耳朵	ěr duo	αυτί
发	fā	μαλλιά
发烧	fā shāo	πυρετός
发现	fā xiàn	εύρημα
方便	fāng biàn	ευκολία
放	fàng	βάζω
放心	fàng xīn	μείνε ήσυχος
分	fēn	λεπτό
复习	fù xí	ανασκόπηση
附近	fù jìn	πλησίον
干净	gān jìng	καθαρη
感冒	gǎn mào	κρύο
感兴趣	gǎn xìng qù	ενδιαφέρομαι για
刚才	gāng cái	μόλις τώρα
个子	gè zi	ψηλός
根据	gēn jù	σύμφωνα με
跟	gēn	με
更	gèng	περισσότερο
公斤	gōng jīn	κιλό
公园	gōng yuán	πάρκο
故事	gù shi	ιστορία
刮风	guā fēng	ανεμώδης
关	guān	σβήνω
关系	guān xì	σχέση
关心	guān xīn	ανησυχία
关于	guān yú	επί
国家	guó jiā	χώρα
过	guò	πέρασμα (ρήμα)
过去	guò qu	το παρελθόν
还是	hái shì	ακομα ειναι
害怕	hài pà	φοβισμένος
黑板	hēi bǎn	μαυροπίνακας
后来	hòu lái	αργότερα
护照	hù zhào	διαβατήριο
花	huā	λουλούδι (ρήμα)
花	huā	λουλούδι (ουσιαστικό)
画	huà	ζωγραφική
坏	huài	κακό
欢迎	huān yíng	καλως ηρθατε
环境	huán jìng	περιβαλλοντας χωρος
还	huán	επιστροφή (ρήμα)
换	huàn	αλλαγή
黄河	huáng hé	κίτρινος ποταμός
回答	huí dá	απάντηση
会议	huì yì	συνάντηση
或者	huò zhě	ή
几乎	jī hū	σχεδόν
机会	jī huì	ευκαιρία
极	jí	πόλος
季节	jì jié	εποχή
记得	jì de	θυμάμαι
检查	jiǎn chá	μια εξέταση
简单	jiǎn dān	απλός
健康	jiàn kāng	υγεία
见面	jiàn miàn	συναντώ
讲	jiǎng	μιλώ
教	jiào	διδάσκω
脚	jiǎo	πόδι
角	jiǎo	γωνία
接	jiē	μαζεύω
街道	jiē dào	δρόμος
结婚	jié hūn	παντρεύω
结束	jié shù	τέλος
节目	jié mù	πρόγραμμα
节日	jié rì	φεστιβάλ
解决	jiě jué	λύσει
借	jiè	δανείζομαι
经常	jīng cháng	συχνά
经过	jīng guò	μετά
经理	jīng lǐ	διευθυντής
久	jiǔ	μακρύς
旧	jiù	παλαιός
句子	jù zi	πρόταση
决定	jué dìng	αποφασίζω
可爱	kě ài	ωραίος
渴	kě	διψασμένος
刻	kè	σκαλιστός
客人	kè rén	οι καλεσμένοι
空调	kōng tiáo	κλιματισμός
口	kǒu	στόμα
哭	kū	κραυγή
裤子	kù zi	παντελόνι
筷子	kuài zi	ξυλάκια
蓝	lán	μπλε
老	lǎo	παλαιός
离开	lí kāi	φύγε
礼物	lǐ wù	δώρο
历史	lì shǐ	ιστορία
脸	liǎn	πρόσωπο
练习	liàn xí	ασκηση
辆	liàng	οχήματα
聊天	liáo tiān	για συνομιλία
了解	liǎo jiě	στην κατανόηση
邻居	lín jū	γείτονας
留学	liú xué	σπουδάζω στο εξωτερικό
楼	lóu	πάτωμα
绿	lv4	πράσινος
马	mǎ	άλογο
马上	mǎ shàng	αμέσως
满意	mǎn yì	ικανοποίηση
帽子	mào zi	καπέλο
米	mǐ	μετρητής
面包	miàn bāo	ψωμί
明白	míng bai	καταλαβαίνουν
拿	ná	παίρνω
奶奶	nǎi nai	γιαγιά
南	nán	νότος
难	nán	δύσκολος
难过	nán guò	λυπημένος
年级	nián jí	βαθμός
年轻	nián qīng	νέος
鸟	niǎo	πουλί
努力	nǔ lì	δούλεψε σκληρά
爬山	pá shān	ορειβασία
盘子	pán zi	πλάκα
胖	pàng	λίπος
啤酒	pí jiǔ	μπύρα
皮鞋	pí xié	δερμάτινα παπούτσια
瓶子	píng zi	μπουκάλι
其实	qí shí	στην πραγματικότητα
其他	qí tā	άλλα
奇怪	qí guài	παράξενος
骑	qí	βόλτα
起飞	qǐ fēi	απογείωση
起来	qǐ lái	σήκω πάνω
清楚	qīng chu	σαφή
请假	qǐng jià	ζητήστε άδεια
秋	qiū	φθινόπωρο
裙子	qún zi	φούστα
然后	rán hòu	τότε
热情	rè qíng	ενθουσιασμός
认为	rèn wéi	νομίζω
认真	rèn zhēn	σοβαρός
容易	róng yì	ανετα
如果	rú guǒ	σε περίπτωση
伞	sǎn	ομπρέλα
上网	shàng wǎng	συνδέσου στο διαδίκτυο
声音	shēng yīn	ήχος
生气	shēng qì	τσαντισμένος
世界	shì jiè	κόσμος
试	shì	δοκιμή
瘦	shòu	λεπτός
叔叔	shū shu	θείος
舒服	shū fu	ανετος
数学	shù xué	μαθηματικά
树	shù	δέντρο
刷牙	shuā yá	βούρτσισε τα δόντια σου
双	shuāng	διπλό
水平	shuǐ píng	επίπεδο
司机	sī jī	οδηγός
太阳	tài yáng	ήλιος
特别	tè bié	ειδικά
疼	téng	πόνος
提高	tí gāo	βελτιώσει
体育	tǐ yù	φυσική αγωγή
甜	tián	γλυκός
条	tiáo	αρθρο
同事	tóng shì	συνάδελφος
同意	tóng yì	συμφωνώ
头发	tóu fa	μαλλιά
突然	tū rán	ξαφνικά
图书馆	tú shū guǎn	βιβλιοθήκη
腿	tuǐ	πόδι
完成	wán chéng	φέρει εις πέρας
碗	wǎn	γαβάθα
万	wàn	δέκα χιλιάδες
忘记	wàng jì	ξεχνάμε
为	wèi	για
为了	wèi le	ώστε να
位	wèi	κομμάτι
文化	wén huà	πολιτισμός
西	xī	οο
习惯	xí guàn	συνήθεια
洗手间	xǐ shǒu jiān	τουαλέτα
洗澡	xǐ zǎo	κάνε ένα μπάνιο
夏	xià	καλοκαίρι
先	xiān	πρώτα
相信	xiāng xìn	πιστεύω
香蕉	xiāng jiāo	μπανάνα
像	xiàng	αρέσει
向	xiàng	προς το
小心	xiǎo xīn	πρόσεχε
校长	xiào zhǎng	διευθυντρια σχολειου
新闻	xīn wén	νέα
新鲜	xīn xiān	φρέσκο
信用卡	xìn yòng kǎ	πιστωτική κάρτα
行李箱	xíng lǐ xiāng	κορμός
熊猫	xióng māo	αρκτοειδές ζώο της ασίας
需要	xū yào	χρειάζομαι
选择	xuǎn zé	επιλέγω
要求	yāo qiú	απαίτηση
爷爷	yé ye	παππούς
一直	yī zhí	πάντα
一定	yí dìng	σίγουρα
一共	yī gòng	σύνολο
一会儿	yī huì er	για λίγο
一样	yī yàng	ίδιο
以前	yǐ qián	πριν
一般	yī bān	γενικός
一边	yī biān	μία πλευρά
音乐	yīn yuè	μουσικη
银行	yín háng	τράπεζα
饮料	yǐn liào	ποτό
应该	yīng gāi	πρέπει
影响	yǐng xiǎng	επιρροές
用	yòng	χρήση
游戏	yóu xì	παιχνίδι
有名	yǒu míng	διάσημος
又	yòu	επίσης
遇到	yù dào	συνάντηση
元	yuán	γιουάν
愿意	yuàn yì	πρόθυμος
月亮	yuè liang	φεγγάρι
越	yuè	περισσότερο
站	zhàn	σταθμός
张	zhāng	τζανγκ
长	zhǎng	μακρύ (ρήμα)
着急	zháo jí	ανήσυχος
照顾	zhào gu	μεριμνώ
照片	zhào piàn	φωτογραφία
照相机	zhào xiàng jī	φωτογραφικη μηχανη
只	zhǐ	μόνο (επίρρημα)
只	zhǐ	μόνο (ποσοτικοποιητής)
只有…才…	zhǐ yǒu …cái …	μόνο...
中间	zhōng jiān	ενδιάμεσος
中文	zhōng wén	κινέζικα
终于	zhōng yú	επιτέλους
种	zhǒng	είδη (ποσοτικοποιητής)
重要	zhòng yào	σπουδαίος
周末	zhōu mò	σαββατοκύριακο
主要	zhǔ yào	κύριος
注意	zhù yì	σημείωση
自己	zì jǐ	εαυτός
自行车	zì xíng chē	ποδήλατο
总是	zǒng shì	πάντα
嘴	zuǐ	στόμα
最后	zuì hòu	επιτέλους
最近	zuì jìn	πρόσφατος
作业	zuò yè	λειτουργία
