爱情	ài qíng	αγάπη
安排	ān pái	συμφωνία
安全	ān quán	ασφάλεια
按时	àn shí	στην ώρα
按照	àn zhào	σύμφωνα με
百分之	bǎi fēn zhī	τοις εκατό
棒	bàng	γκλομπ
包子	bāo zi	κουλουράκι
保护	bǎo hù	προστασια
保证	bǎo zhèng	εγγύηση
报名	bào míng	εγγραφείτε
抱	bào	κρατήστε
抱歉	bào qiàn	συγνώμη
倍	bèi	φορές
本来	běn lái	αρχικά
笨	bèn	χαζος
比如	bǐ rú	όπως
毕业	bì yè	αποφοίτηση
遍	biàn	παντού
标准	biāo zhǔn	πρότυπο
表格	biǎo gé	μορφή
表示	biǎo shì	που σημαίνει
表演	biǎo yǎn	εκτέλεση
表扬	biǎo yáng	έπαινος
饼干	bǐng gān	μπισκότο
并且	bìng qiě	και
博士	bó shì	διδακτορικό
不过	bú guò	αλλά
不得不	bù dé bù	πρέπει
不管	bù guǎn	ασχέτως
不仅	bù jǐn	οχι μονο
部分	bù fen	ενότητα
擦	cā	τρίψιμο
猜	cāi	εικασία
材料	cái liào	υλικό
参观	cān guān	επίσκεψη
餐厅	cān tīng	εστιατόριο
厕所	cè suǒ	τουαλέτα
差不多	chà bu duō	σχεδόν
尝	cháng	γεύση
长城	cháng chéng	ωραιος τοιχος
长江	cháng jiāng	γιαντζέ
场	chǎng	πεδίο
超过	chāo guò	υπερβαίνω
乘坐	chéng zuò	βόλτα
成功	chéng gōng	επιτυχία
成为	chéng wéi	γίνομαι
诚实	chéng shí	τίμιος
吃惊	chī jīng	να εκπλαγείτε
重新	chóng xīn	σχετικά με
抽烟	chōu yān	καπνίζει
出差	chū chāi	επαγγελματικό ταξίδι
出发	chū fā	συμψηφίσει
出生	chū shēng	γεννημένος
出现	chū xiàn	εμφανίζομαι
厨房	chú fáng	κουζίνα
传真	chuán zhēn	φαξ
窗户	chuāng hu	παράθυρο
词语	cí yǔ	λόγια
从来	cóng lái	πάντα
粗心	cū xīn	απρόσεκτος
存	cún	αποθηκεύσετε
错误	cuò wù	λάθος
答案	dá àn	απάντηση
