啊	a	何
阿姨	ā yí	叔母
矮	ǎi	ショート
爱好	ài hào	趣味
安静	ān jìng	静かにして
把	bǎ	置く
搬	bān	移動する
班	bān	クラス
办法	bàn fǎ	方法
办公室	bàn gōng shì	オフィス
半	bàn	ハーフ
帮忙	bāng máng	助けて
包	bāo	パッケージ
饱	bǎo	フル
北方	běi fāng	北
被	bèi	ありなさい
鼻子	bí zi	鼻
比较	bǐ jiào	比較する
比赛	bǐ sài	ゲーム
笔记本	bǐ jì běn	ノート
必须	bì xū	する必要がある
变化	biàn huà	バラエティ
别人	bié rén	他の人
冰箱	bīng xiāng	冷蔵庫
不但…而且…	bù dàn …ér qiě …	だけでなく…
菜单	cài dān	メニュー
参加	cān jiā	参加する
草	cǎo	草
层	céng	床
差	chà	差
超市	chāo shì	スーパーマーケット
衬衫	chèn shān	シャツ
城市	chéng shì	市
成绩	chéng jì	グレード
迟到	chí dào	遅い
除了	chú le	の他に
船	chuán	フェリー
春	chūn	春
词典	cí diǎn	辞書
聪明	cōng ming	賢い
打扫	dǎ sǎo	掃除
打算	dǎ suàn	意図する
带	dài	バンド
担心	dān xīn	心配
蛋糕	dàn gāo	ケーキ
当然	dāng rán	もちろん
地	de	地面（粒子）
灯	dēng	光
地方	dì fang	地元
地铁	dì tiě	地下鉄
地图	dì tú	地図
电梯	diàn tī	エレベーター
电子邮件	diàn zǐ yóu jiàn	eメール
东	dōng	東
冬	dōng	冬
动物	dòng wù	動物
短	duǎn	ショート
段	duàn	セグメント
锻炼	duàn liàn	いい結果になる
多么	duō me	どうやって
饿	è a	空腹
耳朵	ěr duo	耳
发	fā	ヘア
发烧	fā shāo	熱
发现	fā xiàn	検索
方便	fāng biàn	利便性
放	fàng	置く
放心	fàng xīn	安心してください
分	fēn	分
复习	fù xí	レビュー
附近	fù jìn	近所の
干净	gān jìng	掃除
感冒	gǎn mào	コールド
感兴趣	gǎn xìng qù	に興味がある
刚才	gāng cái	ちょうど今
个子	gè zi	背が高い
根据	gēn jù	による
跟	gēn	と
更	gèng	もっと
公斤	gōng jīn	kg
公园	gōng yuán	パーク
故事	gù shi	物語
刮风	guā fēng	風が強い
关	guān	消す
关系	guān xì	関係
关心	guān xīn	懸念
关于	guān yú	オン
国家	guó jiā	国
过	guò	パス（動詞）
过去	guò qu	過去
还是	hái shì	まだです
害怕	hài pà	怖い
黑板	hēi bǎn	黒板
后来	hòu lái	後で
护照	hù zhào	パスポート
花	huā	花（動詞）
花	huā	花（名詞）
画	huà	ペインティング
坏	huài	悪い
欢迎	huān yíng	ようこそ
环境	huán jìng	周囲
还	huán	戻る（動詞）
换	huàn	変化する
黄河	huáng hé	黄河
回答	huí dá	応答
会议	huì yì	会議
或者	huò zhě	または
几乎	jī hū	ほとんど
机会	jī huì	機会
极	jí	ポール
季节	jì jié	シーズン
记得	jì de	覚えておいてください
检查	jiǎn chá	試験
简单	jiǎn dān	シンプル
健康	jiàn kāng	健康
见面	jiàn miàn	会う
讲	jiǎng	話す
教	jiào	教える
脚	jiǎo	足
角	jiǎo	角度
接	jiē	選び出す
街道	jiē dào	通り
结婚	jié hūn	結婚する
结束	jié shù	終わり
节目	jié mù	プログラム
节日	jié rì	フェスティバル
解决	jiě jué	解決する
借	jiè	かりて
经常	jīng cháng	しばしば
经过	jīng guò	後
经理	jīng lǐ	マネージャー
久	jiǔ	長いです
旧	jiù	古い
句子	jù zi	文
决定	jué dìng	決定する
可爱	kě ài	美しい
渴	kě	喉が渇いた
刻	kè	刻印
客人	kè rén	ゲスト
空调	kōng tiáo	空調
口	kǒu	口
哭	kū	泣く
裤子	kù zi	パンツ
筷子	kuài zi	箸
蓝	lán	青い
老	lǎo	古い
离开	lí kāi	どこかに行って
礼物	lǐ wù	贈り物
