爱情	ài qíng	愛する
安排	ān pái	配置
安全	ān quán	安全性
按时	àn shí	定刻
按照	àn zhào	による
百分之	bǎi fēn zhī	パーセント
棒	bàng	バトン
包子	bāo zi	お団子
保护	bǎo hù	保護
保证	bǎo zhèng	保証
报名	bào míng	サインアップ
抱	bào	ホールド
抱歉	bào qiàn	ごめんなさい
倍	bèi	タイムズ
本来	běn lái	もともと
笨	bèn	愚か
比如	bǐ rú	といった
毕业	bì yè	卒業
遍	biàn	いたるところ
标准	biāo zhǔn	標準
表格	biǎo gé	形
表示	biǎo shì	手段
表演	biǎo yǎn	パフォーマンス
表扬	biǎo yáng	賞賛
饼干	bǐng gān	ビスケット
并且	bìng qiě	そして
博士	bó shì	博士号
不过	bú guò	だが
不得不	bù dé bù	する必要がある
不管	bù guǎn	かかわらず
不仅	bù jǐn	だけでなく
部分	bù fen	セクション
擦	cā	こする
猜	cāi	推測
材料	cái liào	素材
参观	cān guān	訪問
餐厅	cān tīng	レストラン
厕所	cè suǒ	トイレ
差不多	chà bu duō	ほとんど
尝	cháng	味
长城	cháng chéng	万里の長城
长江	cháng jiāng	ヤンツェ
场	chǎng	フィールド
超过	chāo guò	超える
乘坐	chéng zuò	ライド
成功	chéng gōng	成功
成为	chéng wéi	になる
诚实	chéng shí	正直
吃惊	chī jīng	びっくりする
重新	chóng xīn	再
抽烟	chōu yān	煙
出差	chū chāi	出張
出发	chū fā	出発する
出生	chū shēng	生まれ
出现	chū xiàn	現れる
厨房	chú fáng	キッチン
传真	chuán zhēn	ファックス
窗户	chuāng hu	窓
词语	cí yǔ	言葉
从来	cóng lái	これまで
粗心	cū xīn	不注意
存	cún	セーブ
错误	cuò wù	エラー
答案	dá àn	回答
打扮	dǎ ban	着飾る
打扰	dǎ rǎo	乱す
打印	dǎ yìn	印刷
打招呼	dǎ zhāo hu	挨拶
打折	dǎ zhé	ディスカウント
打针	dǎ zhēn	注入
大概	dà gài	多分
大使馆	dà shǐ guǎn	大使館
大约	dà yuē	約
大夫	dài fu	医師
戴	dài	着ていた
当	dāng	いつ
当时	dāng shí	その後
刀	dāo	ナイフ
导游	dǎo yóu	観光ガイド
倒	dào	反転
到处	dào chù	どこにでも
到底	dào dǐ	最終的には
道歉	dào qiàn	謝罪
得	dé	get（補助動詞）
得意	dé yì	誇りに思う
登机牌	dēng jī pái	搭乗券
等	děng	等（粒子）
低	dī	低
底	dǐ	下
地点	dì diǎn	ロケーション
地球	dì qiú	地球
地址	dì zhǐ	住所
掉	diào	落とす
调查	diào chá	調査
丢	diū	スロー
动作	dòng zuò	アクション
堵车	dǔ chē	交通渋滞
肚子	dù zi	腹
短信	duǎn xìn	sms
对话	duì huà	対話
对面	duì miàn	反対
对于	duì yú	ために
儿童	ér tóng	子
而	ér	そして
发生	fā shēng	起こる
发展	fā zhǎn	開発
法律	fǎ lv4	法的
翻译	fān yì	翻訳
烦恼	fán nǎo	動揺
反对	fǎn duì	反対する
方法	fāng fǎ	方法
方面	fāng miàn	側面
方向	fāng xiàng	方向
房东	fáng dōng	家主
放弃	fàng qì	あきらめる
放暑假	fàng shǔ jià	夏休み
放松	fàng sōng	リラックス
份	fèn	シェア
丰富	fēng fù	リッチ
否则	fǒu zé	さもないと
符合	fú hé	会う
付款	fù kuǎn	支払い
复印	fù yìn	コピー
复杂	fù zá	繁雑
富	fù	リッチ
父亲	fù qīn	お父さん
负责	fù zé	に責任があります
改变	gǎi biàn	変化する
干杯	gān bēi	乾杯
感动	gǎn dòng	引っ越し
感觉	gǎn jué	感じる
感情	gǎn qíng	感じ
感谢	gǎn xiè	感謝
敢	gǎn	あえて
赶	gǎn	ラッシュ
干	gàn	ドライ
刚	gāng	ただ
高速公路	gāo sù gōng lù	高速道路
胳膊	gē bo	腕
各	gè	各
公里	gōng lǐ	キロメートル
功夫	gōng fu	努力
工资	gōng zī	賃金
共同	gòng tóng	一般
够	gòu	足りる
购物	gòu wù	ショッピング
估计	gū jì	見積もり
鼓励	gǔ lì	奨励します
故意	gù yì	故意に
顾客	gù kè	お客様
挂	guà	ハング
关键	guān jiàn	エッセンシャル
观众	guān zhòng	聴衆
管理	guǎn lǐ	管理
光	guāng	光
广播	guǎng bō	放送
广告	guǎng gào	広告
逛	guàng	訪問
规定	guī dìng	規定する
国籍	guó jí	国籍
国际	guó jì	インターナショナル
果汁	guǒ zhī	フルーツジュース
过程	guò chéng	処理する
海洋	hǎi yáng	海洋
害羞	hài xiū	シャイ
寒假	hán jià	冬休み
汗	hàn	汗
航班	háng bān	フライト
好处	hǎo chu	メリット
好像	hǎo xiàng	お気に入り
号码	hào mǎ	数
合格	hé gé	資格あり
合适	hé shì	適切
盒子	hé zi	ボックス
厚	hòu	厚い
后悔	hòu huǐ	後悔
互联网	hù lián wǎng	インターネット
互相	hù xiāng	お互い
护士	hù shi	ナース
怀疑	huái yí	疑問に思う
回忆	huí yì	思い出
活动	huó dòng	アクティビティ
活泼	huó po	にぎやか
火	huǒ	火
获得	huò dé	入手します
基础	jī chǔ	基礎
激动	jī dòng	興奮
积极	jī jí	ポジティブ
积累	jī lěi	累積
即使	jí shǐ	たとえ
及时	jí shí	タイムリーな
寄	jì	送信
技术	jì shù	技術
既然	jì rán	以来
继续	jì xù	続ける
计划	jì huà	予定
记者	jì zhě	レポーター
加班	jiā bān	時間とともに
加油站	jiā yóu zhàn	ガス
家具	jiā jù	家具
假	jiǎ	false
价格	jià gé	価格
坚持	jiān chí	付着する
减肥	jiǎn féi	体重が減る
减少	jiǎn shǎo	減らす
建议	jiàn yì	提案する
将来	jiāng lái	未来
奖金	jiǎng jīn	ボーナス
降低	jiàng dī	減らす
降落	jiàng luò	着陸
交	jiāo	クロス
交流	jiāo liú	と通信する
交通	jiāo tōng	トラフィック
郊区	jiāo qū	郊外
骄傲	jiāo ào	誇りに思う
饺子	jiǎo zi	餃子
教授	jiào shòu	教授
教育	jiào yù	教育
接受	jiē shòu	受け入れる
接着	jiē zhe	その後
结果	jié guǒ	結果
节	jié	セクション
节约	jié yuē	保存
解释	jiě shì	説明
尽管	jǐn guǎn	にもかかわらず
紧张	jǐn zhāng	テンション
禁止	jìn zhǐ	禁止する
进行	jìn xíng	乗る
京剧	jīng jù	北京オペラ
精彩	jīng cǎi	素晴らしい
经济	jīng jì	経済的
经历	jīng lì	経験
经验	jīng yàn	経験
景色	jǐng sè	見る
警察	jǐng chá	警官
竞争	jìng zhēng	コンペ
竟然	jìng rán	実際に
镜子	jìng zi	鏡
究竟	jiū jìng	丁度
举	jǔ	リフト
举办	jǔ bàn	ホールド
举行	jǔ xíng	ホールド
拒绝	jù jué	ごみ
聚会	jù huì	集まる
距离	jù lí	距離
开玩笑	kāi wán xiào	冗談で
开心	kāi xīn	ハッピー
看法	kàn fǎ	見る
烤鸭	kǎo yā	ローストダック
考虑	kǎo lv4	検討する
棵	kē	木
科学	kē xué	理科
咳嗽	ké sou	咳
可怜	kě lián	哀れな
可是	kě shì	だが
可惜	kě xī	残念ながら
客厅	kè tīng	リビングルーム
肯定	kěn dìng	承知しました
空	kōng	空気
空气	kōng qì	空気
恐怕	kǒng pà	怖いです
苦	kǔ	苦い
