爱	ài	ស្នេហា
八	bā	ប្រាំបី
爸爸	bà ba	ឪពុក
杯子	bēi zi	ពែង
北京	běi jīng	ទីក្រុងប៉េកាំង
本	běn	នេះ
不客气	bú kè qi	កុំ​គួរសម​អី
不	bù	កុំ
菜	cài	ម្ហូប
茶	chá	តែ
吃	chī	បរិភោគ
出租车	chū zū chē	តាក់ស៊ី
打电话	dǎ diàn huà	ហៅ
大	dà	ធំ
的	de	នៃ
点	diǎn	ចំណុច
电脑	diàn nǎo	កុំព្យូទ័រ
电视	diàn shì	ទូរទស្សន៍
电影	diàn yǐng	រឿង
东西	dōng xi	រឿង
都	dōu	ទាំងអស់
读	dú	អាន
对不起	duì bu qǐ	សុំទោស
多	duō	ជាច្រើន
多少	duō shǎo	ប៉ុន្មាន
儿子	ér zi	កូនប្រុស
二	èr	ពីរ
饭店	fàn diàn	ភោជនីយដ្ឋាន
飞机	fēi jī	យន្តហោះ
分钟	fēn zhōng	នាទី
高兴	gāo xìng	រីករាយ
个	gè	ក
工作	gōng zuò	ការងារ
狗	gǒu	ឆ្កែ
汉语	hàn yǔ	ជនជាតិចិន
好	hǎo	វាល្អ
号	hào	ចំនួន
喝	hē	ផឹក
和	hé	ជាមួយ
很	hěn	ខ្លាំងណាស់
后面	hòu miàn	នៅខាងក្រោយ
回	huí	ត្រលប់ទៅ
会	huì	ប្រជុំ
几	jǐ	ពីរ​ឬ​បី
家	jiā	គ្រួសារ
叫	jiào	ហៅ
今天	jīn tiān	សព្វថ្ងៃ​នេះ
九	jiǔ	ប្រាំបួន
开	kāi	បើក
看	kàn	រកមើល
看见	kàn jiàn	សូមមើល
块	kuài	ដុំ
来	lái	មក
老师	lǎo shī	គ្រូ
了	le	ឡើងលើ
冷	lěng	ត្រជាក់
里	lǐ	ក្នុង
六	liù	ប្រាំមួយ
吗	ma	គឺវា
妈妈	mā ma	ម៉ាក់
买	mǎi	ទិញ
猫	māo	ឆ្មា
没关系	méi guān xi	មិន​អី​ទេ
没有	méi yǒu	ទេ
米饭	mǐ fàn	អង្ករ
名字	míng zi	ឈ្មោះដំបូង
明天	míng tiān	ថ្ងៃស្អែក
哪	nǎ	កន្លែងណា
哪儿	nǎ er	កន្លែងណា
那	nà	នោះ
呢	ne	អ្វី
能	néng	អាច
你	nǐ	អ្នក
年	nián	ឆ្នាំ
女儿	nǚ ér	កូនស្រី
朋友	péng you	មិត្តភក្តិ
漂亮	piào liang	ស្អាត
苹果	píng guǒ	ផ្លែប៉ោម
七	qī	ប្រាំពីរ
前面	qián miàn	មុខ
钱	qián	លុយ
请	qǐng	សូម
去	qù	ទៅ​ជាមួយ
热	rè	កំដៅ
人	rén	ប្រជាជន
认识	rèn shi	ការយល់ដឹង
三	sān	បី
商店	shāng diàn	ហាង
上	shàng	បើក
上午	shàng wǔ	ពេលព្រឹក
少	shǎo	តិច
谁	shéi	who
什么	shén me	អ្វី
十	shí	ដប់
时候	shí hou	ពេលវេលា
是	shì	ត្រូវហើយ
书	shū	សៀវភៅ
水	shuǐ	ទឹក
水果	shuǐguǒ	ផ្លែឈើ
睡觉	shuì jiào	ចូលគេង
说	shuō	និយាយ
四	sì	បួន
岁	suì	អាយុ
他	tā	គាត់
她	tā	នាង​បាន
太	tài	ផងដែរ
天气	tiān qì	អាកាសធាតុ
听	tīng	ស្តាប់
同学	tóng xué	មិត្តរួមថ្នាក់
喂	wèi	សួស្តី (ការអាក់ខាន)
我	wǒ	ខ្ញុំ
我们	wǒ men	យើង
五	wǔ	ចុកពោះ
喜欢	xǐ huan	ចូលចិត្ត
下	xià	នៅក្រោម
下午	xià wǔ	នៅពេល​រសៀល
下雨	xià yǔ	ភ្លៀង
先生	xiān sheng	លោក
现在	xiàn zài	ឥឡូវនេះ
想	xiǎng	នឹក​អ្នក
小	xiǎo	តូច
小姐	xiǎo jie	នឹក
些	xiē	ខ្លះ
写	xiě	សរសេរ
谢谢	xiè xie	សូមអរគុណ
星期	xīng qī	សប្តាហ៍
学生	xué sheng	និស្សិត
学习	xué xí	រៀន
学校	xué xiào	សាលា
一	yī	មួយ
一点儿	yī diǎn er	តិចតួច
医生	yī shēng	គ្រូពេទ្យ
医院	yī yuàn	មន្ទីរពេទ្យ
衣服	yī fu	សម្លៀកបំពាក់
椅子	yǐ zi	កៅអី
有	yǒu	មាន
月	yuè	ខែ
再见	zài jiàn	លាហើយ
在	zài	ក្នុង
怎么	zěn me	របៀប
怎么样	zěn me yàng	តើធ្វើដូចម្តេចអំពីវា
这	zhè	នេះ
中国	zhōng guó	ចិន
中午	zhōng wǔ	ថ្ងៃត្រង់
住	zhù	រស់នៅ
桌子	zhuō zi	តុ
字	zì	ពាក្យ
昨天	zuó tiān	ម្សិលមិញ
做	zuò	ធ្វើ
坐	zuò	អង្គុយ
