吧	ba	បារ
白	bái	ស
百	bǎi	រយ
帮助	bāng zhù	ជួយ
报纸	bào zhǐ	កាសែត
比	bǐ	សមាមាត្រ
别	bié	កុំ
宾馆	bīn guǎn	សណ្ឋាគារ
长	cháng	វែង (គុណនាម)
唱歌	chàng gē	ច្រៀង
出	chū	ចេញ
穿	chuān	ពាក់
次	cì	ដង
从	cóng	ពី
错	cuò	ខុស
打篮球	dǎ lán qiú	លេង​បាល់បោះ
大家	dà jiā	អ្នករាល់គ្នា
到	dào	ទៅ
得	de	ទទួលបាន (ភាគល្អិត)
等	děng	រង់ចាំ (កិរិយាស័ព្ទ)
弟弟	dì di	ប្អូនប្រុស​តូច
第一	dì yī	ដំបូង
懂	dǒng	យល់
对	duì	ស្តាំ (ធ្នាក់)
对	duì	បាទ (គុណនាម)
房间	fáng jiān	បន្ទប់
非常	fēi cháng	ច្រើនណាស់
服务员	fú wù yuán	អ្នករត់តុ
高	gāo	ខ្ពស់
告诉	gào su	ប្រាប់
哥哥	gē ge	បងប្អូន
给	gěi	ផ្តល់ឱ្យ
公共汽车	gōng gòng qì chē	ឡានក្រុង
公司	gōng sī	ក្រុមហ៊ុន
贵	guì	ថ្លៃណាស់
过	guo	ហុច (ភាគល្អិត)
孩子	hái zi	កូន
还	hái	ក៏ (adverb)
好吃	hǎo chī	ល្អក្នុងការបរិភោគ
黑	hēi	ខ្មៅ
红	hóng	ក្រហម
火车站	huǒ chē zhàn	ស្ថា​នី​យ៍​រថភ្លើង
机场	jī chǎng	ព្រ​លាន​យន្តហោះ
鸡蛋	jī dàn	ស៊ុត
件	jiàn	ចំណិត
教室	jiào shì	ថ្នាក់រៀន
姐姐	jiě jie	បងស្រី
介绍	jiè shào	សេចក្តីផ្តើម
近	jìn	ជិត
进	jìn	ជាមុន
就	jiù	បើក
觉得	jué de	មានអារម្មណ៍
咖啡	kā fēi	កាហ្វេ
开始	kāi shǐ	ចាប់ផ្តើម
考试	kǎo shì	ការពិនិត្យ
可能	kě néng	អាច
可以	kě yǐ	អាច
课	kè	ថ្នាក់
快	kuài	លឿន
快乐	kuài lè	រីករាយ
累	lèi	ហត់នឿយ
离	lí	ពី
两	liǎng	ពីរ
零	líng	សូន្យ
路	lù	ផ្លូវ
旅游	lv3 yóu	ទេសចរណ៍
卖	mài	លក់
慢	màn	យឺត
忙	máng	រវល់
每	měi	គ្នា
妹妹	mèi mei	ប្អូនស្រី
门	mén	ទ្វារ
面条	miàn tiáo	មី
男	nán	បុរស
您	nín	អ្នក
牛奶	niú nǎi	ទឹកដោះគោ
女	nǚ	ស្រី
旁边	páng biān	នៅ​ក្បែរ
跑步	pǎo bù	រត់
便宜	pián yi	ថោក
票	piào	សំបុត្រ
妻子	qī zi	ប្រពន្ធ
起床	qǐ chuáng	ក្រោក​ឡើង
千	qiān	ពាន់
铅笔	qiān bǐ	ខ្មៅដៃ
晴	qíng	ច្បាស់
去年	qù nián	ឆ្នាំមុន
让	ràng	សូមឱ្យ
日	rì	ថ្ងៃ
上班	shàng bān	ទៅធ្វើការ
身体	shēn tǐ	រាងកាយ
生病	shēng bìng	ឈឺ
生日	shēng rì	ថ្ងៃកំណើត
时间	shí jiān	ពេលវេលា
事情	shì qing	រឿង
手表	shǒu biǎo	មើល
手机	shǒu jī	ទូរស័ព្ទ​ចល័ត
说话	shuō huà	និយាយ
送	sòng	ឱ្យឆ្ងាយ
虽然…但是…	suī rán …dàn shì …	ទោះយ៉ាងណាទោះយ៉ាងណា…
它	tā	វា
踢足球	tī zú qiú	លេង​បាល់ទាត់
题	tí	សំណួរ
跳舞	tiào wǔ	រាំ
外	wài	ខាងក្រៅ
完	wán	បញ្ចប់
玩	wán	លេង
晚上	wǎn shang	នៅ​ពេលយប់
往	wǎng	ទៅ
为什么	wèi shén me	ហេតុអ្វី
问	wèn	សួរ
问题	wèn tí	បញ្ហា
希望	xī wàng	សង្ឃឹម
西瓜	xī guā	ឪឡឹក
洗	xǐ	លាង
小时	xiǎo shí	ម៉ោង
笑	xiào	សើច
新	xīn	ថ្មី
姓	xìng	ឈ្មោះ
休息	xiū xi	សល់
雪	xuě	ព្រិល
颜色	yán sè	ពណ៌
眼睛	yǎn jing	ភ្នែក
羊肉	yáng ròu	កូនចៀម
药	yào	ថ្នាំ
要	yào	ចង់បាន
也	yě	និង
一下	yī xià	បន្តិច
已经	yǐ jīng	រួចទៅហើយ
一起	yī qǐ	ជាមួយគ្នា
意思	yì si	អត្ថន័យ
因为…所以…	yīn wèi …suǒ yǐ …	ដោយសារតែដូច្នេះ…
阴	yīn	យិន
游泳	yóu yǒng	ហែលទឹក
右边	yòu bian	ត្រឹមត្រូវ
鱼	yú	ត្រី
远	yuǎn	ឆ្ងាយ
运动	yùn dòng	ចលនា
再	zài	ម្តងទៀត
早上	zǎo shang	ពេលព្រឹក
丈夫	zhàng fu	ប្តី
找	zhǎo	រក
着	zhe	ជាមួយ
真	zhēn	ពិត
正在	zhèng zài	ក្នុងនាម
知道	zhī dào	ដឹង
准备	zhǔn bèi	ត្រៀមខ្លួនជាស្រេច
走	zǒu	ទៅ
最	zuì	ភាគច្រើន
左边	zuǒ bian	ឆ្វេង
