啊	a	អ្វី
阿姨	ā yí	មីង
矮	ǎi	ខ្លី
爱好	ài hào	ចំណង់ចំណូលចិត្ត
安静	ān jìng	នៅស្ងៀម
把	bǎ	ដាក់
搬	bān	ផ្លាស់ទី
班	bān	ថ្នាក់
办法	bàn fǎ	វិធីសាស្រ្ត
办公室	bàn gōng shì	ការិយាល័យ
半	bàn	ពាក់កណ្តាល
帮忙	bāng máng	ជួយ
包	bāo	កញ្ចប់
饱	bǎo	ពេញ
北方	běi fāng	ខាងជើង
被	bèi	ត្រូវ
鼻子	bí zi	ច្រមុះ
比较	bǐ jiào	ប្រៀបធៀប
比赛	bǐ sài	ល្បែង
笔记本	bǐ jì běn	សៀវភៅកត់ត្រា
必须	bì xū	ត្រូវតែ
变化	biàn huà	ភាពខុសគ្នា
别人	bié rén	អ្នក​ផ្សេង
冰箱	bīng xiāng	ទូទឹកកក
不但…而且…	bù dàn …ér qiě …	មិន​ត្រឹមតែ​ប៉ុណ្ណោះទេ​ថែមទាំង…
菜单	cài dān	ម៉ឺនុយ
参加	cān jiā	ចូលរួម
草	cǎo	ស្មៅ
层	céng	ជាន់
差	chà	ភាពខុសគ្នា
超市	chāo shì	ផ្សារទំនើប
衬衫	chèn shān	អាវ
城市	chéng shì	ទីក្រុង
成绩	chéng jì	ថ្នាក់
迟到	chí dào	យឺត
除了	chú le	ក្រៅពី
船	chuán	សាឡាង
春	chūn	និទាឃរដូវ
词典	cí diǎn	វចនានុក្រម
聪明	cōng ming	ឆ្លាត
打扫	dǎ sǎo	ស្អាត
打算	dǎ suàn	មានបំណង
带	dài	ក្រុមតន្រ្តី
担心	dān xīn	បារម្ភ
蛋糕	dàn gāo	នំ
当然	dāng rán	ពិតប្រាកដ​ណាស់
地	de	ដី (ភាគល្អិត)
灯	dēng	ពន្លឺ
地方	dì fang	ក្នុងស្រុក
地铁	dì tiě	រថភ្លើងក្រោមដី
地图	dì tú	ផែនទី
电梯	diàn tī	ការកាត់បន្ថយ
电子邮件	diàn zǐ yóu jiàn	អ៊ីមែល
东	dōng	ខាងកើត
冬	dōng	រដូវរងារ
动物	dòng wù	សត្វ
短	duǎn	ខ្លី
段	duàn	ចម្រៀក
锻炼	duàn liàn	ធ្វើការ
多么	duō me	របៀប
饿	è a	ឃ្លាន
耳朵	ěr duo	ត្រចៀក
发	fā	សក់
发烧	fā shāo	គ្រុន
发现	fā xiàn	រក
方便	fāng biàn	ភាពងាយស្រួល
放	fàng	ដាក់
放心	fàng xīn	នៅសល់ធានា
分	fēn	នាទី
复习	fù xí	ពិនិត្យឡើងវិញ
附近	fù jìn	នៅ​ជិត
干净	gān jìng	ស្អាត
感冒	gǎn mào	ត្រជាក់
感兴趣	gǎn xìng qù	ចាប់អារម្មណ៍​លើ
刚才	gāng cái	ឥឡូវនេះ
个子	gè zi	កម្ពស់
根据	gēn jù	យោង​ទៅ​តាម
跟	gēn	ជាមួយ
更	gèng	ច្រើនទៀត
公斤	gōng jīn	គក
公园	gōng yuán	ឧទ្យាន
故事	gù shi	រឿង
刮风	guā fēng	ខ្យល់
关	guān	បិទ
关系	guān xì	ទំនាក់ទំនង
关心	guān xīn	ការព្រួយបារម្ភ
关于	guān yú	បើក
国家	guó jiā	ប្រទេស
过	guò	ឆ្លងកាត់ (កិរិយាស័ព្ទ)
过去	guò qu	អតីតកាល
还是	hái shì	នៅតែមាន
害怕	hài pà	ខ្លាច
黑板	hēi bǎn	ក្តារខៀន
后来	hòu lái	ក្រោយមក
护照	hù zhào	លិខិតឆ្លងដែន
花	huā	ផ្កា (កិរិយាស័ព្ទ)
花	huā	ផ្កា (នាម)
画	huà	គំនូរ
坏	huài	អាក្រក់
欢迎	huān yíng	សូមស្វាគមន៍
环境	huán jìng	តំបន់ជុំវិញ
还	huán	ត្រឡប់ (កិរិយាស័ព្ទ)
换	huàn	ផ្លាស់ប្តូរ
黄河	huáng hé	ទន្លេលឿង
回答	huí dá	ឆ្លើយតប
会议	huì yì	ប្រជុំ
或者	huò zhě	ឬ
几乎	jī hū	ស្ទើរតែ
机会	jī huì	ឱកាស
极	jí	បង្គោល
季节	jì jié	រដូវកាល
记得	jì de	ចងចាំ
检查	jiǎn chá	ការប្រឡង
简单	jiǎn dān	សាមញ្ញ
健康	jiàn kāng	សុខភាព
见面	jiàn miàn	ជួប
讲	jiǎng	និយាយ
教	jiào	បង្រៀន
脚	jiǎo	ជើង
角	jiǎo	មុំ
接	jiē	លើកឡើង
街道	jiē dào	ផ្លូវ
结婚	jié hūn	រៀបការ
结束	jié shù	បញ្ចប់
节目	jié mù	កម្មវិធី
节日	jié rì	ពិធីបុណ្យ
解决	jiě jué	ដោះស្រាយ
借	jiè	ខ្ចី
经常	jīng cháng	ជាញឹកញាប់
经过	jīng guò	បន្ទាប់ពី
经理	jīng lǐ	អ្នកគ្រប់គ្រង
