爱情	ài qíng	ស្រឡាញ់
安排	ān pái	ការរៀបចំ
安全	ān quán	សុវត្ថិភាព
按时	àn shí	ទាន់​ពេលវេលា
按照	àn zhào	យោង​ទៅ​តាម
百分之	bǎi fēn zhī	ភាគរយ
棒	bàng	បាតុន
包子	bāo zi	ប៊ុន
保护	bǎo hù	ការការពារ
保证	bǎo zhèng	ធានា
报名	bào míng	ចុះ​ឈ្មោះ
抱	bào	សង្កត់
抱歉	bào qiàn	សុំទោស
倍	bèi	ដង
本来	běn lái	ដើមឡើយ
笨	bèn	ឆោតល្ងង់
比如	bǐ rú	ដូចជា
毕业	bì yè	បញ្ចប់ការសិក្សា
遍	biàn	ពាសពេញ
标准	biāo zhǔn	ស្តង់ដារ
表格	biǎo gé	សំណុំបែបបទ
表示	biǎo shì	មធ្យោបាយ
表演	biǎo yǎn	ការសម្តែង
表扬	biǎo yáng	សរសើរ
饼干	bǐng gān	នំប័រ
并且	bìng qiě	និង
博士	bó shì	បណ្ឌិត
不过	bú guò	ប៉ុន្តែ
不得不	bù dé bù	ត្រូវតែ
不管	bù guǎn	ដោយ​មិន​គិត​ពី
不仅	bù jǐn	មិន​ត្រឹម​តែ
部分	bù fen	ផ្នែក
擦	cā	ជូត
猜	cāi	ទាយ
材料	cái liào	សម្ភារៈ
参观	cān guān	ទស្សនា
餐厅	cān tīng	ភោជនីយដ្ឋាន
厕所	cè suǒ	បន្ទប់ទឹក
差不多	chà bu duō	ស្ទើរតែ
尝	cháng	ភ្លក្សរសជាតិ
长城	cháng chéng	មហា​កំផែង
长江	cháng jiāng	យ៉ាង
场	chǎng	វាល
超过	chāo guò	លើស
乘坐	chéng zuò	ជិះ
成功	chéng gōng	ជោគជ័យ
成为	chéng wéi	ក្លាយជា
诚实	chéng shí	ស្មោះត្រង់
吃惊	chī jīng	ភ្ញាក់ផ្អើល
重新	chóng xīn	ឡើងវិញ
抽烟	chōu yān	ជក់បារី
出差	chū chāi	ដំណើរអាជីវកម្ម
出发	chū fā	ចាប់ផ្ដើម
出生	chū shēng	កើត
出现	chū xiàn	លេចឡើង
厨房	chú fáng	ផ្ទះបាយ
传真	chuán zhēn	ទូរសារ
窗户	chuāng hu	បង្អួច
词语	cí yǔ	ពាក្យ
从来	cóng lái	ធ្លាប់
粗心	cū xīn	ធ្វេសប្រហែស
存	cún	រក្សាទុក
错误	cuò wù	កំហុស
答案	dá àn	ចម្លើយ
打扮	dǎ ban	ស្លៀក​ពាក់​ឡើង
打扰	dǎ rǎo	រំខាន
打印	dǎ yìn	បោះពុម្ព
打招呼	dǎ zhāo hu	ស្វាគមន៍
打折	dǎ zhé	ការបញ្ចុះតម្លៃ
打针	dǎ zhēn	ចាក់
大概	dà gài	ប្រហែលជា
大使馆	dà shǐ guǎn	ស្ថានទូត
大约	dà yuē	អំពី
大夫	dài fu	វេជ្ជបណ្ឌិត
戴	dài	ពាក់
当	dāng	ពេលណា​
当时	dāng shí	បន្ទាប់មក
刀	dāo	កាំបិត
导游	dǎo yóu	ម​គ្គុ​ទេស​ទេសចរ​ណ៏
倒	dào	ដាក់បញ្ច្រាស
到处	dào chù	នៅគ្រប់ទីកន្លែង
到底	dào dǐ	នៅ​ចុងបញ្ចប់
道歉	dào qiàn	សុំទោស
得	dé	ទទួលបាន (កិរិយាស័ព្ទជំនួយ)
得意	dé yì	មានមោទនភាព
登机牌	dēng jī pái	ប័ណ្ណឡើងជិះ
等	děng	ល (ភាគល្អិត)
低	dī	ទាប
底	dǐ	បាត
地点	dì diǎn	ទីតាំង
地球	dì qiú	ផែនដី
地址	dì zhǐ	អាសយដ្ឋាន
掉	diào	ទម្លាក់
调查	diào chá	ការស្ទង់មតិ
丢	diū	បោះ
动作	dòng zuò	សកម្មភាព
堵车	dǔ chē	ស្ទះចរាចរណ៍
肚子	dù zi	ពោះ
短信	duǎn xìn	សារ
对话	duì huà	ការសន្ទនា
对面	duì miàn	ផ្ទុយ
对于	duì yú	សម្រាប់
儿童	ér tóng	កូន
而	ér	និង
发生	fā shēng	កើតឡើង
发展	fā zhǎn	ការអភិវឌ្ឍនៃ
法律	fǎ lv4	ស្របច្បាប់
翻译	fān yì	ការបកប្រែ
烦恼	fán nǎo	តូចចិត្ត
反对	fǎn duì	ប្រឆាំង
方法	fāng fǎ	វិធីសាស្រ្ត
方面	fāng miàn	ទិដ្ឋភាព
方向	fāng xiàng	ទិសដៅ
房东	fáng dōng	ម្ចាស់ដី
放弃	fàng qì	បោះបង់
放暑假	fàng shǔ jià	វិស្សមកាល​រដូវ​ក្តៅ
放松	fàng sōng	សម្រាក
份	fèn	ចែករំលែក
丰富	fēng fù	អ្នកមាន
否则	fǒu zé	បើមិនដូច្នេះទេ
符合	fú hé	ជួប
付款	fù kuǎn	ការទូទាត់
复印	fù yìn	ចម្លង
复杂	fù zá	ស្មុគស្មាញ
富	fù	អ្នកមាន
父亲	fù qīn	ឪពុក
负责	fù zé	ទទួលខុសត្រូវ​ចំពោះ
改变	gǎi biàn	ផ្លាស់ប្តូរ
干杯	gān bēi	លើកទឹកចិត្ត
感动	gǎn dòng	ការផ្លាស់ទីលំនៅ
感觉	gǎn jué	មានអារម្មណ៍
感情	gǎn qíng	អារម្មណ៍
感谢	gǎn xiè	សូមអរគុណ
敢	gǎn	ហ៊ាន
赶	gǎn	ប្រញាប់
干	gàn	ស្ងួត
刚	gāng	គ្រាន់តែ
高速公路	gāo sù gōng lù	ផ្លូវហាយវេ
胳膊	gē bo	ដៃ
各	gè	គ្នា
公里	gōng lǐ	គីឡូម៉ែត្រ
功夫	gōng fu	ការខិតខំ
工资	gōng zī	ប្រាក់ឈ្នួល
共同	gòng tóng	ធម្មតា
够	gòu	គ្រប់គ្រាន់
购物	gòu wù	ការដើរទិញឥវ៉ាន់
估计	gū jì	ប៉ាន់ស្មាន
鼓励	gǔ lì	លើកទឹកចិត្ត
故意	gù yì	ដោយចេតនា
顾客	gù kè	អតិថិជន
挂	guà	ព្យួរ
关键	guān jiàn	ភាពចាំបាច់
观众	guān zhòng	ទស្សនិកជន
管理	guǎn lǐ	ការគ្រប់គ្រង
光	guāng	ពន្លឺ
广播	guǎng bō	ផ្សាយ
广告	guǎng gào	ផ្សាយពាណិជ្ជកម្ម
逛	guàng	ទស្សនា
规定	guī dìng	លលាដ៍ក្បាល
国籍	guó jí	ប្រទេសសញ្ជាតិ
国际	guó jì	អន្តរជាតិ
果汁	guǒ zhī	ទឹក​ផ្លែឈើ
过程	guò chéng	ដំណើរការ
海洋	hǎi yáng	មហាសមុទ្រ
害羞	hài xiū	ខ្មាស់អៀន
寒假	hán jià	វិស្សមកាលរដូវរងារ
汗	hàn	ញើស
航班	háng bān	ការហោះហើរ
好处	hǎo chu	ទទួលបានអត្ថប្រយោជន៍
好像	hǎo xiàng	ចូលចិត្ត
号码	hào mǎ	ចំនួន
合格	hé gé	មានលក្ខណៈសម្បត្តិគ្រប់គ្រាន់
合适	hé shì	សមរម្យ
盒子	hé zi	ប្រអប់
厚	hòu	ក្រាស់
后悔	hòu huǐ	សោកស្តាយ
互联网	hù lián wǎng	អ៊ីនធឺណិត
互相	hù xiāng	ទៅវិញទៅមក
护士	hù shi	គិលានុបដ្ឋាយិកា
怀疑	huái yí	សង្ស័យ
回忆	huí yì	អនុស្សាវរីយ៍
活动	huó dòng	សកម្មភាព
活泼	huó po	រស់រវើក
火	huǒ	ភ្លើង
获得	huò dé	ទទួលបាន
基础	jī chǔ	មូលដ្ឋាន
激动	jī dòng	រំភើប
积极	jī jí	វិជ្ជមាន
积累	jī lěi	កកកុញ
即使	jí shǐ	បើ​ទោះ​បី​ជា
及时	jí shí	ទាន់ពេលវេលា
寄	jì	ផ្ញើ
技术	jì shù	បច្ចេកវិទ្យា
既然	jì rán	ចាប់តាំងពី
继续	jì xù	អនុវត្តលើ
计划	jì huà	ផែនការ
记者	jì zhě	អ្នកយកព័ត៌មាន
加班	jiā bān	ហួសពេល
加油站	jiā yóu zhàn	ឧស្ម័ន
家具	jiā jù	គ្រឿងសង្ហារឹម
假	jiǎ	មិនពិត
价格	jià gé	តម្លៃ
坚持	jiān chí	ប្រកាន់ខ្ជាប់
减肥	jiǎn féi	ស្រក​ទម្ងន់
减少	jiǎn shǎo	កាត់ត្រឡប់មកវិញ
建议	jiàn yì	សំណូមពរ
将来	jiāng lái	អនាគត
奖金	jiǎng jīn	ប្រាក់រង្វាន់
降低	jiàng dī	កាត់បន្ថយ
降落	jiàng luò	ចុះចត
交	jiāo	ឈើឆ្កាង
交流	jiāo liú	ទំនាក់ទំនង​ជាមួយ
交通	jiāo tōng	ចរាចរណ៍
郊区	jiāo qū	តំបន់ជាយក្រុង
骄傲	jiāo ào	មានមោទនភាព
饺子	jiǎo zi	នំប៉ាវ
教授	jiào shòu	សាស្រ្តាចារ្យ
教育	jiào yù	ការអប់រំ
接受	jiē shòu	ទទួលយក
接着	jiē zhe	បន្ទាប់មក
结果	jié guǒ	លទ្ធផល
节	jié	ផ្នែក
节约	jié yuē	សន្សំ
解释	jiě shì	ការពន្យល់
尽管	jǐn guǎn	ទោះជា
紧张	jǐn zhāng	ភាពតានតឹង
禁止	jìn zhǐ	ហាមឃាត់
进行	jìn xíng	ទទួលបាននៅលើ
京剧	jīng jù	ល្ខោន peking
精彩	jīng cǎi	អស្ចារ្យ
经济	jīng jì	សេដ្ឋកិច្ច
经历	jīng lì	បទពិសោធន៍
经验	jīng yàn	បទពិសោធន៍
景色	jǐng sè	មើល
警察	jǐng chá	ប៉ូលីស
竞争	jìng zhēng	ការប្រកួតប្រជែង
竟然	jìng rán	ពិត
镜子	jìng zi	កញ្ចក់
究竟	jiū jìng	យ៉ាង​ពិតប្រាកដ
举	jǔ	លើក
举办	jǔ bàn	សង្កត់
举行	jǔ xíng	សង្កត់
拒绝	jù jué	បដិសេធ
聚会	jù huì	រួមគ្នា
距离	jù lí	ចម្ងាយ
开玩笑	kāi wán xiào	កំប្លែង
开心	kāi xīn	រីករាយ
看法	kàn fǎ	មើល
烤鸭	kǎo yā	ទាអាំង
考虑	kǎo lv4	ពិចារណា
棵	kē	ដើមឈើ
科学	kē xué	វិទ្យាសាស្ត្រ
咳嗽	ké sou	ក្អក
可怜	kě lián	អាណិតអាសូរ
可是	kě shì	ប៉ុន្តែ
可惜	kě xī	ជាអកុសល
客厅	kè tīng	បន្ទប់ទទួលភ្ញៀវ
肯定	kěn dìng	ប្រាកដ
空	kōng	ខ្យល់
空气	kōng qì	ខ្យល់
恐怕	kǒng pà	ខ្ញុំ​ខ្លាច
苦	kǔ	ជូរចត់
矿泉水	kuàng quán shuǐ	ទឹកបរិសុទ្ធ
困	kùn	ងងុយគេង
困难	kùn nan	ពិបាក
垃圾桶	lā jī tǒng	ធុងសំរាម
拉	lā	ទាញ
辣	là	ក្តៅ
来不及	lái bu jí	យឺត​ណាស់
来得及	lái de jí	យឺត​ណាស់
来自	lái zì	ពី
懒	lǎn	ខ្ជិល
浪费	làng fèi	ខ្ជះខ្ជាយ
浪漫	làng màn	មនោសញ្ចេតនា
老虎	lǎo hǔ	ខ្លា
冷静	lěng jìng	ស្ងប់ស្ងាត់
理发	lǐ fà	កាត់សក់
理解	lǐ jiě	ការយល់ដឹង
理想	lǐ xiǎng	ល្អបំផុត
礼拜天	lǐ bài tiān	ថ្ងៃអាទិត្យ
礼貌	lǐ mào	សុភាពរាបសា
例如	lì rú	ឧ
力气	lì qi	កម្លាំង
厉害	lì hai	អស្ចារ្យ
俩	liǎ	ទាំងពីរ
联系	lián xì	ទំនាក់ទំនង
连	lián	សូម្បីតែ
凉快	liáng kuai	ត្រជាក់
零钱	líng qián	ការផ្លាស់ប្តូរតិចតួច
另外	lìng wài	លើស​ពី​នេះ​ទៀត
流利	liú lì	ស្ទាត់
流行	liú xíng	ពេញនិយម
留	liú	ស្នាក់នៅ
旅行	lǚ xíng	ធ្វើដំណើរ
乱	luàn	ភាពវឹកវរ
律师	lv4 shī	មេធាវី
麻烦	má fan	បញ្ហា
马虎	mǎ hu	ធ្វេសប្រហែស
满	mǎn	ពេញ
毛	máo	សក់
毛巾	máo jīn	កន្សែង
美丽	měi lì	ស្រស់ស្អាត
梦	mèng	សុបិន្ត
迷路	mí lù	វង្វេង​ផ្លូវ
密码	mì mǎ	ពាក្យសម្ងាត់
免费	miǎn fèi	ឥតគិតថ្លៃ
秒	miǎo	ទីពីរ
民族	mín zú	ជាតិ
母亲	mǔ qīn	ម្តាយ
目的	mù dì	គោលបំណង
耐心	nài xīn	អ្នកជំងឺ
难道	nán dào	គឺវា
难受	nán shòu	មិនស្រួល
内	nèi	នៅខាងក្នុង
内容	nèi róng	មាតិកា
能力	néng lì	សមត្ថភាព
年龄	nián líng	អាយុ
弄	nòng	ធ្វើ
暖和	nuǎn huo	កក់ក្តៅ
偶尔	ǒu ěr	ម្តងម្កាល
排队	pái duì	ជួរ
排列	pái liè	ការរៀបចំ
判断	pàn duàn	ការវិនិច្ឆ័យ
陪	péi	រួមដំណើរជាមួយ
批评	pī píng	ការរិះគន់
皮肤	pí fū	ស្បែក
脾气	pí qi	កំហឹង
篇	piān	អត្ថបទ
骗	piàn	បោក
乒乓球	pīng pāng qiú	ពីងប៉ុង
平时	píng shí	ជាធម្មតា
破	pò	ខូច
葡萄	pú tao	ទំពាំងបាយជូរ
普遍	pǔ biàn	ជាសកល
普通话	pǔ tōng huà	ភាសាចិនកុកងឺ
其次	qí cì	ទីពីរ
其中	qí zhōng	ក្នុងចំណោម​ពួកគេ
气候	qì hòu	អាកាសធាតុ
千万	qiān wàn	ដប់លាន
签证	qiān zhèng	ទិដ្ឋាការ
敲	qiāo	គោះ
桥	qiáo	ស្ពាន
巧克力	qiǎo kè lì	សូកូឡា
亲戚	qīn qi	សាច់ញាតិ
轻	qīng	ពន្លឺ
轻松	qīng sōng	ងាយស្រួល
情况	qíng kuàng	កំពុងកើតឡើង
穷	qióng	ក្រីក្រ
区别	qū bié	ភាព​ខុសគ្នា
取	qǔ	យក
全部	quán bù	ទាំងអស់
缺点	quē diǎn	គុណវិបត្តិ
缺少	quē shǎo	ខ្វះខាត
却	què	ប៉ុន្តែ
