爱情	ài qíng	사랑
安排	ān pái	배열
安全	ān quán	안전
按时	àn shí	정시에
按照	àn zhào	에 따르면
百分之	bǎi fēn zhī	퍼센트
棒	bàng	지휘봉
包子	bāo zi	혈액 요소 질소
保护	bǎo hù	보호
保证	bǎo zhèng	보증
报名	bào míng	가입하기
抱	bào	보류
抱歉	bào qiàn	죄송합니다
倍	bèi	타임스
本来	běn lái	원래
笨	bèn	바보
比如	bǐ rú	같은
毕业	bì yè	눈금
遍	biàn	온통
标准	biāo zhǔn	표준
表格	biǎo gé	형태
表示	biǎo shì	방법
表演	biǎo yǎn	공연
表扬	biǎo yáng	칭찬
饼干	bǐng gān	비스킷
并且	bìng qiě	과
博士	bó shì	박사
不过	bú guò	그러나
不得不	bù dé bù	해야
不管	bù guǎn	상관없이
不仅	bù jǐn	뿐만 아니라
部分	bù fen	부분
擦	cā	장애
猜	cāi	추측
材料	cái liào	재료
参观	cān guān	방문
餐厅	cān tīng	레스토랑
厕所	cè suǒ	화장실
差不多	chà bu duō	거의
尝	cháng	맛이 나다
长城	cháng chéng	만리장성
长江	cháng jiāng	양쯔강
场	chǎng	들
超过	chāo guò	넘다
乘坐	chéng zuò	타기
成功	chéng gōng	성공
成为	chéng wéi	지다
诚实	chéng shí	정직한
吃惊	chī jīng	놀라다
重新	chóng xīn	레
抽烟	chōu yān	담배
出差	chū chāi	출장
出发	chū fā	출발하다
出生	chū shēng	태어난
出现	chū xiàn	나타나다
厨房	chú fáng	부엌
传真	chuán zhēn	팩스
窗户	chuāng hu	창문
词语	cí yǔ	말
从来	cóng lái	이제까지
粗心	cū xīn	경솔한
存	cún	저장
错误	cuò wù	오류
答案	dá àn	대답
打扮	dǎ ban	차려 입다
打扰	dǎ rǎo	방해하다
打印	dǎ yìn	인쇄
打招呼	dǎ zhāo hu	인사하다
打折	dǎ zhé	할인
打针	dǎ zhēn	주입
大概	dà gài	아마
大使馆	dà shǐ guǎn	대사관
大约	dà yuē	약
大夫	dài fu	박사님
戴	dài	입고
当	dāng	언제
当时	dāng shí	그때
刀	dāo	칼
导游	dǎo yóu	관광 가이드
倒	dào	거꾸로
到处	dào chù	어디에나
到底	dào dǐ	결국
道歉	dào qiàn	사과하다
得	dé	get (보조 동사)
得意	dé yì	교만한
登机牌	dēng jī pái	탑승권
等	děng	기타 (입자)
低	dī	낮은
底	dǐ	바닥
地点	dì diǎn	위치
地球	dì qiú	지구
地址	dì zhǐ	주소
掉	diào	하락
调查	diào chá	서베이
丢	diū	던지다
动作	dòng zuò	동작
堵车	dǔ chē	교통 체증
肚子	dù zi	배
短信	duǎn xìn	sms
对话	duì huà	대화
对面	duì miàn	반대말
对于	duì yú	...에 대한
儿童	ér tóng	아이
而	ér	과
发生	fā shēng	나오다
发展	fā zhǎn	개발
法律	fǎ lv4	적법한
翻译	fān yì	번역
烦恼	fán nǎo	당황
反对	fǎn duì	대들다
方法	fāng fǎ	방법
方面	fāng miàn	양상
方向	fāng xiàng	방향
房东	fáng dōng	주인
放弃	fàng qì	포기하다
放暑假	fàng shǔ jià	여름 휴가
放松	fàng sōng	편하게 하다
份	fèn	공유
丰富	fēng fù	풍부한
否则	fǒu zé	그렇지 않으면
符合	fú hé	만난다
付款	fù kuǎn	지불
复印	fù yìn	부
复杂	fù zá	복잡한
富	fù	풍부한
父亲	fù qīn	아버지
负责	fù zé	책임감
改变	gǎi biàn	변화
干杯	gān bēi	건배
感动	gǎn dòng	움직이는
感觉	gǎn jué	느낌
感情	gǎn qíng	감각
感谢	gǎn xiè	감사
敢	gǎn	도전
赶	gǎn	돌진
干	gàn	마른
刚	gāng	다만
高速公路	gāo sù gōng lù	고속도로
胳膊	gē bo	팔
各	gè	마다
公里	gōng lǐ	킬로미터
功夫	gōng fu	노력
工资	gōng zī	값
共同	gòng tóng	흔한
够	gòu	충분히
购物	gòu wù	쇼핑
估计	gū jì	견적
鼓励	gǔ lì	북돋우다
故意	gù yì	신중히
顾客	gù kè	고객
挂	guà	매달다
关键	guān jiàn	필수 사항
观众	guān zhòng	청중
管理	guǎn lǐ	조치
光	guāng	빛
广播	guǎng bō	방송
广告	guǎng gào	광고하는
逛	guàng	방문
规定	guī dìng	규정
国籍	guó jí	시민권 국가
国际	guó jì	국제적인
果汁	guǒ zhī	과일 주스
过程	guò chéng	방법
海洋	hǎi yáng	대양
害羞	hài xiū	수줍은
寒假	hán jià	겨울 방학
汗	hàn	땀
航班	háng bān	비행
好处	hǎo chu	이익
好像	hǎo xiàng	처럼
号码	hào mǎ	번호
合格	hé gé	자격 있는
合适	hé shì	적당한
盒子	hé zi	상자
厚	hòu	두꺼운
后悔	hòu huǐ	유감
互联网	hù lián wǎng	인터넷
互相	hù xiāng	서로
护士	hù shi	간호사
怀疑	huái yí	의심
回忆	huí yì	추억
活动	huó dòng	활동
活泼	huó po	기운찬
火	huǒ	불
获得	huò dé	얻다
基础	jī chǔ	기초
激动	jī dòng	흥분
积极	jī jí	양
积累	jī lěi	축적
即使	jí shǐ	설사
及时	jí shí	시기 적절한
寄	jì	보내다
技术	jì shù	과학 기술
既然	jì rán	이후
继续	jì xù	계속하다
计划	jì huà	계획
记者	jì zhě	보고자
加班	jiā bān	시간 외에
加油站	jiā yóu zhàn	가스
家具	jiā jù	가구
假	jiǎ	그릇된
价格	jià gé	가격
坚持	jiān chí	고수하다
减肥	jiǎn féi	살을 빼다
减少	jiǎn shǎo	줄이다
建议	jiàn yì	제안
将来	jiāng lái	미래
奖金	jiǎng jīn	보너스
降低	jiàng dī	줄이다
降落	jiàng luò	착륙
交	jiāo	가로 질러 가다
交流	jiāo liú	와 소통하다
交通	jiāo tōng	교통
郊区	jiāo qū	교외
骄傲	jiāo ào	교만한
饺子	jiǎo zi	만두
教授	jiào shòu	교수
教育	jiào yù	교육
接受	jiē shòu	동의하기
接着	jiē zhe	그때
结果	jié guǒ	결과
节	jié	부분
节约	jié yuē	절약
解释	jiě shì	설명
尽管	jǐn guǎn	에도 불구하고
紧张	jǐn zhāng	장력
禁止	jìn zhǐ	금지
进行	jìn xíng	타다
京剧	jīng jù	북경 오페라
精彩	jīng cǎi	훌륭한
经济	jīng jì	간결한
经历	jīng lì	경험
经验	jīng yàn	경험
景色	jǐng sè	전망
警察	jǐng chá	경찰
竞争	jìng zhēng	경쟁
竟然	jìng rán	사실은
镜子	jìng zi	거울
究竟	jiū jìng	바로 그거죠
举	jǔ	승강기
举办	jǔ bàn	보류
举行	jǔ xíng	보류
拒绝	jù jué	폐물
聚会	jù huì	모이다
距离	jù lí	거리
开玩笑	kāi wán xiào	농담
开心	kāi xīn	행복
看法	kàn fǎ	전망
烤鸭	kǎo yā	오리 구이
考虑	kǎo lv4	중히 여기다
棵	kē	나무
科学	kē xué	과학
咳嗽	ké sou	기침
可怜	kě lián	서투른
可是	kě shì	그러나
可惜	kě xī	운수 나쁘게
客厅	kè tīng	거실
肯定	kěn dìng	확실한
空	kōng	공기
空气	kōng qì	공기
恐怕	kǒng pà	나는 두려워
苦	kǔ	쓴
矿泉水	kuàng quán shuǐ	광천수
困	kùn	졸리는
困难	kùn nan	어려운
垃圾桶	lā jī tǒng	쓰레기통
拉	lā	손잡이
辣	là	뜨거운
来不及	lái bu jí	너무 늦었 어
来得及	lái de jí	너무 늦었 어
来自	lái zì	에서
懒	lǎn	게으른
浪费	làng fèi	낭비
浪漫	làng màn	로맨틱
老虎	lǎo hǔ	호랑이
冷静	lěng jìng	고요한
理发	lǐ fà	이발
理解	lǐ jiě	이해
理想	lǐ xiǎng	이상
礼拜天	lǐ bài tiān	일요일
礼貌	lǐ mào	예의
例如	lì rú	예 :
力气	lì qi	힘
厉害	lì hai	큰
俩	liǎ	양자 모두
联系	lián xì	접촉
连	lián	조차
凉快	liáng kuai	식혀
零钱	líng qián	작은 변화
另外	lìng wài	게다가
流利	liú lì	유창한
流行	liú xíng	인기 있는
留	liú	머무르다
旅行	lǚ xíng	여행
乱	luàn	혼돈
律师	lv4 shī	변호사
麻烦	má fan	수고
马虎	mǎ hu	경솔한
满	mǎn	완전한
毛	máo	머리
毛巾	máo jīn	수건
美丽	měi lì	아름다운
梦	mèng	꿈
迷路	mí lù	꺼져
密码	mì mǎ	암호
免费	miǎn fèi	비어 있는
秒	miǎo	둘째
民族	mín zú	민족
母亲	mǔ qīn	어머니
目的	mù dì	목적
耐心	nài xīn	환자
难道	nán dào	그것은
难受	nán shòu	앉기 불편한
内	nèi	내부
内容	nèi róng	함유량
能力	néng lì	능력
年龄	nián líng	나이
弄	nòng	하다
暖和	nuǎn huo	따뜻한
偶尔	ǒu ěr	때때로
排队	pái duì	열
排列	pái liè	배열
判断	pàn duàn	심판
陪	péi	동반하다
批评	pī píng	비판
皮肤	pí fū	피부
脾气	pí qi	기질
篇	piān	조항
骗	piàn	사기
乒乓球	pīng pāng qiú	탁구
平时	píng shí	보통
破	pò	부서진
葡萄	pú tao	포도
普遍	pǔ biàn	만능인
普通话	pǔ tōng huà	만다린 오렌지
其次	qí cì	둘째
其中	qí zhōng	그들 중
气候	qì hòu	기후
千万	qiān wàn	천만
签证	qiān zhèng	비자
敲	qiāo	노크
桥	qiáo	다리
巧克力	qiǎo kè lì	초콜릿
亲戚	qīn qi	상대적인
轻	qīng	빛
轻松	qīng sōng	쉬운
情况	qíng kuàng	사고
穷	qióng	가난한
区别	qū bié	차이점
取	qǔ	갖다
全部	quán bù	모두
缺点	quē diǎn	불리
缺少	quē shǎo	결핍
却	què	그러나
确实	què shí	과연
然而	rán ér	하나
热闹	rè nao	기운찬
任何	rèn hé	어떤
任务	rèn wu	직무
扔	rēng	던지다
仍然	réng rán	아직도
日记	rì jì	일기
入口	rù kǒu	입구
散步	sàn bù	산책하다
森林	sēn lín	숲
沙发	shā fā	소파
伤心	shāng xīn	슬퍼
商量	shāng liang	논의하다
稍微	shāo wēi	조금
勺子	sháo zi	숟가락
社会	shè huì	사회
深	shēn	깊은
申请	shēn qǐng	신청
甚至	shèn zhì	조차
生活	shēng huó	생명
生命	shēng mìng	생명
生意	shēng yì	사업
省	shěng	지방
剩	shèng	나머지
失败	shī bài	실패
失望	shī wàng	실망한
师傅	shī fu	석사
十分	shí fēn	대단히
实际	shí jì	실제
实在	shí zài	정말
使	shǐ	하다
使用	shǐ yòng	사용하다
世纪	shì jì	세기
是否	shì fǒu	인지 어떤지
