爱情	ài qíng	amar
安排	ān pái	arranjo
安全	ān quán	segurança
按时	àn shí	na hora
按照	àn zhào	de acordo com
百分之	bǎi fēn zhī	por cento
棒	bàng	bastão
包子	bāo zi	pão
保护	bǎo hù	proteção
保证	bǎo zhèng	garantia
报名	bào míng	inscrever-se
抱	bào	aguarde
抱歉	bào qiàn	desculpe
倍	bèi	vezes
本来	běn lái	originalmente
笨	bèn	estúpido
比如	bǐ rú	tal como
毕业	bì yè	graduação
遍	biàn	por toda parte
标准	biāo zhǔn	padrão
表格	biǎo gé	formato
表示	biǎo shì	significa
表演	biǎo yǎn	atuação
表扬	biǎo yáng	elogio
饼干	bǐng gān	bolacha
并且	bìng qiě	e
博士	bó shì	phd
不过	bú guò	mas
不得不	bù dé bù	tem que
不管	bù guǎn	independentemente de
不仅	bù jǐn	não somente
部分	bù fen	seção
擦	cā	esfregar
猜	cāi	acho
材料	cái liào	material
参观	cān guān	visita
餐厅	cān tīng	restaurante
厕所	cè suǒ	banheiro
差不多	chà bu duō	quase
尝	cháng	gosto
长城	cháng chéng	grande muralha
长江	cháng jiāng	yangtze
场	chǎng	campo
超过	chāo guò	ultrapassarem
乘坐	chéng zuò	passeio
成功	chéng gōng	sucesso
成为	chéng wéi	tornar-se
诚实	chéng shí	honesto
吃惊	chī jīng	ser surpreendido
重新	chóng xīn	ré
抽烟	chōu yān	fuma
出差	chū chāi	viagem de negócios
出发	chū fā	zarpar, fugir
出生	chū shēng	nascermos
出现	chū xiàn	aparecer
厨房	chú fáng	cozinha
传真	chuán zhēn	fax
窗户	chuāng hu	janela
词语	cí yǔ	palavras
从来	cóng lái	sempre
粗心	cū xīn	descuidado
存	cún	salve 
错误	cuò wù	erro
答案	dá àn	responda
打扮	dǎ ban	vestir-se
打扰	dǎ rǎo	perturbar
打印	dǎ yìn	impressão
打招呼	dǎ zhāo hu	cumprimentar
打折	dǎ zhé	desconto
打针	dǎ zhēn	injeção
大概	dà gài	provavelmente
大使馆	dà shǐ guǎn	embaixada
大约	dà yuē	sobre
大夫	dài fu	médico
戴	dài	usava
当	dāng	quando
当时	dāng shí	então
刀	dāo	faca
导游	dǎo yóu	guia turístico
倒	dào	invertido
到处	dào chù	em toda parte
到底	dào dǐ	no final
道歉	dào qiàn	peça desculpas
得	dé	get (verbo auxiliar)
得意	dé yì	orgulhoso
登机牌	dēng jī pái	cartão de embarque
等	děng	etc. (partícula)
低	dī	baixo
底	dǐ	inferior
地点	dì diǎn	localização
地球	dì qiú	terra
地址	dì zhǐ	endereço
掉	diào	solta
调查	diào chá	pesquisa
丢	diū	lançar
动作	dòng zuò	açao
堵车	dǔ chē	engarrafamento
肚子	dù zi	barriga
短信	duǎn xìn	sms
对话	duì huà	diálogo
对面	duì miàn	oposto
对于	duì yú	para
儿童	ér tóng	criança
而	ér	e
发生	fā shēng	ocorrer
发展	fā zhǎn	desenvolvimento de
法律	fǎ lv4	legal
翻译	fān yì	tradução
烦恼	fán nǎo	chateado
反对	fǎn duì	opor
方法	fāng fǎ	método
方面	fāng miàn	aspecto
方向	fāng xiàng	direção
房东	fáng dōng	senhorio
放弃	fàng qì	desistir
放暑假	fàng shǔ jià	férias de verâo
放松	fàng sōng	relaxar
份	fèn	compartilhar
丰富	fēng fù	rico
否则	fǒu zé	de outra forma
符合	fú hé	encontra o
付款	fù kuǎn	forma de pagamento
复印	fù yìn	cópia de
复杂	fù zá	complexo
富	fù	rico
父亲	fù qīn	pai
负责	fù zé	seja responsável por
改变	gǎi biàn	mudança
干杯	gān bēi	felicidades
感动	gǎn dòng	em movimento
感觉	gǎn jué	sentir
感情	gǎn qíng	sentindo-me
感谢	gǎn xiè	obrigado
敢	gǎn	ousar
赶	gǎn	pressa
干	gàn	seco
刚	gāng	somente
高速公路	gāo sù gōng lù	rodovia
胳膊	gē bo	braço
各	gè	cada
公里	gōng lǐ	quilômetro
功夫	gōng fu	esforço
工资	gōng zī	salário
共同	gòng tóng	comum
够	gòu	o suficiente
购物	gòu wù	compras
估计	gū jì	estimativa
鼓励	gǔ lì	encorajar
故意	gù yì	deliberadamente
顾客	gù kè	cliente
挂	guà	aguentar
关键	guān jiàn	o essencial
观众	guān zhòng	público
管理	guǎn lǐ	gestão
光	guāng	luz
广播	guǎng bō	difundir
广告	guǎng gào	publicidade
逛	guàng	visita
规定	guī dìng	estipular
国籍	guó jí	país de cidadania
国际	guó jì	internacional
果汁	guǒ zhī	suco de fruta
过程	guò chéng	processo
海洋	hǎi yáng	oceano
害羞	hài xiū	tímido
寒假	hán jià	férias de inverno
汗	hàn	suor
航班	háng bān	voar
好处	hǎo chu	beneficiar
好像	hǎo xiàng	gostar
号码	hào mǎ	número
合格	hé gé	qualificado
合适	hé shì	adequado
盒子	hé zi	caixa
厚	hòu	grosso
后悔	hòu huǐ	arrepender
互联网	hù lián wǎng	a internet
互相	hù xiāng	entre si
护士	hù shi	enfermeira
怀疑	huái yí	dúvida
回忆	huí yì	recordações
活动	huó dòng	atividade
活泼	huó po	animado
火	huǒ	fogo
获得	huò dé	obtivermos
基础	jī chǔ	base
激动	jī dòng	excitação
积极	jī jí	positivo
积累	jī lěi	acumulação
即使	jí shǐ	mesmo se
及时	jí shí	oportuno
寄	jì	enviar
技术	jì shù	tecnologia
既然	jì rán	desde a
