爱	ài	люблю
八	bā	8
爸爸	bà ba	отец
杯子	bēi zi	чашка
北京	běi jīng	пекин
本	běn	этот
不客气	bú kè qi	пожалуйста
不	bù	не делайте
菜	cài	блюдо
茶	chá	чай
吃	chī	есть
出租车	chū zū chē	такси
打电话	dǎ diàn huà	вызов
大	dà	большой
的	de	из
点	diǎn	точка
电脑	diàn nǎo	компьютер
电视	diàn shì	телевизор
电影	diàn yǐng	фильм
东西	dōng xi	вещь
都	dōu	все
读	dú	читать
对不起	duì bu qǐ	сожалею
多	duō	многие
多少	duō shǎo	как много
儿子	ér zi	сын
二	èr	два
饭店	fàn diàn	ресторан
飞机	fēi jī	самолет
分钟	fēn zhōng	минута
高兴	gāo xìng	счастливый
个	gè	а
工作	gōng zuò	рабочие места
狗	gǒu	собака
汉语	hàn yǔ	китайский язык
好	hǎo	это хорошо
号	hào	число
喝	hē	напиток
和	hé	с участием
很	hěn	очень
后面	hòu miàn	позади
回	huí	вернуться к
会	huì	встреча
几	jǐ	несколько
家	jiā	семья
叫	jiào	вызов
今天	jīn tiān	настоящее время
九	jiǔ	девять
开	kāi	открытым
看	kàn	посмотрите
看见	kàn jiàn	увидеть
块	kuài	кусок
来	lái	приходить
老师	lǎo shī	учитель
了	le	вверх
冷	lěng	холодный
里	lǐ	в
六	liù	шесть
吗	ma	это
妈妈	mā ma	мама
买	mǎi	купить
猫	māo	кошка
没关系	méi guān xi	все нормально
没有	méi yǒu	нет
米饭	mǐ fàn	рис
名字	míng zi	имя
明天	míng tiān	завтра
哪	nǎ	где
哪儿	nǎ er	где
那	nà	что
呢	ne	какие
能	néng	может
你	nǐ	вы
年	nián	год
女儿	nǚ ér	дочь
朋友	péng you	друг
漂亮	piào liang	милая
苹果	píng guǒ	яблоко
七	qī	семь
前面	qián miàn	фронт
钱	qián	деньги
请	qǐng	пожалуйста
去	qù	идти с
热	rè	высокая температура
人	rén	люди
认识	rèn shi	понимание
三	sān	три
商店	shāng diàn	магазин
上	shàng	на
上午	shàng wǔ	утро
少	shǎo	меньше
谁	shéi	воз
什么	shén me	какие
十	shí	10
时候	shí hou	время
是	shì	да
书	shū	книга
水	shuǐ	вода
水果	shuǐguǒ	фрукты
睡觉	shuì jiào	ложиться спать
说	shuō	сказать
四	sì	четыре
岁	suì	годовалый
他	tā	он
她	tā	она была
太	tài	слишком
天气	tiān qì	погода
听	tīng	слушать
同学	tóng xué	одноклассник
喂	wèi	привет (междометие)
我	wǒ	я
我们	wǒ men	мы
五	wǔ	пятерки
喜欢	xǐ huan	подобно
下	xià	под
下午	xià wǔ	после обеда
下雨	xià yǔ	дождь
先生	xiān sheng	мистер
现在	xiàn zài	прямо сейчас
想	xiǎng	скучаю по тебе
小	xiǎo	маленький
小姐	xiǎo jie	скучать
些	xiē	некоторые
写	xiě	записывать
谢谢	xiè xie	спасибо
星期	xīng qī	неделя
学生	xué sheng	студент
学习	xué xí	учиться
学校	xué xiào	школа
一	yī	один
一点儿	yī diǎn er	маленький
医生	yī shēng	врачи
医院	yī yuàn	больница
衣服	yī fu	одежда
椅子	yǐ zi	стул
有	yǒu	есть
月	yuè	месяц
再见	zài jiàn	прощай
在	zài	в
怎么	zěn me	как
怎么样	zěn me yàng	как насчет этого
这	zhè	этот
中国	zhōng guó	китай
中午	zhōng wǔ	полдень
住	zhù	прямой эфир
桌子	zhuō zi	таблица
字	zì	слово
昨天	zuó tiān	вчера
做	zuò	делать
坐	zuò	сидеть
