吧	ba	бар
白	bái	белый
百	bǎi	сотня
帮助	bāng zhù	помогите
报纸	bào zhǐ	газета
比	bǐ	соотношение
别	bié	не делайте
宾馆	bīn guǎn	отель
长	cháng	длинный (прилагательное)
唱歌	chàng gē	петь
出	chū	вне
穿	chuān	носить
次	cì	раз
从	cóng	из
错	cuò	неправильно
打篮球	dǎ lán qiú	играть в баскетбол
大家	dà jiā	каждый
到	dào	чтобы
得	de	получить (частица)
等	děng	ждать (глагол)
弟弟	dì di	младший брат
第一	dì yī	первое
懂	dǒng	понять
对	duì	право (предлог)
对	duì	да (прилагательное)
房间	fáng jiān	комната
非常	fēi cháng	очень сильно
服务员	fú wù yuán	официант
高	gāo	высоко
告诉	gào su	сказать
哥哥	gē ge	родной брат
给	gěi	дать
公共汽车	gōng gòng qì chē	автобус
公司	gōng sī	компания
贵	guì	дорого
过	guo	пройти (частица)
孩子	hái zi	ребенок
还	hái	также (наречие)
好吃	hǎo chī	съедобный
黑	hēi	черный
红	hóng	красный
火车站	huǒ chē zhàn	железнодорожная станция
机场	jī chǎng	аэропорт
鸡蛋	jī dàn	яйцо
件	jiàn	шт
教室	jiào shì	школьный класс
姐姐	jiě jie	сестра
介绍	jiè shào	введение
近	jìn	около
进	jìn	заранее
就	jiù	на
觉得	jué de	чувствовать
咖啡	kā fēi	кофе
开始	kāi shǐ	начало
考试	kǎo shì	осмотр
可能	kě néng	может
可以	kě yǐ	может
课	kè	класс
快	kuài	быстро
快乐	kuài lè	счастливый
累	lèi	устала
离	lí	из
两	liǎng	два
零	líng	нуль
路	lù	дорога
旅游	lv3 yóu	туризм
卖	mài	продать
慢	màn	медленный
忙	máng	занятый
每	měi	каждый
妹妹	mèi mei	младшая сестра
门	mén	дверь
面条	miàn tiáo	лапша
男	nán	мужчина
您	nín	вы
牛奶	niú nǎi	молоко
女	nǚ	женский
旁边	páng biān	следующий на
跑步	pǎo bù	бегать
便宜	pián yi	дешево
票	piào	билет
妻子	qī zi	жена
起床	qǐ chuáng	вставай
千	qiān	тысяча
铅笔	qiān bǐ	карандаш
晴	qíng	чисто
去年	qù nián	прошлый год
让	ràng	позволять
日	rì	день
上班	shàng bān	работать
身体	shēn tǐ	тело
生病	shēng bìng	больной
生日	shēng rì	день рождения
时间	shí jiān	время
事情	shì qing	вещь
手表	shǒu biǎo	смотреть
手机	shǒu jī	мобильный телефон
说话	shuō huà	разговаривать
送	sòng	отдавать
虽然…但是…	suī rán …dàn shì …	однако, хотя…
它	tā	это
踢足球	tī zú qiú	играть в футбол
题	tí	вопрос
跳舞	tiào wǔ	танцы
外	wài	внешний
完	wán	финиш
玩	wán	играть
晚上	wǎn shang	ночью
往	wǎng	к
为什么	wèi shén me	зачем
问	wèn	просить
问题	wèn tí	проблема
希望	xī wàng	надежда
西瓜	xī guā	арбуз
洗	xǐ	стирка
小时	xiǎo shí	час
笑	xiào	смех
新	xīn	новый
姓	xìng	название
休息	xiū xi	отдых
雪	xuě	снег
颜色	yán sè	цвет
眼睛	yǎn jing	глаз
羊肉	yáng ròu	ягненок
药	yào	лекарство
要	yào	хотеть
也	yě	а также
一下	yī xià	немного
已经	yǐ jīng	уже
一起	yī qǐ	все вместе
意思	yì si	имея в виду
因为…所以…	yīn wèi …suǒ yǐ …	потому что поэтому…
阴	yīn	инь
游泳	yóu yǒng	плавать
右边	yòu bian	верно
鱼	yú	рыба
远	yuǎn	далеко
运动	yùn dòng	движение
再	zài	еще раз
早上	zǎo shang	утро
丈夫	zhàng fu	муж
找	zhǎo	найти
着	zhe	с участием
真	zhēn	правда
正在	zhèng zài	быть
知道	zhī dào	знать
准备	zhǔn bèi	готовы
走	zǒu	идти
最	zuì	самый
左边	zuǒ bian	осталось
