啊	a	какие
阿姨	ā yí	тетя
矮	ǎi	короткая
爱好	ài hào	хобби
安静	ān jìng	будь спокоен
把	bǎ	ставить
搬	bān	переехать
班	bān	класс
办法	bàn fǎ	метод
办公室	bàn gōng shì	офис
半	bàn	половина
帮忙	bāng máng	помогите
包	bāo	пакет
饱	bǎo	полный
北方	běi fāng	к северу
被	bèi	быть
鼻子	bí zi	нос
比较	bǐ jiào	сравнить
比赛	bǐ sài	игра
笔记本	bǐ jì běn	ноутбук
必须	bì xū	иметь
变化	biàn huà	разнообразие
别人	bié rén	другие люди
冰箱	bīng xiāng	холодильник
不但…而且…	bù dàn …ér qiě …	не только но также…
菜单	cài dān	меню
参加	cān jiā	участвовать
草	cǎo	трава
层	céng	пол
差	chà	разница
超市	chāo shì	супермаркет
衬衫	chèn shān	рубашка
城市	chéng shì	город
成绩	chéng jì	оценки
迟到	chí dào	поздно
除了	chú le	помимо
船	chuán	паром
春	chūn	весна
词典	cí diǎn	толковый словарь
聪明	cōng ming	умная
打扫	dǎ sǎo	чистый
打算	dǎ suàn	намереваться
带	dài	группа
担心	dān xīn	беспокоиться
蛋糕	dàn gāo	кекс
当然	dāng rán	конечно
地	de	земля (частица)
灯	dēng	легкий
地方	dì fang	местный
地铁	dì tiě	подземка
地图	dì tú	карта
电梯	diàn tī	лифт
电子邮件	diàn zǐ yóu jiàn	эл. почта
东	dōng	восток
冬	dōng	зима
动物	dòng wù	животное
短	duǎn	короткая
段	duàn	сегмент
锻炼	duàn liàn	разрабатывать
多么	duō me	как
饿	è a	голоден
耳朵	ěr duo	ухо
发	fā	волосы
发烧	fā shāo	высокая температура
发现	fā xiàn	найти
方便	fāng biàn	удобство
放	fàng	ставить
放心	fàng xīn	будьте уверены
分	fēn	минуты
复习	fù xí	обзор
附近	fù jìn	рядом, поблизости
干净	gān jìng	чистый
感冒	gǎn mào	холодный
感兴趣	gǎn xìng qù	увлекающийся
刚才	gāng cái	прямо сейчас
个子	gè zi	высокий
根据	gēn jù	в соответствии с
跟	gēn	с участием
更	gèng	больше
公斤	gōng jīn	кг
公园	gōng yuán	парк
故事	gù shi	история
刮风	guā fēng	ветреный
关	guān	выключи
关系	guān xì	отношения
关心	guān xīn	беспокойство
关于	guān yú	на
国家	guó jiā	страна
过	guò	пройти (глагол)
过去	guò qu	мимо
还是	hái shì	все еще
害怕	hài pà	испуганный
黑板	hēi bǎn	доска
后来	hòu lái	позже
护照	hù zhào	заграничный пасспорт
花	huā	цветок (глагол)
花	huā	flower (имя существительное)
画	huà	картина
坏	huài	плохой
欢迎	huān yíng	добро пожаловать
环境	huán jìng	окружение
还	huán	вернуться (глагол)
换	huàn	изменение
黄河	huáng hé	желтая река
回答	huí dá	ответить
会议	huì yì	встреча
或者	huò zhě	или
几乎	jī hū	почти
机会	jī huì	возможность
极	jí	столб
季节	jì jié	сезон
记得	jì de	помнить
检查	jiǎn chá	экзамен
简单	jiǎn dān	просто
健康	jiàn kāng	здоровье
见面	jiàn miàn	встретить
讲	jiǎng	разговаривать
教	jiào	учить
脚	jiǎo	нога
角	jiǎo	угол
接	jiē	подбирать
街道	jiē dào	улица
结婚	jié hūn	выйти замуж
结束	jié shù	конец
节目	jié mù	программа
节日	jié rì	фестиваль
解决	jiě jué	решить
借	jiè	заимствовать
经常	jīng cháng	довольно часто
经过	jīng guò	после
经理	jīng lǐ	управляющий делами
久	jiǔ	длинный
旧	jiù	старый
句子	jù zi	предложение
决定	jué dìng	принимать решение
可爱	kě ài	прекрасный
渴	kě	жаждущий
刻	kè	выгравированный
客人	kè rén	гости
空调	kōng tiáo	кондиционер
口	kǒu	рот
哭	kū	крик
裤子	kù zi	брюки
筷子	kuài zi	палочки для еды
蓝	lán	синий
老	lǎo	старый
离开	lí kāi	уходи
礼物	lǐ wù	подарок
历史	lì shǐ	история
脸	liǎn	лицо
练习	liàn xí	упражнение
辆	liàng	транспортные средства
聊天	liáo tiān	болтать с
了解	liǎo jiě	к пониманию
邻居	lín jū	сосед
留学	liú xué	учеба за границей
楼	lóu	пол
绿	lv4	зеленый
马	mǎ	лошадь
马上	mǎ shàng	немедленно
满意	mǎn yì	удовлетворение
帽子	mào zi	шапка
米	mǐ	метр
面包	miàn bāo	хлеб
明白	míng bai	понять
拿	ná	взять
奶奶	nǎi nai	бабушка
南	nán	юг
难	nán	трудно
难过	nán guò	печальный
年级	nián jí	оценка
年轻	nián qīng	молодой
鸟	niǎo	птица
努力	nǔ lì	прилагать усилия
爬山	pá shān	скалолазание
盘子	pán zi	тарелка
胖	pàng	жир
啤酒	pí jiǔ	пиво
皮鞋	pí xié	кожаные ботинки
瓶子	píng zi	бутылка
其实	qí shí	по факту
其他	qí tā	другие
奇怪	qí guài	странный
骑	qí	поездка
起飞	qǐ fēi	взлететь
起来	qǐ lái	вставать
清楚	qīng chu	чисто
请假	qǐng jià	попросить отпуск
秋	qiū	осень
裙子	qún zi	юбка
然后	rán hòu	тогда
热情	rè qíng	энтузиазм
认为	rèn wéi	думать
认真	rèn zhēn	серьезный
容易	róng yì	легко
如果	rú guǒ	в случае
伞	sǎn	зонтик
上网	shàng wǎng	выйти в онлайн
声音	shēng yīn	звук
生气	shēng qì	обозленный
世界	shì jiè	мир
试	shì	контрольная работа
瘦	shòu	тонкий
叔叔	shū shu	дядя
舒服	shū fu	комфортно
数学	shù xué	математика
树	shù	дерево
刷牙	shuā yá	почисти зубы
双	shuāng	двойной
水平	shuǐ píng	уровень
司机	sī jī	водитель
太阳	tài yáng	солнце
特别	tè bié	особенно
疼	téng	боль
提高	tí gāo	улучшить
体育	tǐ yù	физическая культура
甜	tián	милая
条	tiáo	статья
同事	tóng shì	коллега
同意	tóng yì	дать согласие
头发	tóu fa	волосы
突然	tū rán	вдруг, внезапно
图书馆	tú shū guǎn	библиотека
腿	tuǐ	нога
完成	wán chéng	осуществлять
碗	wǎn	миска
万	wàn	десять тысяч
忘记	wàng jì	забыть
为	wèi	за
为了	wèi le	для того, чтобы
位	wèi	немного
文化	wén huà	культура
西	xī	оо
习惯	xí guàn	привычка
洗手间	xǐ shǒu jiān	комната отдыха
洗澡	xǐ zǎo	принимать ванну
夏	xià	лето
先	xiān	первый
相信	xiāng xìn	верить
香蕉	xiāng jiāo	банан
像	xiàng	подобно
向	xiàng	к
小心	xiǎo xīn	быть осторожен
校长	xiào zhǎng	главный
新闻	xīn wén	новости
新鲜	xīn xiān	свежий
信用卡	xìn yòng kǎ	кредитная карта
行李箱	xíng lǐ xiāng	хобот
熊猫	xióng māo	панда
需要	xū yào	нужно
选择	xuǎn zé	выбрать
要求	yāo qiú	запрос
爷爷	yé ye	дедушка
一直	yī zhí	всегда
一定	yí dìng	наверняка
一共	yī gòng	общее
一会儿	yī huì er	какое-то время
一样	yī yàng	тем же
以前	yǐ qián	перед
一般	yī bān	генеральная
一边	yī biān	одна сторона
音乐	yīn yuè	музыка
银行	yín háng	банка
饮料	yǐn liào	напиток
应该	yīng gāi	должен
影响	yǐng xiǎng	влияет
用	yòng	использовать
游戏	yóu xì	игра
有名	yǒu míng	известный
又	yòu	также
遇到	yù dào	встреча
元	yuán	юань
愿意	yuàn yì	желающий
月亮	yuè liang	луна
越	yuè	больше
站	zhàn	станция
张	zhāng	чжан
长	zhǎng	долго (глагол)
着急	zháo jí	тревожный
照顾	zhào gu	заботиться
照片	zhào piàn	фото
照相机	zhào xiàng jī	камера
只	zhǐ	только (наречие)
只	zhǐ	только (квантификатор)
只有…才…	zhǐ yǒu …cái …	только...
中间	zhōng jiān	средний
中文	zhōng wén	китайский язык
终于	zhōng yú	в конце концов
种	zhǒng	виды (количественный показатель)
重要	zhòng yào	важный
周末	zhōu mò	выходные дни
主要	zhǔ yào	основной
注意	zhù yì	нота
自己	zì jǐ	себя
自行车	zì xíng chē	велосипед
总是	zǒng shì	всегда
嘴	zuǐ	рот
最后	zuì hòu	в конце концов
最近	zuì jìn	недавний
作业	zuò yè	операция
