爱情	ài qíng	люблю
安排	ān pái	договоренность
安全	ān quán	безопасность
按时	àn shí	вовремя
按照	àn zhào	в соответствии с
百分之	bǎi fēn zhī	процентов
棒	bàng	дубинка
包子	bāo zi	булочка
保护	bǎo hù	защита
保证	bǎo zhèng	гарантия
报名	bào míng	зарегистрироваться
抱	bào	держать
抱歉	bào qiàn	сожалею
倍	bèi	раз
本来	běn lái	изначально
笨	bèn	глупый
比如	bǐ rú	такие как
毕业	bì yè	выпускной
遍	biàn	повсюду
标准	biāo zhǔn	стандарт
表格	biǎo gé	форма
表示	biǎo shì	означает
表演	biǎo yǎn	производительность
表扬	biǎo yáng	хвалить
饼干	bǐng gān	бисквит
并且	bìng qiě	а также
博士	bó shì	кандидат наук
不过	bú guò	но
不得不	bù dé bù	иметь
不管	bù guǎn	независимо от того
不仅	bù jǐn	не только
部分	bù fen	раздел
擦	cā	руб
猜	cāi	угадать
材料	cái liào	материал
参观	cān guān	визит
餐厅	cān tīng	ресторан
厕所	cè suǒ	туалет
差不多	chà bu duō	почти
尝	cháng	вкус
长城	cháng chéng	великая стена
长江	cháng jiāng	янцзы
场	chǎng	поле
超过	chāo guò	превышать
乘坐	chéng zuò	поездка
成功	chéng gōng	успех
成为	chéng wéi	стали
诚实	chéng shí	честный
吃惊	chī jīng	быть удивленным
重新	chóng xīn	re
抽烟	chōu yān	курит
出差	chū chāi	командировка
出发	chū fā	отправляться
出生	chū shēng	родившийся
出现	chū xiàn	появиться
厨房	chú fáng	кухня
传真	chuán zhēn	факс
窗户	chuāng hu	окно
词语	cí yǔ	слова
从来	cóng lái	когда-либо
粗心	cū xīn	небрежный
存	cún	сохранить
错误	cuò wù	ошибка
答案	dá àn	ответ
打扮	dǎ ban	одеваться
打扰	dǎ rǎo	беспокоить
打印	dǎ yìn	распечатать
打招呼	dǎ zhāo hu	приветствовать
打折	dǎ zhé	скидка
打针	dǎ zhēn	инъекция
大概	dà gài	наверное
大使馆	dà shǐ guǎn	посольство
大约	dà yuē	около
大夫	dài fu	доктор
戴	dài	носила
当	dāng	когда
当时	dāng shí	тогда
刀	dāo	нож
导游	dǎo yóu	справочник туриста
倒	dào	перевернутый
到处	dào chù	везде
到底	dào dǐ	в конце
道歉	dào qiàn	принести извинения
得	dé	получить (вспомогательный глагол)
得意	dé yì	гордый
登机牌	dēng jī pái	посадочный талон
等	děng	и т.д. (частица)
低	dī	низкий
底	dǐ	дно
地点	dì diǎn	место расположения
地球	dì qiú	земля
地址	dì zhǐ	адрес
掉	diào	падение
调查	diào chá	опрос
丢	diū	бросить
动作	dòng zuò	действие
堵车	dǔ chē	пробка
肚子	dù zi	живот
短信	duǎn xìn	смс
对话	duì huà	диалог
对面	duì miàn	напротив
对于	duì yú	за
儿童	ér tóng	ребенок
而	ér	а также
发生	fā shēng	происходить
发展	fā zhǎn	развитие
法律	fǎ lv4	законный
翻译	fān yì	перевод
烦恼	fán nǎo	рассториться
反对	fǎn duì	противиться
方法	fāng fǎ	метод
方面	fāng miàn	аспект
方向	fāng xiàng	направление
房东	fáng dōng	домовладелец
放弃	fàng qì	сдаться
放暑假	fàng shǔ jià	летний отдых
放松	fàng sōng	расслабьтесь
份	fèn	доля
丰富	fēng fù	богатый
否则	fǒu zé	в противном случае
符合	fú hé	встречает
付款	fù kuǎn	оплата
复印	fù yìn	копировать
复杂	fù zá	сложный
富	fù	богатый
父亲	fù qīn	отец
负责	fù zé	быть ответственным за
改变	gǎi biàn	изменение
干杯	gān bēi	ура
感动	gǎn dòng	переезд
感觉	gǎn jué	чувствовать
感情	gǎn qíng	чувство
感谢	gǎn xiè	благодарить
敢	gǎn	смею
赶	gǎn	порыв
干	gàn	сухой
刚	gāng	только
高速公路	gāo sù gōng lù	шоссе
胳膊	gē bo	рука
各	gè	каждый
公里	gōng lǐ	километр
功夫	gōng fu	усилие
工资	gōng zī	заработная плата
共同	gòng tóng	общий
够	gòu	довольно
购物	gòu wù	поход по магазинам
估计	gū jì	оценить
鼓励	gǔ lì	поощрять
故意	gù yì	сознательно
顾客	gù kè	покупатель
挂	guà	повесить
关键	guān jiàn	самое важное
观众	guān zhòng	аудитория
管理	guǎn lǐ	управление
光	guāng	легкий
广播	guǎng bō	трансляция
广告	guǎng gào	реклама
逛	guàng	визит
规定	guī dìng	оговаривать
国籍	guó jí	страна гражданства
国际	guó jì	международный
果汁	guǒ zhī	фруктовый сок
过程	guò chéng	процесс
海洋	hǎi yáng	океан
害羞	hài xiū	застенчивый
寒假	hán jià	зимние каникулы
汗	hàn	потеть
航班	háng bān	рейс
好处	hǎo chu	выгода
好像	hǎo xiàng	подобно
号码	hào mǎ	число
合格	hé gé	квалифицированный
合适	hé shì	подходящее
盒子	hé zi	коробка
厚	hòu	толстый
后悔	hòu huǐ	сожаление
互联网	hù lián wǎng	интернет
互相	hù xiāng	друг друга
护士	hù shi	медсестра
怀疑	huái yí	сомневаться
回忆	huí yì	воспоминания
活动	huó dòng	деятельность
活泼	huó po	оживленный
火	huǒ	огонь
