爱	ài	รัก
八	bā	แปด
爸爸	bà ba	พ่อ
杯子	bēi zi	ถ้วย
北京	běi jīng	ปักกิ่ง
本	běn	นี้
不客气	bú kè qi	ยินดีต้อนรับค่ะ
不	bù	อย่า
菜	cài	จาน
茶	chá	ชา
吃	chī	กิน
出租车	chū zū chē	แท็กซี่
打电话	dǎ diàn huà	ทำการโทร
大	dà	ใหญ่
的	de	ของ
点	diǎn	จุด
电脑	diàn nǎo	คอมพิวเตอร์
电视	diàn shì	โทรทัศน์
电影	diàn yǐng	ฟิล์ม
东西	dōng xi	สิ่ง
都	dōu	ทั้งหมด
读	dú	อ่าน
对不起	duì bu qǐ	ฉันขอโทษ
多	duō	มากมาย
多少	duō shǎo	เท่าไหร่
儿子	ér zi	ลูกชาย
二	èr	สอง
饭店	fàn diàn	ร้านอาหาร
飞机	fēi jī	อากาศยาน
分钟	fēn zhōng	นาที
高兴	gāo xìng	มีความสุข
个	gè	อา
工作	gōng zuò	งาน
狗	gǒu	หมา
汉语	hàn yǔ	ชาวจีน
好	hǎo	มันดี
号	hào	จำนวน
喝	hē	ดื่ม
和	hé	กับ
很	hěn	มาก
后面	hòu miàn	ข้างหลัง
回	huí	กลับไป
会	huì	ประชุม
几	jǐ	จำนวนน้อย
家	jiā	บ้าน
叫	jiào	โทร
今天	jīn tiān	ทุกวันนี้
九	jiǔ	เก้า
开	kāi	เปิด
看	kàn	ดู
看见	kàn jiàn	ดู
块	kuài	ชิ้น
来	lái	มา
老师	lǎo shī	ครู
了	le	ขึ้น
冷	lěng	หนาว
里	lǐ	ใน
六	liù	หก
吗	ma	ใช่ไหม
妈妈	mā ma	แม่
买	mǎi	ซื้อ
猫	māo	แมว
没关系	méi guān xi	ไม่เป็นไร
没有	méi yǒu	ไม่
米饭	mǐ fàn	ข้าว
名字	míng zi	ชื่อจริง
明天	míng tiān	พรุ่งนี้
哪	nǎ	ที่ไหน
哪儿	nǎ er	ที่ไหน
那	nà	ที่
呢	ne	อะไร
能	néng	สามารถ
你	nǐ	คุณ
年	nián	ปี
女儿	nǚ ér	ลูกสาว
朋友	péng you	เพื่อน
漂亮	piào liang	น่ารัก
苹果	píng guǒ	แอปเปิ้ล
七	qī	เซเว่น
前面	qián miàn	ด้านหน้า
钱	qián	เงิน
请	qǐng	กรุณา
去	qù	ไปกับ
热	rè	ความร้อน
人	rén	คน
认识	rèn shi	ความเข้าใจ
三	sān	สาม
商店	shāng diàn	เก็บ
上	shàng	บน
上午	shàng wǔ	เช้า
少	shǎo	น้อย
谁	shéi	Who
什么	shén me	อะไร
十	shí	สิบ
时候	shí hou	เวลา
是	shì	ใช่
书	shū	หนังสือ
水	shuǐ	น้ำ
水果	shuǐguǒ	ผลไม้
睡觉	shuì jiào	เข้านอน
说	shuō	พูด
四	sì	สี่
岁	suì	ปี
他	tā	เขา
她	tā	เธอเป็น
太	tài	เกินไป
天气	tiān qì	สภาพอากาศ
听	tīng	ฟัง
同学	tóng xué	เพื่อนร่วมชั้น
喂	wèi	สวัสดี (อุทาน)
我	wǒ	ผม
我们	wǒ men	เรา
五	wǔ	Fives
喜欢	xǐ huan	ชอบ
下	xià	ภายใต้
下午	xià wǔ	ในช่วงบ่าย
下雨	xià yǔ	ฝน
先生	xiān sheng	นาย
现在	xiàn zài	ตอนนี้
想	xiǎng	คิดถึงคุณ
小	xiǎo	เล็ก
小姐	xiǎo jie	นางสาว
些	xiē	บาง
写	xiě	เขียน
谢谢	xiè xie	ขอขอบคุณ
星期	xīng qī	สัปดาห์
学生	xué sheng	นักเรียน
学习	xué xí	เรียน
学校	xué xiào	โรงเรียน
一	yī	หนึ่ง
一点儿	yī diǎn er	เล็กน้อย
医生	yī shēng	แพทย์
医院	yī yuàn	โรงพยาบาล
衣服	yī fu	เสื้อผ้า
椅子	yǐ zi	เก้าอี้
有	yǒu	มี
月	yuè	เดือน
再见	zài jiàn	ลาก่อน
在	zài	ใน
怎么	zěn me	ยังไง
怎么样	zěn me yàng	ยังไง
这	zhè	นี้
中国	zhōng guó	ประเทศจีน
中午	zhōng wǔ	เที่ยง
住	zhù	มีชีวิต
桌子	zhuō zi	โต๊ะ
字	zì	คำ
昨天	zuó tiān	เมื่อวาน
做	zuò	ทำ
坐	zuò	นั่ง
