吧	ba	บาร์
白	bái	สีขาว
百	bǎi	ร้อย
帮助	bāng zhù	ช่วยด้วย
报纸	bào zhǐ	หนังสือพิมพ์
比	bǐ	อัตราส่วน
别	bié	อย่า
宾馆	bīn guǎn	โรงแรม
长	cháng	ยาว (คำคุณศัพท์)
唱歌	chàng gē	ร้องเพลง
出	chū	ออก
穿	chuān	สวมใส่
次	cì	ไทม์ส
从	cóng	จาก
错	cuò	ไม่ถูกต้อง
打篮球	dǎ lán qiú	เล่นบาสเก็ตบอล
大家	dà jiā	ทุกคน
到	dào	ถึง
得	de	รับ (อนุภาค)
等	děng	รอ (กริยา)
弟弟	dì di	น้องชาย
第一	dì yī	คนแรก
懂	dǒng	เข้าใจ
对	duì	ขวา (บุพบท)
对	duì	ใช่ (คำคุณศัพท์)
房间	fáng jiān	ห้อง
非常	fēi cháng	เป็นอย่างมาก
服务员	fú wù yuán	พนักงานเสิร์ฟ
高	gāo	สูง
告诉	gào su	บอก
哥哥	gē ge	พี่ชาย
给	gěi	ให้
公共汽车	gōng gòng qì chē	รถบัส
公司	gōng sī	บริษัท
贵	guì	เเพง
过	guo	ผ่าน (อนุภาค)
孩子	hái zi	เด็ก
还	hái	ยัง (คำวิเศษณ์)
好吃	hǎo chī	น่ารับประทาน
黑	hēi	สีดำ
红	hóng	สีแดง
火车站	huǒ chē zhàn	สถานีรถไฟ
机场	jī chǎng	สนามบิน
鸡蛋	jī dàn	ไข่
件	jiàn	ชิ้น
教室	jiào shì	ห้องเรียน
姐姐	jiě jie	น้องสาว
介绍	jiè shào	บทนำ
近	jìn	ใกล้
进	jìn	แอดวานซ์
就	jiù	บน
觉得	jué de	รู้สึก
咖啡	kā fēi	กาแฟ
开始	kāi shǐ	เริ่ม
考试	kǎo shì	สอบ
可能	kě néng	อาจ
可以	kě yǐ	สามารถ
课	kè	คลาส
快	kuài	เร็ว
快乐	kuài lè	มีความสุข
累	lèi	เหนื่อย
离	lí	จาก
两	liǎng	สอง
零	líng	ศูนย์
路	lù	ถนน
旅游	lv3 yóu	การท่องเที่ยว
卖	mài	ขาย
慢	màn	ช้า
忙	máng	ไม่ว่าง
每	měi	แต่ละ
妹妹	mèi mei	น้องสาว
门	mén	ประตู
面条	miàn tiáo	ก๋วยเตี๋ยว
男	nán	ชาย
您	nín	คุณ
牛奶	niú nǎi	นม
女	nǚ	หญิง
旁边	páng biān	ข้างๆ
跑步	pǎo bù	วิ่ง
便宜	pián yi	ราคาถูก
票	piào	ตั๋ว
妻子	qī zi	ภรรยา
起床	qǐ chuáng	ตื่น
千	qiān	พัน
铅笔	qiān bǐ	ดินสอ
晴	qíng	ชัดเจน
去年	qù nián	ปีที่แล้ว
让	ràng	ผลผลิต
日	rì	วัน
上班	shàng bān	ไปทำงาน
身体	shēn tǐ	ร่างกาย
生病	shēng bìng	ป่วย
生日	shēng rì	วันเกิด
时间	shí jiān	เวลา
事情	shì qing	สิ่ง
手表	shǒu biǎo	ดู
手机	shǒu jī	โทรศัพท์มือถือ
说话	shuō huà	พูด
送	sòng	ให้ออกไป
虽然…但是…	suī rán …dàn shì …	อย่างไรก็ตาม แม้ว่า…
它	tā	มัน
踢足球	tī zú qiú	เล่นฟุตบอล
题	tí	คำถาม
跳舞	tiào wǔ	เต้นรำ
外	wài	ด้านนอก
完	wán	เสร็จสิ้น
玩	wán	เล่น
晚上	wǎn shang	ตอนกลางคืน
往	wǎng	ถึง
为什么	wèi shén me	ทำไม
问	wèn	ถาม
问题	wèn tí	ปัญหา
希望	xī wàng	ความหวัง
西瓜	xī guā	แตงโม
洗	xǐ	ล้าง
小时	xiǎo shí	ชั่วโมง
笑	xiào	หัวเราะ
新	xīn	ใหม่
姓	xìng	ชื่อ
休息	xiū xi	พักผ่อน
雪	xuě	หิมะ
颜色	yán sè	สี
眼睛	yǎn jing	ตา
羊肉	yáng ròu	เนื้อแกะ
药	yào	ยา
要	yào	ต้องการ
也	yě	และนอกจากนี้ยังมี
一下	yī xià	นิดหน่อย
已经	yǐ jīng	แล้ว
一起	yī qǐ	ด้วยกัน
意思	yì si	ความหมาย
因为…所以…	yīn wèi …suǒ yǐ …	เพราะฉะนั้น…
阴	yīn	หยิน
游泳	yóu yǒng	ว่ายน้ำ
右边	yòu bian	ขวา
鱼	yú	ปลา
远	yuǎn	ไกล
运动	yùn dòng	การเคลื่อนไหว
再	zài	อีกครั้ง
早上	zǎo shang	เช้า
丈夫	zhàng fu	สามี
找	zhǎo	หา
着	zhe	ด้วย
真	zhēn	จริง
正在	zhèng zài	การเป็น
知道	zhī dào	ทราบ
准备	zhǔn bèi	พร้อม
走	zǒu	ไป
最	zuì	มากที่สุด
左边	zuǒ bian	ซ้าย
