啊	a	อะไร
阿姨	ā yí	ป้า
矮	ǎi	สั้น
爱好	ài hào	งานอดิเรก
安静	ān jìng	เงียบ
把	bǎ	พุท
搬	bān	ย้าย
班	bān	คลาส
办法	bàn fǎ	วิธี
办公室	bàn gōng shì	สำนักงาน
半	bàn	ครึ่ง
帮忙	bāng máng	ช่วยด้วย
包	bāo	แพ็คเกจ
饱	bǎo	เต็ม
北方	běi fāng	ทิศเหนือ
被	bèi	เบ
鼻子	bí zi	จมูก
比较	bǐ jiào	เปรียบเทียบ
比赛	bǐ sài	เกม
笔记本	bǐ jì běn	สมุดบันทึก
必须	bì xū	ต้อง
变化	biàn huà	ความหลากหลาย
别人	bié rén	บุคคลอื่น ๆ
冰箱	bīng xiāng	ตู้เย็น
不但…而且…	bù dàn …ér qiě …	ไม่เพียงเท่านั้นแต่ยัง...
菜单	cài dān	เมนู
参加	cān jiā	มีส่วนร่วม
草	cǎo	หญ้า
层	céng	ชั้น
差	chà	ความแตกต่าง
超市	chāo shì	ซูเปอร์มาร์เก็ต
衬衫	chèn shān	เสื้อ
城市	chéng shì	เมือง
成绩	chéng jì	เกรด
迟到	chí dào	สาย
除了	chú le	นอกเหนือจาก
船	chuán	เรือข้ามฟาก
春	chūn	ฤดูใบไม้ผลิ
词典	cí diǎn	พจนานุกรม
聪明	cōng ming	ฉลาด
打扫	dǎ sǎo	ทำความสะอาด
打算	dǎ suàn	ตั้งใจ
带	dài	วงดนตรี
担心	dān xīn	กังวล
蛋糕	dàn gāo	เค้ก
当然	dāng rán	แน่นอน
地	de	พื้นดิน (อนุภาค)
灯	dēng	เบา
地方	dì fang	ท้องถิ่น
地铁	dì tiě	รถไฟใต้ดิน
地图	dì tú	แผนที่
电梯	diàn tī	ลิฟต์
电子邮件	diàn zǐ yóu jiàn	อีเมล
东	dōng	ตะวันออก
冬	dōng	ฤดูหนาว
动物	dòng wù	สัตว์
短	duǎn	สั้น
段	duàn	เซ็กเมนต์
锻炼	duàn liàn	ออกกำลังกาย
多么	duō me	ยังไง
饿	è a	หิว
耳朵	ěr duo	หู
发	fā	ผม
发烧	fā shāo	ไข้
