爱情	ài qíng	รัก
安排	ān pái	การจัดเตรียม
安全	ān quán	ความปลอดภัย
按时	àn shí	ตรงเวลา
按照	àn zhào	ตาม
百分之	bǎi fēn zhī	เปอร์เซ็นต์
棒	bàng	กระบอง
包子	bāo zi	ขนมปัง
保护	bǎo hù	การป้องกัน
保证	bǎo zhèng	รับประกัน
报名	bào míng	ลงชื่อ
抱	bào	ถือ
抱歉	bào qiàn	ขอโทษ
倍	bèi	ไทม์ส
本来	běn lái	เดิม
笨	bèn	โง่
比如	bǐ rú	เช่น
毕业	bì yè	รับปริญญา
遍	biàn	ทั่วๆไป
标准	biāo zhǔn	มาตรฐาน
表格	biǎo gé	แบบฟอร์ม
表示	biǎo shì	หมายถึง
表演	biǎo yǎn	ประสิทธิภาพ
表扬	biǎo yáng	สรรเสริญ
饼干	bǐng gān	บิสกิต
并且	bìng qiě	และ
博士	bó shì	ปริญญาเอก
不过	bú guò	แต่
不得不	bù dé bù	ต้อง
不管	bù guǎn	ไม่ว่า
不仅	bù jǐn	ไม่เพียงแค่
部分	bù fen	มาตรา
擦	cā	ถู
猜	cāi	เดา
材料	cái liào	วัสดุ
参观	cān guān	เยี่ยมชม
餐厅	cān tīng	ร้านอาหาร
厕所	cè suǒ	ห้องน้ำ
差不多	chà bu duō	เกือบ
尝	cháng	รสชาติ
长城	cháng chéng	กำแพงเมืองจีน
长江	cháng jiāng	แม่น้ำแยงซี
场	chǎng	สนาม
超过	chāo guò	เกิน
乘坐	chéng zuò	ขี่
成功	chéng gōng	ความสำเร็จ
成为	chéng wéi	กลายเป็น
诚实	chéng shí	ซื่อสัตย์
吃惊	chī jīng	ประหลาดใจ
重新	chóng xīn	เร
抽烟	chōu yān	สูบบุหรี่
出差	chū chāi	การเดินทางเพื่อธุรกิจ
出发	chū fā	ออกเดินทาง
出生	chū shēng	เกิด
出现	chū xiàn	ปรากฏ
厨房	chú fáng	ครัว
传真	chuán zhēn	แฟกซ์
窗户	chuāng hu	หน้าต่าง
词语	cí yǔ	คำ
从来	cóng lái	ไม่เคย
粗心	cū xīn	ประมาท
存	cún	บันทึก
错误	cuò wù	ผิดพลาด
答案	dá àn	ตอบ
打扮	dǎ ban	แต่งตัว
打扰	dǎ rǎo	รบกวน
打印	dǎ yìn	พิมพ์
打招呼	dǎ zhāo hu	ทักทาย
打折	dǎ zhé	ส่วนลด
打针	dǎ zhēn	การฉีด
大概	dà gài	อาจ
大使馆	dà shǐ guǎn	สถานทูต
大约	dà yuē	เกี่ยวกับ
大夫	dài fu	หมอ
戴	dài	สวม
当	dāng	เมื่อไหร่
当时	dāng shí	แล้ว
