挨	ái	ทนทุกข์
癌症	ái zhèng	โรคมะเร็ง
暧昧	ài mèi	คลุมเครือ
爱不释手	ài bù shì shǒu	วางมันลง
爱戴	ài dài	รัก
安宁	ān níng	สงบ
安详	ān xiáng	เงียบสงบ
安置	ān zhì	ตำแหน่ง
按摩	àn mó	นวด
暗示	àn shì	คำใบ้
案件	àn jiàn	กรณี
案例	àn lì	กรณี
昂贵	áng guì	เเพง
凹凸	āo tū	ชน
熬	áo	ต้ม
奥秘	ào mì	ความลึกลับ
巴不得	bā bù dé	วิตกกังวล
巴结	bā jie	ฟอว์น
扒	bā	ย่าง
疤	bā	แผลเป็น
拔苗助长	bá miáo zhù zhǎng	ถอนรากถอนโคน
把关	bǎ guān	ตรวจสอบ
把手	bǎ shǒu	ด้ามจับ
罢工	bà gōng	โจมตี
霸道	bà dào	เอาแต่ใจ
掰	bāi	บาย
摆脱	bǎi tuō	กำจัด
拜访	bài fǎng	เยี่ยมชม
拜年	bài nián	สวัสดีปีใหม่
拜托	bài tuō	กรุณา
败坏	bài huài	เสียหาย
斑	bān	จุด
颁布	bān bù	พรบ
颁发	bān fā	ปัญหา
版本	bǎn běn	รุ่น
伴侣	bàn lv3	สหาย
伴随	bàn suí	มาพร้อมกับ
半途而废	bàn tú ér fèi	ยอมแพ้กลางคัน
扮演	bàn yǎn	เล่น
榜样	bǎng yàng	ตัวอย่าง
绑架	bǎng jià	ลักพาตัว
磅	bàng	ปอนด์
包庇	bāo bì	ที่พักพิง
包袱	bāo fu	ภาระ
包围	bāo wéi	ล้อมรอบ
包装	bāo zhuāng	แพ็คเกจ
保管	bǎo guǎn	อารักขา
保密	bǎo mì	เก็บเป็นความลับ
保姆	bǎo mǔ	พี่เลี้ยงเด็ก
保守	bǎo shǒu	อนุรักษ์นิยม
保卫	bǎo wèi	ป้องกัน
保养	bǎo yǎng	ซ่อมบำรุง
保障	bǎo zhàng	รับประกัน
保重	bǎo zhòng	ดูแล
饱和	bǎo hé	ความอิ่มตัว
饱经沧桑	bǎo jīng cāng sāng	ปริมณฑล
报酬	bào chou	ค่าตอบแทน
报仇	bào chóu	แก้แค้น
报答	bào dá	ชำระคืน
报复	bào fù	แก้แค้น
报警	bào jǐng	โทรหาตำรวจ
报销	bào xiāo	การชำระเงินคืน
抱负	bào fù	ความทะเยอทะยาน
暴力	bào lì	ความรุนแรง
暴露	bào lù	เปิดเผย
曝光	bào guāng	การรับสัมผัสเชื้อ
爆发	bào fā	แตกออก
爆炸	bào zhà	การระเบิด
卑鄙	bēi bǐ	ค่าเฉลี่ย
悲哀	bēi āi	ความเศร้าโศก
悲惨	bēi cǎn	น่าเศร้า
北极	běi jí	อาร์กติก
备份	bèi fèn	การสำรองข้อมูล
备忘录	bèi wàng lù	บันทึกข้อตกลง
背叛	bèi pàn	ทรยศ
背诵	bèi sòng	ท่อง
被动	bèi dòng	เฉยๆ
被告	bèi gào	จำเลย
贝壳	bèi ké	เปลือก
奔波	bēn bō	วิ่งไปรอบ ๆ
奔驰	bēn chí	เบนซ์
本能	běn néng	สัญชาตญาณ
本钱	běn qián	เมืองหลวง
本人	běn rén	ตัวเอง
本身	běn shēn	ตัวเอง
本事	běn shi	ความสามารถ
笨拙	bèn zhuō	ซุ่มซ่าม
崩溃	bēng kuì	ยุบ
甭	béng	อย่า
蹦	bèng	กระโดด
迸发	bèng fā	ระเบิด
逼迫	bī pò	บังคับ
鼻涕	bí tì	จมูก
比方	bǐ fang	ตัวอย่างเช่น
比喻	bǐ yù	อุปมา
比重	bǐ zhòng	สัดส่วน
鄙视	bǐ shì	ชัง
弊病	bì bìng	อาการป่วย
弊端	bì duān	ข้อเสีย
臂	bì	แขน
闭塞	bì sè	ปิดฉาก
编织	biān zhī	สาน
边疆	biān jiāng	ชายแดน
边界	biān jiè	ขอบเขต
边境	biān jìng	ชายแดน
边缘	biān yuán	ขอบ
鞭策	biān cè	เดือย
扁	biǎn	แบน
贬低	biǎn dī	ดูแคลน
贬义	biǎn yì	เสื่อมเสีย
便利	biàn lì	สะดวก
便条	biàn tiáo	บันทึก
便于	biàn yú	ง่ายที่จะ
变故	biàn gù	โชคร้าย
变迁	biàn qiān	เปลี่ยนแปลง
变质	biàn zhì	การเน่าเสีย
辨认	biàn rèn	แยกแยะ
辩护	biàn hù	ป้องกัน
辩解	biàn jiě	ขอโทษ
辩证	biàn zhèng	วิภาษ
辫子	biàn zi	ถักเปีย
遍布	biàn bù	ทั้งหมด
标本	biāo běn	ตัวอย่าง
标记	biāo jì	เครื่องหมาย
标题	biāo tí	หัวข้อ
表决	biǎo jué	โหวต
表态	biǎo tài	ท่าที
表彰	biǎo zhāng	การรับรู้
憋	biē	อดกลั้น
别墅	bié shù	วิลล่า
别致	bié zhì	เก๋
别扭	biè niu	อึดอัดใจ
濒临	bīn lín	หมิ่น
冰雹	bīng báo	ลูกเห็บ
丙	bǐng	ค
并非	bìng fēi	ไม่
并列	bìng liè	เคียงบ่าเคียงไหล่
剥削	bō xuē	หาประโยชน์
拨	bō	โทร
播种	bō zhòng	การหว่าน
波浪	bō làng	คลื่น
波涛	bō tāo	คลื่น
伯母	bó mǔ	ป้า
博大精深	bó dà jīng shēn	กว้างและลึกซึ้ง
博览会	bó lǎn huì	ยุติธรรม
搏斗	bó dòu	ต่อสู้
薄弱	bó ruò	อ่อนแอ
不顾	bú gù	ไม่ว่า
不愧	bú kuì	คุ้มค่า
不料	bú liào	กะทันหัน
不像话	bú xiàng huà	อุกอาจ
不屑一顾	bú xiè yī gù	ปิด
哺乳	bǔ rǔ	ให้นมบุตร
捕捉	bǔ zhuō	การจับกุม
补偿	bǔ cháng	แต่งหน้า
补救	bǔ jiù	วิธีการรักษา
补贴	bǔ tiē	เงินอุดหนุน
不得已	bù dé yǐ	ทางเลือกสุดท้าย
不妨	bù fáng	อาจเช่นกัน
不敢当	bù gǎn dāng	ไม่กล้า
不禁	bù jīn	ช่วยไม่ได้
不堪	bù kān	เหลือทน
不可思议	bù kě sī yì	เหลือเชื่อ
不免	bù miǎn	อย่างหลีกเลี่ยงไม่ได้
不时	bù shí	เป็นครั้งคราว
不惜	bù xī	อย่าลังเล
不相上下	bù xiāng shàng xià	เทียบเคียง
不言而喻	bù yán ér yù	มันไปโดยไม่พูด
不由得	bù yóu de	อดไม่ได้
不择手段	bù zé shǒu duàn	เล่นให้หนัก
不止	bù zhǐ	มากกว่า
布告	bù gào	แจ้งให้ทราบล่วงหน้า
布局	bù jú	เค้าโครง
布置	bù zhì	เค้าโครง
步伐	bù fá	ก้าว
部署	bù shǔ	ปรับใช้
部位	bù wèi	สถานที่
才干	cái gàn	ความสามารถ
裁缝	cái feng	ช่างตัดเสื้อ
裁判	cái pàn	ผู้ตัดสิน
裁员	cái yuán	ปลดพนักงาน
财富	cái fù	ความมั่งคั่ง
财务	cái wù	การเงิน
财政	cái zhèng	การเงิน
彩票	cǎi piào	หวย
采购	cǎi gòu	ซื้อ
采集	cǎi jí	คอลเลกชัน
采纳	cǎi nà	การรับเป็นบุตรบุญธรรม
参谋	cān móu	เจ้าหน้าที่
参照	cān zhào	ข้อมูลอ้างอิง
残疾	cán jí	ความพิการ
残酷	cán kù	โหดร้าย
残留	cán liú	สารตกค้าง
残忍	cán rěn	โหดร้าย
灿烂	càn làn	ยอดเยี่ยม
仓促	cāng cù	รีบ
仓库	cāng kù	คลังสินค้า
舱	cāng	ห้องโดยสาร
苍白	cāng bái	ซีด
操劳	cāo láo	ทำงานหนัก
操练	cāo liàn	การปฏิบัติ
操纵	cāo zòng	จัดการ
操作	cāo zuò	ปฏิบัติการ
嘈杂	cáo zá	มีเสียงดัง
草案	cǎo àn	ร่าง
草率	cǎo shuài	รีบ
侧面	cè miàn	ด้านข้าง
测量	cè liáng	การวัด
策划	cè huà	วางแผน
策略	cè lvè	กลยุทธ์
层出不穷	céng chū bù qióng	ไม่มีที่สิ้นสุด
层次	céng cì	ระดับ
差别	chā bié	ความแตกต่าง
插座	chā zuò	เบ้า
查获	chá huò	ถูกยึด
刹那	chà nà	ช่วงเวลา
岔	chà	ส้อม
诧异	chà yì	แปลกใจ
柴油	chái yóu	น้ำมันดีเซล
搀	chān	ผสม
缠绕	chán rào	คดเคี้ยว
馋	chán	โลภ
产业	chǎn yè	อุตสาหกรรม
阐述	chǎn shù	ประณีต
颤抖	chàn dǒu	ตัวสั่น
昌盛	chāng shèng	ความเจริญรุ่งเรือง
偿还	cháng huán	ชำระคืน
尝试	cháng shì	ลอง
场合	chǎng hé	โอกาส
场面	chǎng miàn	ฉาก
场所	chǎng suǒ	สถานที่
敞开	chǎng kāi	เปิดกว้าง
倡导	chàng dǎo	สนับสนุน
倡议	chàng yì	ความคิดริเริ่ม
畅通	chàng tōng	เลิกบล็อกแล้ว
畅销	chàng xiāo	ขายดี
超越	chāo yuè	เกิน
钞票	chāo piào	ธนบัตร
嘲笑	cháo xiào	พุ่งเข้าฟัน
巢穴	cháo xué	รัง
朝代	cháo dài	ราชวงศ์
潮流	cháo liú	แนวโน้ม
撤退	chè tuì	ล่าถอย
撤销	chè xiāo	ถอน
沉淀	chén diàn	การตกตะกอน
沉闷	chén mèn	หมองคล้ำ
沉思	chén sī	การทำสมาธิ
沉重	chén zhòng	หนัก
沉着	chén zhuó	เงียบสงบ
陈旧	chén jiù	ล้าสมัย
陈列	chén liè	แสดง
陈述	chén shù	คำให้การ
称心如意	chèn xīn rú yì	น่าพอใจ
衬托	chèn tuō	ออกเดินทาง
称号	chēng hào	หัวข้อ
乘	chéng	คูณ
呈现	chéng xiàn	ปัจจุบัน
城堡	chéng bǎo	ปราสาท
惩罚	chéng fá	การลงโทษ
成本	chéng běn	ค่าใช้จ่าย
成交	chéng jiāo	จัดการ
成天	chéng tiān	ทั้งวัน
成效	chéng xiào	ประสิทธิผล
成心	chéng xīn	จงใจ
成员	chéng yuán	สมาชิก
承办	chéng bàn	ดำเนินการ
承包	chéng bāo	สัญญา
承诺	chéng nuò	มุ่งมั่นที่จะ
橙	chéng	ส้ม
澄清	chéng qīng	ชี้แจง
盛	chéng	sheng
诚挚	chéng zhì	จริงใจ
秤	chèng	เครื่องชั่ง
吃苦	chī kǔ	ประสบ
吃力	chī lì	มีพลัง
持久	chí jiǔ	ยั่งยืน
迟钝	chí dùn	ช้า
迟缓	chí huǎn	ช้า
迟疑	chí yí	ลังเล
赤道	chì dào	เส้นศูนย์สูตร
赤字	chì zì	การขาดดุล
充当	chōng dāng	ทำหน้าที่เป็น
充沛	chōng pèi	อุดมสมบูรณ์
充实	chōng shí	เพิ่มคุณค่า
充足	chōng zú	เพียงพอ
冲动	chōng dòng	แรงกระตุ้น
冲击	chōng jī	ช็อก
冲突	chōng tū	ขัดแย้ง
崇拜	chóng bài	นมัสการ
崇高	chóng gāo	ประเสริฐ
崇敬	chóng jìng	เคารพ
重叠	chóng dié	ทับซ้อนกัน
稠密	chóu mì	หนาแน่น
筹备	chóu bèi	การเตรียมการ
丑恶	chǒu è	น่าเกลียด
出路	chū lù	ทางออก
出卖	chū mài	ขาย
出身	chū shēn	แหล่งกำเนิด
出神	chū shén	มึนงง
出息	chū xi	โดดเด่น
初步	chū bù	เบื้องต้น
除	chú	ยกเว้น
储备	chǔ bèi	สำรอง
储存	chǔ cún	เก็บ
储蓄	chǔ xù	เงินฝากออมทรัพย์
处分	chǔ fèn	การลงโทษ
处境	chǔ jìng	สถานการณ์
处置	chǔ zhì	ขายทิ้ง
触犯	chù fàn	รุกราน
川流不息	chuān liú bù xī	กระแสคงที่
穿越	chuān yuè	ทราเวิร์ส
传达	chuán dá	ถ่ายทอด
传单	chuán dān	ใบปลิว
传授	chuán shòu	สั่งสอน
船舶	chuán bó	เรือ
喘气	chuǎn qì	หอบ
串	chuàn	สตริง
床单	chuáng dān	ผ้าปูที่นอน
创立	chuàng lì	ก่อตั้งขึ้น
创新	chuàng xīn	นวัตกรรม
创业	chuàng yè	เริ่มต้นธุรกิจ
创作	chuàng zuò	การสร้าง
吹牛	chuī niú	โม้
吹捧	chuī pěng	ประจบ
炊烟	chuī yān	ควันปรุงอาหาร
垂直	chuí zhí	แนวตั้ง
锤	chuí	ค้อน
纯粹	chún cuì	หมดจด
纯洁	chún jié	บริสุทธิ์
慈善	cí shàn	การกุศล
慈祥	cí xiáng	กรุณา
磁带	cí dài	เทป
雌雄	cí xióng	ชายและหญิง
伺候	cì hòu	เสิร์ฟ
刺	cì	หนาม
次品	cì pǐn	บกพร่อง
次序	cì xù	ใบสั่ง
丛	cóng	กอ
从容	cóng róng	ใจเย็น
凑合	còu he	กลอนสด
粗鲁	cū lǔ	หยาบคาย
窜	cuàn	ช่อง
摧残	cuī cán	การทำลายล้าง
脆弱	cuì ruò	บอบบาง
搓	cuō	บิด
磋商	cuō shāng	การปรึกษาหารือ
挫折	cuò zhé	แห้ว
搭	dā	ใช้เวลา
搭档	dā dàng	หุ้นส่วน
搭配	dā pèi	การจับคู่
答辩	dá biàn	ตอบ
答复	dá fù	ตอบ
达成	dá chéng	การเข้าถึง
打包	dǎ bāo	ก้อน
打官司	dǎ guān si	การฟ้องร้อง
打击	dǎ jī	ระเบิด
打架	dǎ jià	ต่อสู้
打量	dǎ liang	ดูที่
打猎	dǎ liè	ล่า
打仗	dǎ zhàng	ต่อสู้
大不了	dà bù liǎo	เรื่องใหญ่
大臣	dà chén	รัฐมนตรี
大伙儿	dà huǒ r	ทุกคน
大肆	dà sì	อยากได้
大体	dà tǐ	โดยทั่วไป
大意	dà yì	แนวคิดหลัก
大致	dà zhì	ประมาณ
歹徒	dǎi tú	นักเลง
代价	dài jià	ค่าใช้จ่าย
代理	dài lǐ	พร็อกซี
带领	dài lǐng	ตะกั่ว
怠慢	dài màn	ละเลย
逮捕	dài bǔ	จับกุม
担保	dān bǎo	รับประกัน
胆怯	dǎn qiè	ขี้อาย
淡季	dàn jì	นอกฤดูกาล
淡水	dàn shuǐ	น้ำจืด
蛋白质	dàn bái zhì	โปรตีน
诞辰	dàn chén	วันเกิด
诞生	dàn shēng	เกิด
当场	dāng chǎng	ตรงจุด
当初	dāng chū	ที่จุดเริ่มต้น
当代	dāng dài	ร่วมสมัย
当面	dāng miàn	ประจันหน้า
当前	dāng qián	ปัจจุบัน
当事人	dāng shì rén	ปาร์ตี้
当务之急	dāng wù zhī jí	จำเป็น
当选	dāng xuǎn	ได้รับการเลือกตั้ง
党	dǎng	ปาร์ตี้
档案	dàng àn	ไฟล์
档次	dàng cì	เกรด
倒闭	dǎo bì	ยุบ
导弹	dǎo dàn	ขีปนาวุธ
导航	dǎo háng	การนำทาง
导向	dǎo xiàng	คู่มือ
捣乱	dǎo luàn	สร้างปัญหา
盗窃	dào qiè	การโจรกรรม
稻谷	dào gǔ	ข้าวเปลือก
得不偿失	dé bù cháng shī	ไม่คุ้มกับสิ่งที่เสียไป
得力	dé lì	มีประสิทธิภาพ
得天独厚	dé tiān dú hòu	มีความสุข
得罪	dé zuì	รุกราน
灯笼	dēng lóng	โคมไฟ
登录	dēng lù	เข้าสู่ระบบ
登陆	dēng lù	เข้าสู่ระบบ
蹬	dēng	เตะ
等候	děng hòu	ที่รอคอย
等级	děng jí	เกรด
瞪	dèng	จ้อง
堤坝	dī bà	เขื่อน
敌视	dí shì	ศัตรู
抵达	dǐ dá	มาถึง
抵抗	dǐ kàng	ความต้านทาน
抵制	dǐ zhì	ต่อต้าน
地步	dì bù	จุด
地势	dì shì	ภูมิประเทศ
地质	dì zhì	ธรณีวิทยา
递增	dì zēng	เพิ่มขึ้น
颠簸	diān bǒ	กระแทก
颠倒	diān dǎo	ย้อนกลับ
典礼	diǎn lǐ	พิธี
典型	diǎn xíng	โดยทั่วไป
点缀	diǎn zhuì	การจัดแต่ง
垫	diàn	แผ่น
奠定	diàn dìng	เลย์
惦记	diàn jì	กังวลเรื่อง
电源	diàn yuán	แหล่งจ่ายไฟ
叼	diāo	ห้อย
雕刻	diāo kè	ประติมากรรม
雕塑	diāo sù	ประติมากรรม
吊	diào	แขวน
调动	diào dòng	ระดมพล
跌	diē	ตก
丁	dīng	ding
叮嘱	dīng zhǔ	เตือนสติ
盯	dīng	จ้อง
定期	dìng qī	ปกติ
定义	dìng yì	นิยาม
丢人	diū rén	ความอัปยศ
丢三落四	diū sān là sì	สูญเสียทุกอย่าง
东道主	dōng dào zhǔ	โฮสต์
东张西望	dōng zhāng xī wàng	มองไปรอบ ๆ
