爱	ài	yêu và quý
八	bā	tám
爸爸	bà ba	bố
杯子	bēi zi	cốc
北京	běi jīng	bắc kinh
本	běn	điều này
不客气	bú kè qi	không có gì
不	bù	đừng
菜	cài	món ăn
茶	chá	trà
吃	chī	ăn
出租车	chū zū chē	xe tắc xi
打电话	dǎ diàn huà	gọi
大	dà	lớn
的	de	của
点	diǎn	điểm
电脑	diàn nǎo	máy vi tính
电视	diàn shì	tv
电影	diàn yǐng	bộ phim
东西	dōng xi	điều
都	dōu	tất cả
读	dú	đọc
对不起	duì bu qǐ	lấy làm tiếc
多	duō	nhiều
多少	duō shǎo	bao nhiêu
儿子	ér zi	con trai
二	èr	hai
饭店	fàn diàn	nhà hàng
飞机	fēi jī	phi cơ
分钟	fēn zhōng	phút
高兴	gāo xìng	vui mừng
个	gè	a
工作	gōng zuò	việc làm
狗	gǒu	chó
汉语	hàn yǔ	người trung quốc
好	hǎo	nó tốt
号	hào	con số
喝	hē	uống
和	hé	với
很	hěn	rất
后面	hòu miàn	phía sau
回	huí	quay lại
会	huì	gặp gỡ
几	jǐ	một vài
家	jiā	gia đình
叫	jiào	gọi
今天	jīn tiān	ngày nay
九	jiǔ	chín
开	kāi	mở
看	kàn	nhìn
看见	kàn jiàn	xem
块	kuài	cái
来	lái	đến
老师	lǎo shī	giáo viên
了	le	lên
冷	lěng	lạnh
里	lǐ	trong
六	liù	sáu
吗	ma	là nó
妈妈	mā ma	mẹ
买	mǎi	mua
猫	māo	con mèo
没关系	méi guān xi	được rồi
没有	méi yǒu	không
米饭	mǐ fàn	cơm
名字	míng zi	tên đầu tiên
明天	míng tiān	ngày mai
哪	nǎ	ở đâu
哪儿	nǎ er	ở đâu
那	nà	cái đó
呢	ne	gì
能	néng	có thể
你	nǐ	bạn
年	nián	năm
女儿	nǚ ér	con gái
朋友	péng you	bạn bè
漂亮	piào liang	đẹp
苹果	píng guǒ	táo
七	qī	bảy
前面	qián miàn	trước mặt
钱	qián	tiền bạc
请	qǐng	xin vui lòng
去	qù	đi với
热	rè	nhiệt
人	rén	mọi người
认识	rèn shi	hiểu biết
三	sān	số ba
商店	shāng diàn	cửa hàng
上	shàng	trên
上午	shàng wǔ	buổi sáng
少	shǎo	ít hơn
谁	shéi	who
什么	shén me	gì
十	shí	mười
时候	shí hou	thời gian
是	shì	đúng
书	shū	sách
水	shuǐ	nước
水果	shuǐguǒ	trái cây
睡觉	shuì jiào	đi ngủ
说	shuō	nói
四	sì	bốn
岁	suì	tuổi
他	tā	anh ta
她	tā	cô ấy đã
太	tài	quá
天气	tiān qì	thời tiết
听	tīng	nghe
同学	tóng xué	bạn cùng lớp
喂	wèi	xin chào (thán từ)
我	wǒ	tôi
我们	wǒ men	chúng tôi
五	wǔ	fives
喜欢	xǐ huan	giống
下	xià	dưới
下午	xià wǔ	vào buổi chiều
下雨	xià yǔ	mưa
先生	xiān sheng	ông
现在	xiàn zài	vừa rồi
想	xiǎng	nhớ bạn
小	xiǎo	nhỏ
小姐	xiǎo jie	cô
些	xiē	một số
写	xiě	viết
谢谢	xiè xie	cảm ơn bạn
星期	xīng qī	tuần
学生	xué sheng	sinh viên
学习	xué xí	học hỏi
学校	xué xiào	trường học
一	yī	một
一点儿	yī diǎn er	một chút
医生	yī shēng	nhiêu bác sĩ
医院	yī yuàn	bệnh viện
衣服	yī fu	quần áo
椅子	yǐ zi	cái ghế
有	yǒu	có
月	yuè	tháng
再见	zài jiàn	tạm biệt
在	zài	trong
怎么	zěn me	làm sao
怎么样	zěn me yàng	như thế nào về nó
这	zhè	điều này
中国	zhōng guó	trung quốc
中午	zhōng wǔ	không bật
住	zhù	trực tiếp
桌子	zhuō zi	bàn
字	zì	từ ngữ
昨天	zuó tiān	hôm qua
做	zuò	làm
坐	zuò	ngồi
