啊	a	gì
阿姨	ā yí	cô
矮	ǎi	ngắn
爱好	ài hào	sở thích
安静	ān jìng	hãy yên lặng
把	bǎ	đặt
搬	bān	di chuyển
班	bān	lớp học
办法	bàn fǎ	phương pháp
办公室	bàn gōng shì	văn phòng
半	bàn	một nửa
帮忙	bāng máng	cứu giúp
包	bāo	gói hàng
饱	bǎo	đầy
北方	běi fāng	bắc
被	bèi	là
鼻子	bí zi	cái mũi
比较	bǐ jiào	so sánh
比赛	bǐ sài	trò chơi
笔记本	bǐ jì běn	sổ tay
必须	bì xū	phải
变化	biàn huà	đa dạng
别人	bié rén	những người khác
冰箱	bīng xiāng	tủ lạnh
不但…而且…	bù dàn …ér qiě …	không những ... mà còn…
菜单	cài dān	thực đơn
参加	cān jiā	tham dự
草	cǎo	cỏ
层	céng	sàn nhà
差	chà	sự khác biệt
超市	chāo shì	siêu thị
衬衫	chèn shān	áo sơ mi
城市	chéng shì	thành phố
成绩	chéng jì	lớp
迟到	chí dào	muộn
除了	chú le	ngoại trừ
船	chuán	chiếc phà
春	chūn	mùa xuân
词典	cí diǎn	từ điển
聪明	cōng ming	tài giỏi
打扫	dǎ sǎo	dọn dẹp
打算	dǎ suàn	dự định
带	dài	ban nhạc
担心	dān xīn	lo
蛋糕	dàn gāo	bánh ngọt
当然	dāng rán	tất nhiên
地	de	mặt đất (hạt)
灯	dēng	ánh sáng
地方	dì fang	địa phương
地铁	dì tiě	xe điện ngầm
地图	dì tú	bản đồ
电梯	diàn tī	thang máy
电子邮件	diàn zǐ yóu jiàn	e-mail
东	dōng	phía đông
冬	dōng	mùa đông
动物	dòng wù	thú vật
短	duǎn	ngắn
段	duàn	bộ phận
锻炼	duàn liàn	tập thể dục
多么	duō me	làm sao
饿	è a	đói bụng
耳朵	ěr duo	tai
发	fā	tóc
发烧	fā shāo	sốt
发现	fā xiàn	tìm thấy
方便	fāng biàn	tiện
放	fàng	đặt
放心	fàng xīn	yên tâm
分	fēn	phút
复习	fù xí	ôn tập
附近	fù jìn	gần đây
干净	gān jìng	dọn dẹp
感冒	gǎn mào	lạnh
感兴趣	gǎn xìng qù	quan tâm
刚才	gāng cái	vừa rồi
个子	gè zi	cao
根据	gēn jù	dựa theo
跟	gēn	với
更	gèng	hơn
公斤	gōng jīn	kilôgam
公园	gōng yuán	công viên
故事	gù shi	câu chuyện
刮风	guā fēng	có gió
关	guān	tắt
关系	guān xì	mối quan hệ
关心	guān xīn	liên quan
关于	guān yú	trên
国家	guó jiā	quốc gia
过	guò	vượt qua (động từ)
过去	guò qu	quá khứ
还是	hái shì	vẫn là
害怕	hài pà	sợ hãi
黑板	hēi bǎn	bảng đen
后来	hòu lái	một lát sau
护照	hù zhào	hộ chiếu
花	huā	hoa (động từ)
花	huā	hoa (danh từ)
画	huà	bức vẽ
坏	huài	xấu
欢迎	huān yíng	chào mừng
环境	huán jìng	vùng lân cận
还	huán	return (động từ)
换	huàn	thay đổi
黄河	huáng hé	dòng sông màu vàng
回答	huí dá	đáp lại
会议	huì yì	gặp gỡ
或者	huò zhě	hoặc là
几乎	jī hū	hầu hết
机会	jī huì	dịp tốt
极	jí	cây sào
季节	jì jié	mùa
记得	jì de	nhớ lại
检查	jiǎn chá	một bài kiểm tra
简单	jiǎn dān	đơn giản
健康	jiàn kāng	sức khỏe
见面	jiàn miàn	gặp
讲	jiǎng	nói
教	jiào	dạy
脚	jiǎo	chân
角	jiǎo	góc
接	jiē	nhặt lên
街道	jiē dào	đường phố
结婚	jié hūn	kết hôn
结束	jié shù	kết thúc
节目	jié mù	chương trình
节日	jié rì	lễ hội
解决	jiě jué	gỡ rối
借	jiè	vay
经常	jīng cháng	thường xuyên
经过	jīng guò	sau
经理	jīng lǐ	giám đốc
久	jiǔ	dài
旧	jiù	cũ
句子	jù zi	kết án
