爱情	ài qíng	yêu và quý
安排	ān pái	sắp xếp
安全	ān quán	sự an toàn
按时	àn shí	kịp thời
按照	àn zhào	dựa theo
百分之	bǎi fēn zhī	phần trăm
棒	bàng	baton
包子	bāo zi	búi tóc
保护	bǎo hù	sự bảo vệ
保证	bǎo zhèng	bảo hành
报名	bào míng	đăng ký
抱	bào	giữ
抱歉	bào qiàn	lấy làm tiếc
倍	bèi	times
本来	běn lái	ban đầu
笨	bèn	ngốc nghếch
比如	bǐ rú	nhu la
毕业	bì yè	tốt nghiệp
遍	biàn	tất cả
标准	biāo zhǔn	tiêu chuẩn
表格	biǎo gé	hình thức
表示	biǎo shì	có nghĩa
表演	biǎo yǎn	hiệu suất
表扬	biǎo yáng	khen ngợi
饼干	bǐng gān	bánh quy
并且	bìng qiě	và
博士	bó shì	bằng tiến sĩ
不过	bú guò	nhưng
不得不	bù dé bù	phải
不管	bù guǎn	bất chấp
不仅	bù jǐn	không chỉ
部分	bù fen	phần
擦	cā	chà xát
猜	cāi	phỏng đoán
材料	cái liào	vật chất
参观	cān guān	chuyến thăm
餐厅	cān tīng	nhà hàng
厕所	cè suǒ	nhà vệ sinh
差不多	chà bu duō	hầu hết
尝	cháng	nếm thử
长城	cháng chéng	vạn lý trường thành
长江	cháng jiāng	dương tử
场	chǎng	cánh đồng
超过	chāo guò	quá
乘坐	chéng zuò	dap xe
成功	chéng gōng	sự thành công
成为	chéng wéi	trở nên
诚实	chéng shí	thật thà
吃惊	chī jīng	ngạc nhiên
重新	chóng xīn	re
抽烟	chōu yān	hút thuốc
出差	chū chāi	đi công tác
出发	chū fā	lên đường
出生	chū shēng	sinh ra
出现	chū xiàn	xuất hiện
厨房	chú fáng	phòng bếp
传真	chuán zhēn	số fax
窗户	chuāng hu	cửa sổ
词语	cí yǔ	từ ngữ
从来	cóng lái	không bao giờ
粗心	cū xīn	cẩu thả
存	cún	tiết kiệm
错误	cuò wù	lỗi
答案	dá àn	câu trả lời
打扮	dǎ ban	ăn mặc đẹp lên
打扰	dǎ rǎo	làm phiền
打印	dǎ yìn	in
打招呼	dǎ zhāo hu	chào
打折	dǎ zhé	giảm giá
打针	dǎ zhēn	mũi tiêm
大概	dà gài	có lẽ
大使馆	dà shǐ guǎn	đại sứ quán
大约	dà yuē	trong khoảng
大夫	dài fu	bác sĩ
戴	dài	mặc
当	dāng	khi nào
当时	dāng shí	sau đó
刀	dāo	dao
导游	dǎo yóu	hướng dẫn viên du lịch
倒	dào	đảo ngược
到处	dào chù	mọi nơi
到底	dào dǐ	đến cuối cùng
道歉	dào qiàn	xin lỗi
得	dé	get (động từ phụ)
得意	dé yì	tự hào
登机牌	dēng jī pái	thẻ lên máy bay
等	děng	vv (hạt)
低	dī	thấp
底	dǐ	đáy
地点	dì diǎn	vị trí
地球	dì qiú	trái đất
地址	dì zhǐ	địa chỉ
掉	diào	rơi vãi
调查	diào chá	khảo sát
丢	diū	phi
动作	dòng zuò	hoạt động
堵车	dǔ chē	giao thông tắc nghẽn
肚子	dù zi	bụng
短信	duǎn xìn	tin nhắn
对话	duì huà	hội thoại
对面	duì miàn	đối diện
对于	duì yú	cho
儿童	ér tóng	đứa trẻ
而	ér	và
发生	fā shēng	xảy ra
发展	fā zhǎn	sự phát triển của
法律	fǎ lv4	hợp pháp
翻译	fān yì	dịch
烦恼	fán nǎo	buồn bã
反对	fǎn duì	phản đối
方法	fāng fǎ	phương pháp
方面	fāng miàn	khía cạnh
方向	fāng xiàng	phương hướng
房东	fáng dōng	chủ nhà
放弃	fàng qì	bỏ cuộc
放暑假	fàng shǔ jià	kì nghỉ hè
放松	fàng sōng	thư giãn
份	fèn	chia sẻ
丰富	fēng fù	giàu có
否则	fǒu zé	nếu không thì
符合	fú hé	đáp ứng
付款	fù kuǎn	thanh toán
复印	fù yìn	sao chép
复杂	fù zá	phức tạp
富	fù	giàu có
父亲	fù qīn	bố
负责	fù zé	chịu trách nhiệm
改变	gǎi biàn	thay đổi
干杯	gān bēi	chúc mừng
感动	gǎn dòng	di chuyển
感觉	gǎn jué	cảm thấy
感情	gǎn qíng	cảm giác
感谢	gǎn xiè	cảm tạ
敢	gǎn	dám
赶	gǎn	vội vàng
干	gàn	khô
刚	gāng	chỉ
高速公路	gāo sù gōng lù	xa lộ
胳膊	gē bo	cánh tay
各	gè	mỗi
公里	gōng lǐ	km
功夫	gōng fu	cố gắng
工资	gōng zī	tiền công
共同	gòng tóng	chung
够	gòu	đủ
购物	gòu wù	mua sắm
估计	gū jì	ước tính
鼓励	gǔ lì	khuyến khích
故意	gù yì	thong thả
顾客	gù kè	khách hàng
挂	guà	treo
关键	guān jiàn	sự cần thiết
观众	guān zhòng	khán giả
管理	guǎn lǐ	sự quản lý
光	guāng	ánh sáng
广播	guǎng bō	phát sóng
广告	guǎng gào	quảng cáo
逛	guàng	chuyến thăm
规定	guī dìng	quy định
国籍	guó jí	quốc tịch
国际	guó jì	quốc tế
果汁	guǒ zhī	nước ép hoa quả
过程	guò chéng	quá trình
海洋	hǎi yáng	đại dương
害羞	hài xiū	nhát
寒假	hán jià	kỳ nghỉ đông
汗	hàn	mồ hôi
航班	háng bān	chuyến bay
好处	hǎo chu	lợi ích
好像	hǎo xiàng	giống
号码	hào mǎ	con số
合格	hé gé	đủ tiêu chuẩn
合适	hé shì	thích hợp
盒子	hé zi	cái hộp
厚	hòu	dày
后悔	hòu huǐ	sự hối tiếc
互联网	hù lián wǎng	internet
互相	hù xiāng	lẫn nhau
护士	hù shi	y tá
怀疑	huái yí	nghi ngờ
回忆	huí yì	kỉ niệm
活动	huó dòng	hoạt động
活泼	huó po	sống động
火	huǒ	ngọn lửa
获得	huò dé	đạt được
基础	jī chǔ	nền tảng
激动	jī dòng	sự phấn khích
积极	jī jí	tích cực
积累	jī lěi	tích lũy
即使	jí shǐ	thậm chí nếu
及时	jí shí	hợp thời
寄	jì	gửi
技术	jì shù	công nghệ
既然	jì rán	từ
继续	jì xù	tiếp tục
计划	jì huà	kế hoạch
记者	jì zhě	phóng viên
加班	jiā bān	tăng ca
加油站	jiā yóu zhàn	khí ga
家具	jiā jù	đồ nội thất
假	jiǎ	sai
价格	jià gé	giá bán
坚持	jiān chí	tuân theo
减肥	jiǎn féi	giảm cân
减少	jiǎn shǎo	cắt giảm
建议	jiàn yì	đề xuất
将来	jiāng lái	tương lai
奖金	jiǎng jīn	tặng kem
降低	jiàng dī	giảm
降落	jiàng luò	đổ bộ
交	jiāo	vượt qua
交流	jiāo liú	giao tiếp với
交通	jiāo tōng	giao thông
郊区	jiāo qū	ngoại ô
骄傲	jiāo ào	tự hào
饺子	jiǎo zi	bánh bao
教授	jiào shòu	giáo sư
教育	jiào yù	giáo dục
